0,1,2,3
34,2,16608,0.34375
8,32,16659,0.125
177,16,17670,0.4375
52,1,17744,0.28125
9169,128,17754,0.78125
30,7,17888,0.0625
7584,4,17915,0.40625
50,2,18020,0.03125
115,2,18275,0.25
9,64,18287,0.1875
263,16,18383,0.21875
1763,8,18738,0.375
3982,164,18904,0.53125
8,64,19096,0.15625
482,67,19248,0.46875
15961,32,19320,0.5
36205,16,19683,0.09375
13685,128,19717,0.5625
13088,1,19754,0.3125
512,8,43969,0.59375
13301,32,44917,0.6875
6882,32,44967,0.625
7,40,46851,0.65625
329,8,46893,0.71875
17,2,46987,0.75
14849,1,49935,0.8125
13559,1,52533,0.84375
8497,8,52633,0.875
10336,5,58260,0.90625
15565,13,58370,0.9375
44,32,60172,0.96875
27,1,60422,1.0
267,1,7092,0.03125
23,1,7115,0.0625
42,32,7145,0.09375
27,8,7190,0.125
470,1,7923,0.46875
4,4,8435,0.15625
345,13,8444,0.1875
5,2,8560,0.21875
13342,8,9306,0.96875
15,1,9428,0.25
10187,1,9562,0.875
3,1,10027,0.28125
88,2,10036,0.3125
8797,2,10165,0.84375
9,43,10280,0.34375
15868,8,10323,0.625
884,16,10377,0.375
31,16,10961,0.40625
6841,12,11181,0.5
17,4,11326,0.4375
416,4,11487,0.59375
23271,23,11544,0.53125
13,6,11601,0.5625
3715,1,12128,0.65625
52,1,15462,0.6875
12055,64,15548,1.0
9901,128,15909,0.75
36072,1,15954,0.90625
5,8,16258,0.71875
48,2,16367,0.78125
6,4,16420,0.8125
23,32,16656,0.9375
18,16,4296,0.5
27853,5,4363,0.53125
14,28,4462,0.0625
10924,4,4552,0.4375
14923,16,4581,0.125
403,1,5477,0.3125
1380,32,5497,0.5625
10,15,5508,0.1875
19105,4,5682,0.46875
10,12,5758,0.34375
6,1,6041,0.28125
15,4,6221,0.15625
39,1,6286,0.21875
5,32,6327,0.03125
20,3,6483,0.375
17,1,6656,0.40625
464,1,6710,0.25
15,8,6746,0.09375
7956,32,51395,0.59375
10728,23,52153,0.625
329,8,53357,0.65625
99,4,53377,0.6875
15,1,53437,0.71875
15573,1,53453,0.75
20,1,53514,0.78125
16,1,53592,0.8125
7869,40,53612,0.84375
11675,16,53714,0.875
9,1,54127,0.90625
36098,1,54178,0.9375
28246,1,55284,0.96875
59,2,55359,1.0
447,40,3426,0.03125
6420,21,3458,0.59375
460,32,4934,0.40625
32,49,11637,0.0625
10499,8,11666,0.125
22246,39,11686,0.09375
8,2,11830,0.15625
64,16,11836,0.1875
10,4,11876,0.21875
7,8,11941,0.25
567,5,12532,0.375
52,4,12542,0.28125
10,18,12581,0.3125
101,1,12611,0.34375
18168,16,12809,0.84375
7,4,12821,0.4375
593,8,12932,0.46875
17877,2,13085,0.5625
7,1,13825,0.5
84,32,13929,0.53125
766,32,14170,0.8125
16,1,14506,0.625
1,8,14548,0.65625
11252,4,14592,0.75
29,64,15266,0.6875
29,8,15429,0.71875
6344,2,15507,0.78125
2,1,16668,0.875
177,4,16682,0.90625
17,16,17557,0.9375
30,3,17587,0.96875
51,2,17723,1.0
8608,27,1416,0.65625
119,1,1523,0.03125
10690,4,1535,0.84375
100,1,1546,0.0625
13006,8,1572,0.125
4957,30,1582,0.875
124,2,1588,0.09375
68,16,1727,0.15625
23058,8,77733,0.1875
6275,13,77881,0.25
26,1,77921,0.21875
11270,16,78309,0.28125
19377,2,78322,0.71875
6,16,78674,0.3125
4,1,79031,0.34375
861,32,79786,0.375
3,37,79868,0.40625
1702,1,80826,0.46875
14802,32,80831,0.4375
