vif,deg,MSE
1,2,0.2317949906972237
1,3,0.2168528069122934
1,4,0.23643034002782642
2,1,0.22954541482270724
2,2,0.22698147128636786
2,3,0.23160880933124786
2,4,0.2469006678791365
3,1,0.21182774805137541
3,2,0.2167513682262579
3,3,0.2340427179653734
3,4,0.23657325720925065
4,2,0.23155666154370508
4,3,0.23072944370736714
4,4,0.24695297913380718
5,1,0.21237775482223323
5,2,0.23096943335700404
5,3,0.22880573547587615
5,4,0.2373329766948327
6,1,0.2172693200696016
6,2,0.22082343675720573
6,3,0.23206794108531473
7,1,0.20868988347079592
7,2,0.21768607659701505
7,3,0.23072887413670146
7,4,0.24526583399218552
8,1,0.21452999258548788
8,2,0.23378498369639464
8,3,0.24147081833323483
8,4,0.2468293575677503
9,1,0.23041630859384257
9,2,0.21471882526406522
9,3,0.2387719875742285
9,4,0.24608452771459088
10,1,0.2101472577249875
10,2,0.22602734081351183
10,3,0.23895583684640243
10,4,0.24627591529784754
