vif,deg,MAE,AVGBSLD
1,1,0.21669054758575446,1164.351312
1,3,0.24047316017948842,1786.410008
1,4,0.24419958683650764,1581.504837
2,1,0.21689998147778497,257.833541
2,2,0.23214223330113215,582.963584
2,3,0.24320801419600083,1572.145913
2,4,0.24997492763844628,1120.586443
3,1,0.22799999309125446,1392.031589
3,2,0.24097562688733376,774.513606
3,3,0.2428327298570512,164.048508
3,4,0.2377691636416699,1797.404274
4,1,0.23852476872736028,1307.979757
4,2,0.23805507913375568,2852.011342
4,3,0.24129150722955583,512.305078
4,4,0.24884665182064006,2227.419954
5,1,0.23119748621685307,1941.282925
5,2,0.2477836659000125,2114.092431
5,3,0.2488666646733503,2135.773532
5,4,0.24885722346972639,2167.203087
6,1,0.22748238076884802,834.701119
6,2,0.24206653333808253,1235.758851
6,3,0.24080495916712663,1594.092510
7,1,0.21772572068290477,907.833805
7,2,0.2320354484425345,744.552530
7,3,0.23852021766591255,1217.308421
7,4,0.2453836139491314,3850.630728
8,1,0.21784906212238844,3423.936180
8,2,0.2421370532590823,772.708120
8,3,0.24413849650868025,2016.322381
8,4,0.24880422041361597,1615.862137
9,1,0.22361285955358404,3383.367434
9,2,0.22892810870861074,1266.398382
9,3,0.23056690174725705,333.022067
9,4,0.248789069846556,1081.861667
10,1,0.21078000985236225,4468.807476
10,2,0.23164951566450456,551.544911
10,3,0.24243499981993766,667.106018
10,4,0.24501007327256444,542.374548
