LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
58.04622,68.47345,13.797739,238.072204,14.023122,27.028606,56.725322,12.374451,173.706409,17.811162
171.017407,298.297685,12.39479,651.834266,9.617678,109.362426,29.89141,3.56491,418.695126,15.119901
285.051978,451.680602,12.728678,1401.799993,11.134661,228.055923,131.200361,50.614476,601.142624,18.692743
242.70854,113.865173,110.600915,638.66664,94.036585,46.497149,43.317601,26.843604,133.932591,133.141545
116.720221,215.735037,12.388712,1292.428359,11.770399,118.177342,31.593173,6.741104,301.14487,19.773707
186.825026,258.266801,46.436535,1019.202686,22.417217,316.727979,100.560446,13.036554,381.85711,44.581761
53.496732,97.4572,6.340818,668.27955,7.805922,61.633051,60.815531,4.22146,163.286286,11.464551
6.675974,79.84736,5.642095,555.827022,5.937228,55.952725,91.293109,29.013117,359.829265,5.634416
6.523075,16.2829,4.652156,298.751723,3.34791,11.361949,36.631646,24.464114,142.523499,5.575743
278.494963,304.253184,10.021581,1025.016506,17.440542,79.477411,222.606177,11.586916,427.51135,13.226091
4.984589,92.910207,10.2235,994.916135,10.529897,21.133953,15.435752,5.14599,219.259921,11.746557
22.336165,43.879218,5.434692,458.130624,5.901671,18.172739,171.920585,6.919379,147.799686,8.905792
1.747647,11.634017,2.576859,65.437225,2.213572,3.7645,7.563797,1.904242,31.989561,2.828184
142.917818,194.769991,12.238695,802.89311,11.991044,47.282931,53.179045,7.272653,417.035752,16.955628
84.892436,116.924888,6.193359,465.733658,6.525973,30.19958,72.79395,4.413572,270.345955,7.88208
466.080479,252.239905,6.258883,1004.392688,6.964094,23.331779,449.096549,19.2055,728.242952,8.271473
42.044755,84.784416,10.54086,585.512136,11.106143,24.761212,72.759107,25.561612,269.544665,12.661817
533.905653,585.083079,26.818525,1671.260535,25.997137,180.237137,514.33652,70.875567,641.847259,40.848546
199.693311,223.987486,7.445364,930.485164,7.750598,50.684134,100.91652,38.570048,322.301562,11.32535
72.643093,514.773534,76.660885,1929.007616,7.158758,52.952227,605.004805,61.97646,569.665797,42.836614
27.822177,121.718628,11.666332,721.562109,14.135426,74.387823,48.847353,10.37223,286.459338,18.782437
83.803322,322.682877,11.946258,1134.214133,7.784158,109.46357,40.531781,9.972901,713.136801,14.745074
