LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,NEW_3_6,NEW_3_7,NEW_3_8,NEW_3_9,NEW_3_10
58.04622,100.719362,94.450825,94.694096,88.985575,49.328946,96.395016,49.334329,82.198961,97.062011,77.108238
171.017407,404.450163,346.083704,416.710691,428.978731,198.705578,412.846555,214.438947,323.916484,176.284785,327.900288
285.051978,589.503321,535.590608,542.042988,478.155863,319.081381,637.360839,447.895636,664.261589,387.980821,520.854265
242.70854,164.113145,234.034705,200.224954,148.252288,39.316987,373.165327,54.806696,157.176268,39.992277,160.649986
116.720221,326.308991,377.206623,414.154054,450.599427,197.96061,386.48793,192.626158,280.947092,195.488438,322.680134
186.825026,553.764731,482.508152,413.901334,430.339178,308.654244,449.565733,243.895124,450.137691,354.53405,280.052006
53.496732,269.803833,238.511018,260.07582,246.049969,99.571111,240.082279,98.459745,185.216034,147.709965,174.607393
6.675974,141.812656,164.728613,152.006046,187.434929,159.497981,165.842738,85.876767,193.600904,76.067073,105.008126
6.523075,58.946199,61.234637,64.382632,63.636038,7.265437,69.652481,6.554514,46.510904,7.556931,26.5581
278.494963,546.683427,420.614206,912.678474,487.639189,282.452099,510.146378,268.217245,439.096625,300.158476,248.765318
4.984589,363.690756,354.479105,488.063296,196.092434,97.584136,323.225806,41.605989,257.221698,81.678928,173.377307
22.336165,144.732412,148.842948,154.039321,128.103823,47.170132,156.050986,40.250874,83.222725,27.509219,82.287367
1.747647,23.994623,23.843836,23.925948,28.385057,2.54988,23.725768,2.545966,23.691345,2.149607,21.80937
142.917818,326.517501,322.96201,318.749445,266.980497,319.415398,333.313744,206.500272,411.093014,190.234016,353.841103
84.892436,356.52568,624.757369,337.306811,414.172478,75.790104,429.238518,75.802215,416.906518,75.815514,155.79854
466.080479,710.377754,562.268337,998.90812,540.971115,707.109783,666.441245,721.249968,682.68673,578.392926,667.813436
42.044755,229.515776,245.69115,214.452516,128.543285,128.216861,190.672106,129.795768,143.86491,103.529512,119.911484
533.905653,778.656456,911.973853,1100.672212,490.794605,435.984299,1210.011481,546.628577,752.361156,590.497024,604.604173
199.693311,315.694662,354.831394,477.665903,438.121902,203.119466,371.783702,190.805268,329.922658,276.562049,245.84758
72.643093,874.433078,701.069587,795.755808,970.877217,615.726136,831.888716,723.65123,693.973987,564.577274,577.47059
27.822177,241.016212,220.67128,273.897535,212.71381,65.375553,236.748912,78.215893,181.798213,73.367382,190.898947
83.803322,594.078253,546.08207,639.850079,584.98213,337.48893,585.137588,305.832013,544.104738,304.421356,539.741681
