FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
102.736032,63.262031,33.704264,39.460873,12.993817,9.591827,22.622475,106.597294,40.530048,101.269176,48.75214,102.814174
383.291553,322.809337,25.727973,116.308932,3.155882,3.294474,17.060091,387.65614,307.310923,389.219115,305.275716,386.389498
983.46654,746.070994,130.684811,93.290059,7.211895,12.33819,106.316168,847.002081,49.170031,902.368643,875.51921,805.857756
411.018694,296.630114,20.623788,53.150248,7.99028,4.537525,96.078215,327.476593,107.361636,390.044832,201.728039,329.727178
474.278057,410.31024,39.783623,127.545582,6.470839,5.676792,78.802736,448.473369,210.090555,473.043461,279.248516,479.226208
615.389916,530.695221,80.399706,147.957544,21.83364,10.518272,357.399834,563.112678,584.169031,596.386114,561.128042,565.890471
333.919449,240.395939,5.882587,146.989638,6.669563,4.972913,7.7924,313.432266,121.51278,271.488527,164.274301,313.421781
468.414833,249.219728,16.943963,29.573305,2.797238,3.381533,5.002107,326.252384,52.398683,374.28546,51.897364,469.3023
177.579792,103.947498,6.794262,21.018785,2.126423,1.785217,3.641912,157.619688,11.360401,172.300513,12.030546,177.506137
621.10814,720.597822,59.382187,81.8101,7.80926,27.445382,36.289035,670.295673,142.252458,703.039968,491.502186,580.942802
366.067594,119.928097,10.754884,10.902842,3.03449,2.983725,6.18314,315.230775,75.679821,268.446514,184.567769,351.301342
310.701651,154.369568,21.337953,19.723851,3.541923,3.599152,13.815736,283.065775,51.881632,355.06064,87.668858,246.31148
26.530095,4.77544,2.208767,2.254629,1.526028,1.510983,1.798211,25.609525,2.599049,27.542301,5.036072,26.52558
465.719675,414.418717,48.716018,185.786595,5.604622,4.086149,90.037521,359.490566,181.63577,395.680187,385.099205,431.103081
250.347545,290.207067,7.43486,87.21525,3.036175,12.922053,156.162032,211.338308,239.395159,255.227016,175.625745,256.988734
777.504795,821.745844,161.499869,496.989112,4.035628,4.025386,18.894119,746.956735,48.404697,718.80355,683.165277,736.183177
362.656463,292.877954,70.25341,113.606748,10.864503,5.66093,23.183183,384.224898,184.162573,376.675953,269.567366,360.667848
936.081767,924.681731,387.540528,712.792584,77.146168,163.731974,69.722574,1115.958648,584.971592,1114.393943,886.862721,1204.991997
607.952807,604.312485,91.981428,125.112499,5.024557,22.627071,552.452211,480.976461,67.845962,498.900149,281.239799,485.832353
1315.11517,1291.523178,137.864194,52.187363,5.37132,8.263545,1046.799808,1441.319303,1140.087731,1550.525505,1241.194322,1240.298852
360.130537,272.750167,19.465376,107.992997,7.094953,9.675254,22.336177,290.019395,57.886041,330.004105,97.96004,345.809037
714.593227,666.218405,33.70516,40.741092,5.581133,4.823968,49.240266,681.544653,637.10585,735.020272,612.552719,714.451573
