FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2,SER_1
102.736032,63.262031,33.704264,39.460873,12.993817,9.591827,58.04622,100.719362,94.450825,94.694096,88.985575,49.328946,34.039264,4.803997,23.267286
383.291553,322.809337,25.727973,116.308932,3.155882,3.294474,171.017407,404.450163,346.083704,416.710691,428.978731,198.705578,49.552133,5.237966,266.929284
983.46654,746.070994,130.684811,93.290059,7.211895,12.33819,285.051978,589.503321,535.590608,542.042988,478.155863,319.081381,59.287842,5.565761,429.529463
411.018694,296.630114,20.623788,53.150248,7.99028,4.537525,242.70854,164.113145,234.034705,200.224954,148.252288,39.316987,42.001887,7.017597,372.869852
474.278057,410.31024,39.783623,127.545582,6.470839,5.676792,116.720221,326.308991,377.206623,414.154054,450.599427,197.96061,110.931607,8.553167,231.867704
615.389916,530.695221,80.399706,147.957544,21.83364,10.518272,186.825026,553.764731,482.508152,413.901334,430.339178,308.654244,141.580347,11.781493,321.350999
333.919449,240.395939,5.882587,146.989638,6.669563,4.972913,53.496732,269.803833,238.511018,260.07582,246.049969,99.571111,81.181334,5.307115,62.975285
468.414833,249.219728,16.943963,29.573305,2.797238,3.381533,6.675974,141.812656,164.728613,152.006046,187.434929,159.497981,26.895002,3.581163,47.948684
177.579792,103.947498,6.794262,21.018785,2.126423,1.785217,6.523075,58.946199,61.234637,64.382632,63.636038,7.265437,8.085552,2.040574,9.688944
621.10814,720.597822,59.382187,81.8101,7.80926,27.445382,278.494963,546.683427,420.614206,912.678474,487.639189,282.452099,82.240227,7.587277,505.162284
366.067594,119.928097,10.754884,10.902842,3.03449,2.983725,4.984589,363.690756,354.479105,488.063296,196.092434,97.584136,6.744277,4.747318,19.259784
310.701651,154.369568,21.337953,19.723851,3.541923,3.599152,22.336165,144.732412,148.842948,154.039321,128.103823,47.170132,17.879744,2.942315,49.17301
26.530095,4.77544,2.208767,2.254629,1.526028,1.510983,1.747647,23.994623,23.843836,23.925948,28.385057,2.54988,2.123015,1.890589,1.997865
465.719675,414.418717,48.716018,185.786595,5.604622,4.086149,142.917818,326.517501,322.96201,318.749445,266.980497,319.415398,226.74351,6.706582,366.393793
250.347545,290.207067,7.43486,87.21525,3.036175,12.922053,84.892436,356.52568,624.757369,337.306811,414.172478,75.790104,159.638847,5.905702,210.553333
777.504795,821.745844,161.499869,496.989112,4.035628,4.025386,466.080479,710.377754,562.268337,998.90812,540.971115,707.109783,419.663777,5.270796,514.051401
362.656463,292.877954,70.25341,113.606748,10.864503,5.66093,42.044755,229.515776,245.69115,214.452516,128.543285,128.216861,26.062935,5.402403,87.975361
936.081767,924.681731,387.540528,712.792584,77.146168,163.731974,533.905653,778.656456,911.973853,1100.672212,490.794605,435.984299,727.174924,48.039695,1017.262495
607.952807,604.312485,91.981428,125.112499,5.024557,22.627071,199.693311,315.694662,354.831394,477.665903,438.121902,203.119466,91.859605,36.326804,424.055837
1315.11517,1291.523178,137.864194,52.187363,5.37132,8.263545,72.643093,874.433078,701.069587,795.755808,970.877217,615.726136,129.542347,6.478181,693.522305
360.130537,272.750167,19.465376,107.992997,7.094953,9.675254,27.822177,241.016212,220.67128,273.897535,212.71381,65.375553,53.05623,5.159451,41.804108
714.593227,666.218405,33.70516,40.741092,5.581133,4.823968,83.803322,594.078253,546.08207,639.850079,584.98213,337.48893,45.843086,4.77062,210.772344
