SAF,F2,FCFS
12.993817,9.591827,102.736032
3.155882,3.294474,383.291553
7.211895,12.33819,983.46654
7.99028,4.537525,411.018694
6.470839,5.676792,474.278057
21.83364,10.518272,615.389916
6.669563,4.972913,333.919449
2.797238,3.381533,468.414833
2.126423,1.785217,177.579792
7.80926,27.445382,621.10814
3.03449,2.983725,366.067594
3.541923,3.599152,310.701651
1.526028,1.510983,26.530095
5.604622,4.086149,465.719675
3.036175,12.922053,250.347545
4.035628,4.025386,777.504795
10.864503,5.66093,362.656463
77.146168,163.731974,936.081767
5.024557,22.627071,607.952807
5.37132,8.263545,1315.11517
7.094953,9.675254,360.130537
5.581133,4.823968,714.593227
