SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
44.269905,19.226983,15.272528,38.849342,44.539716,15.272528,101.925365,142.244241,45.723947,39.077139,63.45637,15.272528,35.151709,57.991658,14.986406,41.562695,38.779115,17.681613,52.594211,17.240621,29.049085,107.935038,18.296044,18.47801,19.030931,35.366024,39.642171,48.443892,32.004308,56.102424
12.485049,12.756221,11.717156,67.605485,174.478549,11.717156,362.357621,486.745926,35.196757,48.34538,136.067408,11.717156,131.969932,83.995889,12.909415,48.063918,177.921144,19.181191,304.798099,14.820813,125.032934,418.957776,15.925253,15.363035,21.567104,261.999236,20.079314,502.570329,16.971063,158.556131
27.679113,57.542793,20.695064,205.146969,613.607827,20.695064,686.378972,1019.574751,34.843302,56.270124,273.575024,20.695064,32.486627,68.960661,29.115592,56.015546,196.327603,29.544074,77.289749,35.780577,391.318544,554.312448,57.877762,47.199301,55.136615,351.216286,18.611069,571.611673,49.516788,106.07636
53.829493,33.896566,31.896478,52.842211,111.595467,31.896478,260.639096,423.946479,67.825719,46.934327,83.136524,31.896478,39.169673,212.429702,24.919337,80.736452,52.71168,49.934585,84.483712,196.812893,177.889436,351.583465,48.135143,43.307937,40.511877,50.605999,17.516496,191.184817,33.905506,70.245998
15.849091,32.3729,23.213711,112.934539,171.310942,23.213711,247.198832,493.162944,199.014473,152.949297,168.108894,23.213711,97.596624,47.938397,20.151283,164.890945,165.366089,28.095553,144.358128,23.542979,147.18375,431.528763,16.767806,25.512022,29.437685,252.538802,21.016975,271.389274,65.315617,126.578241
31.703172,40.150493,41.052632,176.489861,213.316673,41.052632,290.629735,438.158807,315.301499,129.386838,320.717887,41.052632,66.064284,116.743858,18.115631,269.756728,233.794093,57.516043,92.859819,86.176343,254.026602,555.571657,79.330132,39.979267,51.312744,137.664862,65.631212,348.334709,116.454891,256.537589
10.673372,8.857859,11.865179,24.708206,78.012819,11.865179,111.721967,314.730215,124.926519,142.641287,140.498698,11.865179,25.987237,47.148066,9.088258,121.747025,152.130687,12.320958,68.370946,13.028705,104.936573,320.329126,14.161206,12.448874,19.506233,147.869125,6.30965,164.469166,93.856034,95.46226
22.089317,3.242753,9.032658,12.255408,124.455097,9.032658,108.948471,394.600991,35.365579,24.007146,43.886263,9.032658,26.899265,21.801268,8.036993,31.32462,46.551965,11.656439,92.528699,7.970241,58.983378,318.033159,13.498198,12.162896,13.698061,94.677845,10.552019,163.030143,7.231267,21.082339
4.862534,4.320712,4.313779,4.525788,53.485443,4.313779,31.340774,179.451584,9.51969,19.213971,17.751217,4.313779,7.55487,11.650521,4.376524,14.886595,24.413259,5.667647,19.609542,46.275489,37.365055,182.069372,6.443499,4.746188,5.358814,66.222716,2.57332,19.712004,5.895682,6.143899
52.841284,20.185726,20.027735,99.367247,387.543475,20.027735,313.183795,862.770221,121.683958,74.375448,125.818314,20.027735,53.942397,36.823107,20.363348,116.541867,177.089034,23.549442,77.796459,23.478427,315.039811,563.195385,25.776088,19.414149,26.433553,206.53104,88.370866,493.216642,23.219394,114.10962
