LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
13.663397,11.84168,93.297386,14.280935,17.257574,25.879968,102.736032,91.900384,6.876471,14.664033,17.897313,15.785599,17.806343,17.878804,18.015092,13.661131,16.453141,18.015092,18.015092,14.507501,17.811162,45.568238,17.811162,50.743398,17.811162,42.989255,102.929396,17.070086,15.361887,102.736032,101.565386,11.197345,12.767588,102.736032,238.072204,14.507501,17.811162,17.806343
11.658874,2.892667,110.577362,9.741547,18.020786,22.414346,383.291553,393.37152,7.266704,11.385026,15.138151,16.970582,15.07003,15.720746,15.714409,11.337693,15.595077,15.712387,15.714409,11.43091,15.119901,118.906315,15.119901,25.218504,15.119901,130.989563,394.604489,15.448963,13.506238,383.291553,382.533909,2.951188,4.406044,383.291553,651.834266,11.43091,15.119901,14.787572
41.418937,9.559643,176.069983,31.147446,30.732149,34.531477,983.46654,831.479029,8.761011,30.559739,18.266914,18.355039,17.646829,59.616681,166.859044,41.177733,166.585305,165.873384,166.859044,41.543575,18.692743,48.272619,18.692743,29.927288,18.692743,355.573181,1051.189337,18.599521,14.706618,983.46654,983.394029,6.626546,6.914277,983.46654,1401.799993,41.543575,18.692743,16.590771
28.391777,32.457813,218.433161,83.346403,32.378299,27.618278,411.018694,574.219782,5.565703,54.001462,31.515205,129.858236,33.169713,34.834519,300.42791,28.663937,298.875338,300.428001,297.290983,28.495556,131.255155,53.270073,131.255155,31.055757,131.391225,56.514001,412.556316,131.303835,36.183472,411.018694,410.949842,5.009305,5.394905,411.018694,638.66664,28.495556,131.255155,104.604798
19.762946,4.351342,236.493871,11.018442,30.799573,28.252423,474.278057,441.159245,8.280752,15.177938,25.935734,20.416178,26.104913,25.933223,27.114602,21.518245,23.319483,27.10301,27.129404,19.673998,19.772841,162.396688,19.772841,27.197597,19.772841,195.69374,443.010483,19.786147,18.312554,474.278057,473.173115,6.250151,5.828431,474.278057,1292.428359,19.673998,19.772841,20.447745
24.781474,7.368224,198.236859,61.779777,39.521363,38.166761,615.389916,510.22314,21.908129,29.737573,35.046826,62.84893,35.561276,35.874409,131.300874,25.154704,138.65209,131.288347,131.218391,24.813286,63.251157,221.499145,63.251157,44.222056,44.596452,237.262197,591.308364,63.261456,32.574361,615.389916,615.589951,19.032099,20.565127,615.389916,1019.202686,24.813286,63.251157,46.899459
9.070161,4.420424,132.338359,7.426902,17.795675,15.913711,333.919449,243.109876,4.90451,7.276443,12.782674,10.982248,11.55415,11.398828,15.387904,9.489457,14.6841,15.296468,15.387904,9.258847,11.449607,110.68769,11.449607,17.732995,11.449607,124.809379,313.089706,11.394118,14.159718,333.919449,333.213765,2.802607,2.879309,333.919449,668.27955,9.258847,11.449607,14.933408
10.215554,3.097169,74.161639,7.537363,12.184172,7.630411,468.414833,363.037732,3.433783,9.801481,11.966884,5.345505,11.962121,11.966248,23.321999,10.23456,23.042952,23.376853,23.321999,10.132275,5.634416,23.908176,5.634416,7.336512,5.634416,36.798877,455.98626,5.606193,5.425171,468.414833,465.258568,3.044005,3.321494,468.414833,555.827022,10.132275,5.634416,9.50502
3.688099,2.058794,40.419494,2.649499,5.243085,6.894789,177.579792,104.80073,2.540422,3.519133,4.516006,5.387305,3.971752,4.618708,100.339564,4.032103,100.280988,100.33923,100.283162,3.635768,5.559969,20.45922,5.559969,8.689355,5.575743,24.187916,179.948478,5.729763,3.639026,177.579792,177.586437,2.116677,2.164387,177.579792,298.751723,3.635768,5.559969,4.076736
18.367855,3.665034,148.052556,12.918783,47.949629,47.540758,621.10814,624.431449,5.883535,12.966548,39.263861,14.400608,19.974198,15.903116,34.105405,19.22986,68.183213,71.627109,72.68156,17.168372,14.648507,150.902424,14.648507,36.785688,14.648213,180.714377,748.485332,14.804705,21.319919,621.10814,621.363329,23.304858,23.533673,621.10814,1025.016506,17.168372,14.648507,19.981774
