SER_9_1,SER_6_3,F2,MEM2
19.030931,17.681613,9.591827,4.803997
21.567104,19.181191,3.294474,5.237966
55.136615,29.544074,12.33819,5.565761
40.511877,49.934585,4.537525,7.017597
29.437685,28.095553,5.676792,8.553167
51.312744,57.516043,10.518272,11.781493
19.506233,12.320958,4.972913,5.307115
13.698061,11.656439,3.381533,3.581163
5.358814,5.667647,1.785217,2.040574
26.433553,23.549442,27.445382,7.587277
18.957799,11.973795,2.983725,4.747318
7.578361,5.759456,3.599152,2.942315
3.234621,3.194836,1.510983,1.890589
26.052244,20.27372,4.086149,6.706582
11.879064,9.542527,12.922053,5.905702
9.623482,8.809914,4.025386,5.270796
20.403285,20.639103,5.66093,5.402403
50.310904,37.301112,163.731974,48.039695
19.357322,13.947064,22.627071,36.326804
35.112828,28.847599,8.263545,6.478181
32.168341,27.838317,9.675254,5.159451
12.05311,17.99598,4.823968,4.77062
