MEM2,MEM4,SAF,F2,LIN
4.803997,12.993817,12.993817,9.591827,58.04622
5.237966,3.155882,3.155882,3.294474,171.017407
5.565761,7.211895,7.211895,12.33819,285.051978
7.017597,7.99028,7.99028,4.537525,242.70854
8.553167,6.470839,6.470839,5.676792,116.720221
11.781493,21.83364,21.83364,10.518272,186.825026
5.307115,6.669563,6.669563,4.972913,53.496732
3.581163,2.797238,2.797238,3.381533,6.675974
2.040574,2.126423,2.126423,1.785217,6.523075
7.587277,7.80926,7.80926,27.445382,278.494963
4.747318,3.03449,3.03449,2.983725,4.984589
2.942315,3.541923,3.541923,3.599152,22.336165
1.890589,1.526028,1.526028,1.510983,1.747647
6.706582,5.604622,5.604622,4.086149,142.917818
5.905702,3.036175,3.036175,12.922053,84.892436
5.270796,4.035628,4.035628,4.025386,466.080479
5.402403,10.864503,10.864503,5.66093,42.044755
48.039695,77.146168,77.146168,163.731974,533.905653
36.326804,5.024557,5.024557,22.627071,199.693311
6.478181,5.37132,5.37132,8.263545,72.643093
5.159451,7.094953,7.094953,9.675254,27.822177
4.77062,5.581133,5.581133,4.823968,83.803322
