MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
34.039264,4.803997,5.05684,12.993817,12.993817,9.591827,102.736032
49.552133,5.237966,13.278088,3.155882,3.155882,3.294474,383.291553
59.287842,5.565761,9.759577,7.211895,7.211895,12.33819,983.46654
42.001887,7.017597,12.843527,7.99028,7.99028,4.537525,411.018694
110.931607,8.553167,6.36843,6.470839,6.470839,5.676792,474.278057
141.580347,11.781493,30.446194,21.83364,21.83364,10.518272,615.389916
81.181334,5.307115,4.926176,6.669563,6.669563,4.972913,333.919449
26.895002,3.581163,8.962772,2.797238,2.797238,3.381533,468.414833
8.085552,2.040574,1.988548,2.126423,2.126423,1.785217,177.579792
82.240227,7.587277,22.507365,7.80926,7.80926,27.445382,621.10814
6.744277,4.747318,5.168054,3.03449,3.03449,2.983725,366.067594
17.879744,2.942315,5.449278,3.541923,3.541923,3.599152,310.701651
2.123015,1.890589,2.184415,1.526028,1.526028,1.510983,26.530095
226.74351,6.706582,6.715732,5.604622,5.604622,4.086149,465.719675
159.638847,5.905702,4.910376,3.036175,3.036175,12.922053,250.347545
419.663777,5.270796,63.478164,4.035628,4.035628,4.025386,777.504795
26.062935,5.402403,11.116901,10.864503,10.864503,5.66093,362.656463
727.174924,48.039695,109.580876,77.146168,77.146168,163.731974,936.081767
91.859605,36.326804,42.145907,5.024557,5.024557,22.627071,607.952807
129.542347,6.478181,46.182213,5.37132,5.37132,8.263545,1315.11517
53.05623,5.159451,4.216312,7.094953,7.094953,9.675254,360.130537
45.843086,4.77062,8.039076,5.581133,5.581133,4.823968,714.593227
