LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
58.04622,13.797739,14.023122,27.028606,12.374451,17.811162,12.993817,9.591827
171.017407,12.39479,9.617678,109.362426,3.56491,15.119901,3.155882,3.294474
285.051978,12.728678,11.134661,228.055923,50.614476,18.692743,7.211895,12.33819
242.70854,110.600915,94.036585,46.497149,26.843604,133.141545,7.99028,4.537525
116.720221,12.388712,11.770399,118.177342,6.741104,19.773707,6.470839,5.676792
186.825026,46.436535,22.417217,316.727979,13.036554,44.581761,21.83364,10.518272
53.496732,6.340818,7.805922,61.633051,4.22146,11.464551,6.669563,4.972913
6.675974,5.642095,5.937228,55.952725,29.013117,5.634416,2.797238,3.381533
6.523075,4.652156,3.34791,11.361949,24.464114,5.575743,2.126423,1.785217
278.494963,10.021581,17.440542,79.477411,11.586916,13.226091,7.80926,27.445382
4.984589,10.2235,10.529897,21.133953,5.14599,11.746557,3.03449,2.983725
22.336165,5.434692,5.901671,18.172739,6.919379,8.905792,3.541923,3.599152
1.747647,2.576859,2.213572,3.7645,1.904242,2.828184,1.526028,1.510983
142.917818,12.238695,11.991044,47.282931,7.272653,16.955628,5.604622,4.086149
84.892436,6.193359,6.525973,30.19958,4.413572,7.88208,3.036175,12.922053
466.080479,6.258883,6.964094,23.331779,19.2055,8.271473,4.035628,4.025386
42.044755,10.54086,11.106143,24.761212,25.561612,12.661817,10.864503,5.66093
533.905653,26.818525,25.997137,180.237137,70.875567,40.848546,77.146168,163.731974
199.693311,7.445364,7.750598,50.684134,38.570048,11.32535,5.024557,22.627071
72.643093,76.660885,7.158758,52.952227,61.97646,42.836614,5.37132,8.263545
27.822177,11.666332,14.135426,74.387823,10.37223,18.782437,7.094953,9.675254
83.803322,11.946258,7.784158,109.46357,9.972901,14.745074,5.581133,4.823968
