LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
58.04622,16.489432,13.797739,19.030931,17.681613,4.803997,34.039264,12.993817,9.591827
171.017407,14.387126,12.39479,21.567104,19.181191,5.237966,49.552133,3.155882,3.294474
285.051978,52.730382,12.728678,55.136615,29.544074,5.565761,59.287842,7.211895,12.33819
242.70854,95.486132,110.600915,40.511877,49.934585,7.017597,42.001887,7.99028,4.537525
116.720221,19.312947,12.388712,29.437685,28.095553,8.553167,110.931607,6.470839,5.676792
186.825026,41.141161,46.436535,51.312744,57.516043,11.781493,141.580347,21.83364,10.518272
53.496732,9.285005,6.340818,19.506233,12.320958,5.307115,81.181334,6.669563,4.972913
6.675974,10.810706,5.642095,13.698061,11.656439,3.581163,26.895002,2.797238,3.381533
6.523075,4.885167,4.652156,5.358814,5.667647,2.040574,8.085552,2.126423,1.785217
278.494963,16.216165,10.021581,26.433553,23.549442,7.587277,82.240227,7.80926,27.445382
4.984589,9.73135,10.2235,18.957799,11.973795,4.747318,6.744277,3.03449,2.983725
22.336165,6.402419,5.434692,7.578361,5.759456,2.942315,17.879744,3.541923,3.599152
1.747647,2.774087,2.576859,3.234621,3.194836,1.890589,2.123015,1.526028,1.510983
142.917818,14.609131,12.238695,26.052244,20.27372,6.706582,226.74351,5.604622,4.086149
84.892436,8.987166,6.193359,11.879064,9.542527,5.905702,159.638847,3.036175,12.922053
466.080479,8.011944,6.258883,9.623482,8.809914,5.270796,419.663777,4.035628,4.025386
42.044755,11.554619,10.54086,20.403285,20.639103,5.402403,26.062935,10.864503,5.66093
533.905653,42.088344,26.818525,50.310904,37.301112,48.039695,727.174924,77.146168,163.731974
199.693311,9.040877,7.445364,19.357322,13.947064,36.326804,91.859605,5.024557,22.627071
72.643093,25.548655,76.660885,35.112828,28.847599,6.478181,129.542347,5.37132,8.263545
27.822177,16.789095,11.666332,32.168341,27.838317,5.159451,53.05623,7.094953,9.675254
83.803322,8.97077,11.946258,12.05311,17.99598,4.77062,45.843086,5.581133,4.823968
