SAF,F2,FCFS
15.278505,14.178087,31.801037
13.005204,7.43442,137.57649
24.708769,12.658866,211.200819
17.990601,58.700847,54.528076
15.562127,11.299377,101.491076
24.461292,20.025196,78.963474
8.133843,10.244671,27.276642
4.835094,5.951072,70.960422
4.371046,4.560079,10.111373
10.509949,9.347859,101.96517
10.746937,9.100659,32.053308
5.689998,6.459713,89.081632
2.460865,2.695336,4.716868
14.524357,13.547889,87.801057
16.194392,11.476114,25.366915
7.331844,7.163848,213.440752
12.2973,14.792746,44.2945
44.12852,43.456986,334.977371
23.187162,10.210243,141.522126
20.937581,7.15635,359.804675
7.348028,8.676847,55.844728
19.406562,22.678095,93.526593
