SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
14.856573,15.770642,15.261006,18.160793,15.423245,15.261006,26.799474,37.086169,18.140005,16.563811,19.484993,15.261006,16.358551,16.436007,14.317429,17.050704,20.862528,16.119716,24.324457,15.904568,22.044786,19.075924,16.017181,16.830799,16.528899,22.02801,17.278256,16.720858,19.233619,17.454666
16.877761,12.534274,11.865454,13.404156,16.892099,11.865454,117.540297,47.728882,15.295209,7.542478,22.153233,11.865454,12.012687,11.634854,10.710449,7.736185,10.717983,14.976457,57.146584,13.900915,35.438753,25.597612,15.06467,14.027002,11.803735,30.508607,8.717354,12.409522,10.160648,14.551476
39.581217,23.633808,16.424806,35.457466,22.297199,16.424806,151.835039,158.513091,35.883136,29.548304,219.135726,16.424806,43.706304,33.630117,41.192797,19.118246,37.714109,18.438976,109.726142,28.891778,71.221765,54.531601,20.504805,23.276966,53.41575,326.830604,38.83578,30.078338,38.425218,54.572674
32.929595,34.356089,42.927325,23.10773,27.72234,42.927325,49.336428,42.900786,20.390691,22.688072,24.196575,42.927325,30.186681,21.83282,21.331459,28.174695,20.496962,27.21221,38.052396,49.61326,63.243603,22.559914,20.752795,29.613861,33.740083,30.977557,15.131195,27.726147,31.051659,13.44229
24.076037,15.006833,19.232175,15.738563,28.621801,19.232175,74.409215,54.254265,19.543237,13.697024,52.80377,19.232175,24.383255,15.921542,21.34566,23.643797,24.509921,24.836842,59.517856,24.049992,26.482073,22.387009,13.841072,25.254874,29.313659,30.883414,16.916623,28.37319,14.704831,14.32193
21.131904,16.724572,33.248176,20.42588,38.707012,33.248176,59.623691,58.829856,56.321576,19.690058,54.11033,33.248176,19.373807,19.791336,16.877997,23.420967,35.667118,40.139914,44.592895,29.76312,33.698517,44.17213,22.550345,30.600428,43.864451,54.930835,13.218936,33.133626,18.970324,23.788475
11.321318,28.535007,10.311632,10.733986,8.446684,10.311632,17.141207,21.12125,18.840269,14.608918,18.771108,10.311632,10.985042,9.206487,9.646406,13.810873,33.67037,12.660539,21.097999,11.592098,16.528444,18.803473,10.039275,12.182186,9.204461,22.583045,12.201459,11.777021,7.603578,22.941068
11.476383,15.80651,9.802314,20.759624,20.192729,9.802314,37.390155,68.328987,26.756146,18.495466,30.660667,9.802314,11.50867,12.196694,10.140056,28.012635,25.139244,8.028542,46.347145,4.81638,26.778113,28.885865,10.592973,9.668486,6.340234,18.857336,19.791351,12.781279,10.620793,21.235048
4.026154,6.701296,4.587139,6.757091,6.807141,4.587139,8.552121,32.961462,8.573037,5.113289,8.337193,4.587139,4.792653,5.497111,4.735497,6.956667,7.985982,5.451453,11.455533,5.626217,15.036535,7.133927,3.874462,5.256454,5.395577,10.321546,5.986684,5.378505,4.365976,5.406223
22.546513,19.764868,28.785175,18.120332,13.300286,28.785175,83.027846,144.399608,30.558546,24.688827,66.685308,28.785175,22.473297,13.22488,19.848598,41.171252,35.361744,23.015158,34.102588,17.487762,63.323719,34.52456,11.754454,19.760615,18.943485,58.032271,38.689433,21.758863,14.51816,35.743335
