LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
18.512055,351.883029,682.001951,15.381755,17.643618,21.912416,2430.952191,22.263932,25.542525,15.851362,682.001951,18.676582,20.209627,18.832437,590.800436,18.512055,20.209627,19.598687,1417.934194,18.619728,359.086164,18.647372,22.025082,22.263932,13.714189,10.125566,18.512055,18.400537,19.28618,9753.289533,18.556619,17.384828,16.330018,3190.86865,17.989051,22.263932,22.853358,22.853358
19.990649,10126.143448,147.637436,14.433611,15.776197,8.610009,6759.265041,16.38554,17.027498,13.29515,147.636794,7.430364,9.928971,15.921579,16012.132142,19.879333,9.928971,10.134887,1060.552747,10.560167,1659.167487,16.382453,6.384923,16.38554,12.191086,3350.002617,19.867918,8.048358,7.353156,17669.881834,14.24854,13.802655,16.221323,4058.243191,14.552464,16.38554,22.575277,22.575277
237.0772,647.661436,278.259832,36.167905,71.96783,24.449132,745.250942,20.475688,23.148207,18.123157,277.949535,24.989059,33.268884,73.535535,51.715157,264.850825,33.268884,44.968906,1703.370881,47.328655,957.564733,20.669331,42.82508,20.475688,13.921618,7.290208,292.648174,24.994034,20.661033,10311.745773,34.903144,16.182376,24.773574,1308.959008,19.086038,20.475688,21.544332,21.544332
20.446345,1357.175621,898.947124,31.712549,31.518491,32.363416,2417.311649,33.266457,31.789574,27.531991,904.870407,18.199517,30.758037,38.803342,4314.956015,26.862909,30.730237,30.223701,947.361599,29.474538,735.401202,31.042028,36.732416,33.266457,25.335354,5.660527,23.705547,31.732792,31.043489,4583.361984,30.616444,22.52619,32.843119,1092.637843,34.514827,33.266457,33.328537,33.328537
18.09167,1280.881117,586.407978,12.963045,38.994856,33.037151,954.525415,31.434761,32.063595,20.948183,580.787804,35.72862,25.782919,19.966381,911.09691,26.827928,25.783121,24.696462,580.369847,27.568629,10913.66425,23.515497,27.777663,31.434761,13.474832,6.570207,22.987225,28.527268,21.779698,960.149672,26.415386,23.212295,25.062413,865.222283,32.516134,31.434761,30.527212,30.527212
27.649048,264.202206,470.092764,21.438566,56.203078,32.841233,1187.521526,35.894787,32.032746,25.281614,470.092764,38.96503,23.043425,40.498204,613.879187,55.500192,23.070943,23.723641,17065.3126,32.869855,291.188863,29.999647,25.934404,35.894787,18.785946,6.622042,45.688469,22.866671,30.12921,477.043544,34.321712,49.61736,48.510135,1163.856118,32.465173,35.894787,35.151737,35.151737
11.335233,2962.104276,281.764568,8.638812,11.950817,9.201459,420.727026,10.152085,9.93569,7.594194,281.583748,25.753719,13.445581,14.217441,4745.555949,11.308792,13.445581,13.124321,283.272009,8.672695,5501.95702,13.968629,14.355119,10.152085,8.286684,1061.776936,11.834817,13.463606,12.682513,1661.694778,8.798251,10.058013,10.031117,1813.417617,11.992029,10.152085,10.231395,10.231395
24.892222,2033.945289,448.50468,5.156289,6.997148,8.828154,899.579646,10.501424,11.252341,8.436976,448.947738,7.806549,9.64971,10.998645,6051.098279,29.958512,9.64971,9.338269,133.052937,9.830675,10476.855032,10.977308,10.06473,10.501424,7.569954,2.708116,24.592123,9.830663,10.873176,2284.381908,9.960829,15.623541,12.706373,766.652699,10.039844,10.501424,10.343986,10.343986
6.892341,733.774949,1876.250709,2.978419,9.422882,5.572223,3147.076389,6.343575,6.215686,3.884117,1876.250709,5.546122,4.885778,5.280689,1116.886715,6.958392,4.885778,4.124467,18397.376052,9.294264,2185.735585,5.970026,8.591832,6.343575,3.722398,1.760581,18.699397,4.835952,5.963999,315.37579,9.39524,5.824191,5.098626,1595.330813,5.884493,6.343575,5.778387,5.778387
40.665789,518.127219,1680.602969,16.754047,40.554161,28.852877,1402.6958,25.869539,28.916087,18.695354,1673.715972,66.94735,22.352462,15.252017,1931.815271,57.325527,22.352462,24.088998,1639.643426,28.86158,856.189601,33.917066,31.94114,25.869539,13.034137,955.789536,24.70199,24.363934,32.905579,2045.242079,27.114446,70.931283,21.270367,4534.594594,34.799136,25.869539,26.828969,26.828969
