SER_9_1,SER_6_3,F2,MEM2
16.528899,16.119716,14.178087,16.546741
11.803735,14.976457,7.43442,10.774461
53.41575,18.438976,12.658866,12.618476
33.740083,27.21221,58.700847,19.229011
29.313659,24.836842,11.299377,13.708914
43.864451,40.139914,20.025196,24.816791
9.204461,12.660539,10.244671,8.806403
6.340234,8.028542,5.951072,7.993898
5.395577,5.451453,4.560079,3.643054
18.943485,23.015158,9.347859,12.768484
9.542065,13.724166,9.100659,16.82198
5.739335,7.750865,6.459713,4.495753
2.772229,2.840714,2.695336,2.35416
19.44176,22.530915,13.547889,14.815575
8.924189,9.324307,11.476114,24.826378
9.429682,7.921493,7.163848,8.238435
19.316396,12.82455,14.792746,13.482063
29.066902,52.708672,43.456986,28.481137
18.619863,17.563049,10.210243,9.710505
14.239495,25.098689,7.15635,23.281432
25.183983,26.938873,8.676847,10.482519
12.531457,16.175761,22.678095,9.00738
