MEM2,MEM4,SAF,F2,LIN
16.546741,15.278505,15.278505,14.178087,17.456555
10.774461,13.005204,13.005204,7.43442,23.484516
12.618476,24.708769,24.708769,12.658866,55.305231
19.229011,17.990601,17.990601,58.700847,30.786526
13.708914,15.562127,15.562127,11.299377,26.996632
24.816791,24.461292,24.461292,20.025196,63.965486
8.806403,8.133843,8.133843,10.244671,12.828417
7.993898,4.835094,4.835094,5.951072,15.629918
3.643054,4.371046,4.371046,4.560079,6.541628
12.768484,10.509949,10.509949,9.347859,118.098397
16.82198,10.746937,10.746937,9.100659,11.498165
4.495753,5.689998,5.689998,6.459713,6.730133
2.35416,2.460865,2.460865,2.695336,2.631008
14.815575,14.524357,14.524357,13.547889,24.187841
24.826378,16.194392,16.194392,11.476114,27.842179
8.238435,7.331844,7.331844,7.163848,22.561028
13.482063,12.2973,12.2973,14.792746,21.14303
28.481137,44.12852,44.12852,43.456986,63.324508
9.710505,23.187162,23.187162,10.210243,28.092461
23.281432,20.937581,20.937581,7.15635,21.622233
10.482519,7.348028,7.348028,8.676847,13.855044
9.00738,19.406562,19.406562,22.678095,32.29307
