MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
19.972308,16.546741,14.122149,15.278505,15.278505,14.178087,31.801037
13.651972,10.774461,10.999971,13.005204,13.005204,7.43442,137.57649
68.034405,12.618476,34.02578,24.708769,24.708769,12.658866,211.200819
23.002782,19.229011,29.31665,17.990601,17.990601,58.700847,54.528076
28.535358,13.708914,14.192413,15.562127,15.562127,11.299377,101.491076
23.474489,24.816791,22.555738,24.461292,24.461292,20.025196,78.963474
7.786558,8.806403,9.537609,8.133843,8.133843,10.244671,27.276642
13.396182,7.993898,6.086717,4.835094,4.835094,5.951072,70.960422
4.891238,3.643054,2.875788,4.371046,4.371046,4.560079,10.111373
28.562852,12.768484,18.796553,10.509949,10.509949,9.347859,101.96517
10.38314,16.82198,10.872789,10.746937,10.746937,9.100659,32.053308
7.50877,4.495753,7.325219,5.689998,5.689998,6.459713,89.081632
3.691202,2.35416,2.412035,2.460865,2.460865,2.695336,4.716868
24.976364,14.815575,14.840855,14.524357,14.524357,13.547889,87.801057
10.282713,24.826378,6.583073,16.194392,16.194392,11.476114,25.366915
14.821915,8.238435,7.926775,7.331844,7.331844,7.163848,213.440752
13.806235,13.482063,11.650162,12.2973,12.2973,14.792746,44.2945
114.985917,28.481137,25.61072,44.12852,44.12852,43.456986,334.977371
16.375262,9.710505,13.822099,23.187162,23.187162,10.210243,141.522126
57.483729,23.281432,11.636307,20.937581,20.937581,7.15635,359.804675
9.58242,10.482519,8.064691,7.348028,7.348028,8.676847,55.844728
32.307902,9.00738,14.854158,19.406562,19.406562,22.678095,93.526593
