LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
17.456555,16.832057,15.364816,16.528899,16.119716,16.546741,19.972308,15.278505,14.178087
23.484516,13.336722,12.655577,11.803735,14.976457,10.774461,13.651972,13.005204,7.43442
55.305231,22.395715,16.222929,53.41575,18.438976,12.618476,68.034405,24.708769,12.658866
30.786526,31.457363,27.034236,33.740083,27.21221,19.229011,23.002782,17.990601,58.700847
26.996632,20.566671,17.752132,29.313659,24.836842,13.708914,28.535358,15.562127,11.299377
63.965486,28.341031,24.646197,43.864451,40.139914,24.816791,23.474489,24.461292,20.025196
12.828417,10.101225,8.212503,9.204461,12.660539,8.806403,7.786558,8.133843,10.244671
15.629918,8.5557,5.513461,6.340234,8.028542,7.993898,13.396182,4.835094,5.951072
6.541628,3.697451,4.99271,5.395577,5.451453,3.643054,4.891238,4.371046,4.560079
118.098397,15.518283,13.461017,18.943485,23.015158,12.768484,28.562852,10.509949,9.347859
11.498165,10.072169,9.244141,9.542065,13.724166,16.82198,10.38314,10.746937,9.100659
6.730133,6.72468,6.110343,5.739335,7.750865,4.495753,7.50877,5.689998,6.459713
2.631008,2.788652,2.808317,2.772229,2.840714,2.35416,3.691202,2.460865,2.695336
24.187841,15.195874,14.944838,19.44176,22.530915,14.815575,24.976364,14.524357,13.547889
27.842179,8.41411,6.644276,8.924189,9.324307,24.826378,10.282713,16.194392,11.476114
22.561028,7.745178,7.21488,9.429682,7.921493,8.238435,14.821915,7.331844,7.163848
21.14303,14.959307,12.815025,19.316396,12.82455,13.482063,13.806235,12.2973,14.792746
63.324508,37.345125,27.394269,29.066902,52.708672,28.481137,114.985917,44.12852,43.456986
28.092461,15.695127,14.465312,18.619863,17.563049,9.710505,16.375262,23.187162,10.210243
21.622233,26.396031,24.443667,14.239495,25.098689,23.281432,57.483729,20.937581,7.15635
13.855044,17.397141,14.331883,25.183983,26.938873,10.482519,9.58242,7.348028,8.676847
32.29307,13.718365,10.785068,12.531457,16.175761,9.00738,32.307902,19.406562,22.678095
