LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
57.389307,120.390512,15.373061,188.26249,16.026459,27.028606,56.717104,16.660249,173.706409,17.811162
321.430849,337.735637,12.858633,518.527256,11.202518,109.362426,29.304191,15.774421,418.695126,15.119901
529.690471,220.789209,16.260881,1039.251649,17.171741,228.055923,133.72522,119.401322,601.142624,18.692743
143.933313,138.480631,75.704677,495.079289,22.022392,46.497149,43.804959,35.046301,133.932591,133.141545
191.014535,278.843867,18.145715,586.347177,11.635112,118.177342,28.433535,29.372512,301.14487,19.773707
208.912412,270.651464,70.424286,784.042943,25.466321,316.727979,107.675602,25.909713,381.85711,44.581761
124.718413,131.11606,8.368862,464.811447,10.696615,61.633051,48.73817,10.971452,163.286286,11.464551
131.991634,98.058536,5.834863,503.200721,6.473741,55.952725,87.16181,55.95032,359.829265,5.634416
12.363732,19.094034,5.562468,253.041764,4.074697,11.361949,34.621329,18.026878,142.523499,5.575743
116.321471,221.507026,13.839141,827.032794,11.434912,79.477411,217.962601,30.78452,427.51135,13.226091
46.898024,308.623076,9.36375,436.064068,12.65121,21.133953,15.424937,11.487536,219.259921,11.746557
151.462171,29.932855,6.400737,370.737332,7.03119,18.172739,159.990301,8.325901,147.799686,8.905792
4.499881,12.305879,2.808129,46.959753,2.974612,3.7645,7.545638,6.979938,31.989561,2.828184
152.48223,218.443133,14.730169,618.628087,15.369791,47.282931,65.137474,26.980743,417.035752,16.955628
66.098447,157.091781,6.86985,342.582177,5.998562,30.19958,74.800399,50.738246,270.345955,7.88208
367.933353,454.802479,7.328454,862.394585,7.567796,23.331779,449.096535,99.634678,728.242952,8.271473
80.032364,68.655867,13.111229,460.377443,11.377513,24.761212,64.241181,53.141082,269.544665,12.661817
462.128002,277.857211,25.325162,1154.239519,24.574237,180.237137,466.419503,111.550207,641.847259,40.848546
136.67402,210.22389,8.60289,755.796264,8.003423,50.684134,98.891306,61.476689,322.301562,11.32535
609.987547,305.82616,98.379239,1635.170288,20.695394,52.952227,599.661643,306.39244,569.665797,42.836614
51.74836,111.351888,20.034207,444.388966,18.036734,74.387823,51.210776,29.013058,286.459338,18.782437
194.543342,334.207747,13.781763,811.14742,16.149685,109.46357,37.865788,37.698031,713.136801,14.745074
