SAF,F2,FCFS
18.124544,17.483701,102.736032
11.726049,7.075002,383.291553
25.151401,13.946714,983.46654
20.028401,18.332618,411.018694
16.037412,13.610352,474.278057
20.777516,27.583907,615.389916
11.457997,8.598578,333.919449
5.311426,5.408594,468.414833
3.838882,7.184884,177.579792
14.269707,14.313003,621.10814
13.74739,10.134518,366.067594
12.095711,5.845284,310.701651
2.783873,2.381944,26.530095
14.987184,13.305643,465.719675
15.399667,19.032368,250.347545
7.530241,7.05393,777.504795
13.590027,13.145176,362.656463
59.53686,113.70953,936.081767
29.137276,27.700344,607.952807
23.904877,15.331252,1315.11517
8.992494,9.242658,360.130537
30.576189,23.535542,714.593227
