SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
24.591191,30.733749,22.563349,66.310749,28.302557,22.563349,97.578083,147.267337,76.547087,68.427373,100.41523,22.563349,35.937773,35.000913,14.864343,64.538685,64.228422,16.368181,74.540285,16.128568,58.398605,107.935038,19.708173,17.01513,19.030931,320.93439,62.550415,65.699315,54.173404,77.828559
16.303332,37.956354,18.355816,149.631545,84.141518,18.355816,337.813016,485.423974,267.887241,40.736541,327.561171,18.355816,147.000442,22.382201,16.796351,316.811926,293.937324,17.516207,303.722704,13.923779,233.273614,418.957776,13.433299,14.173372,21.567104,393.673392,54.904443,332.48973,43.597919,263.363989
60.793672,55.829011,23.54695,187.255162,284.304456,23.54695,1163.692192,1002.153163,618.375119,87.038165,941.923378,23.54695,136.166809,34.721262,18.782225,828.408687,834.722073,58.531042,301.581048,35.960132,501.45319,554.312448,21.911814,21.118708,55.136615,579.2987,121.404014,723.671621,73.578251,857.450477
31.357906,73.333118,69.116471,121.144342,108.016155,69.116471,451.86224,378.177209,283.618807,54.490768,416.261849,69.116471,42.742775,26.571961,33.100379,424.312365,287.784258,58.338468,183.8482,198.894616,129.848153,351.583465,160.983253,32.363196,40.511877,286.05168,38.998233,208.306824,54.805442,212.642091
23.811624,92.135425,63.445107,172.713266,71.64666,63.445107,359.282137,495.502174,339.307803,135.650124,443.511287,63.445107,129.281774,34.939667,27.365409,431.002415,388.544421,35.772247,230.762353,20.391726,299.12889,431.528763,19.140998,24.907113,29.437685,478.360487,80.923091,298.977432,137.089311,308.552305
27.039203,80.802175,53.442813,287.505872,91.795409,53.442813,583.775388,565.858316,434.241048,123.961136,574.369634,53.442813,57.878724,46.296043,19.545177,448.252243,418.198043,39.854099,115.192552,86.385603,350.09783,555.571657,90.389201,51.806288,51.312744,355.259346,75.628319,206.66611,147.873416,401.331576
11.044581,112.478089,21.575955,136.956639,11.661568,21.575955,112.385146,411.939929,307.838282,168.34126,287.478681,21.575955,40.839661,62.213469,18.920753,256.899466,288.26349,12.60669,93.20268,14.017082,319.149429,320.329126,13.905171,14.21018,19.506233,316.314146,88.744913,256.012515,196.734399,317.606534
18.946342,110.715029,12.99373,78.390316,81.831124,12.99373,145.834672,392.716735,229.273473,66.832133,265.589764,12.99373,9.25947,31.689887,12.368817,248.796249,216.279299,9.897948,133.699329,7.455102,174.514987,318.033159,13.394056,12.651426,13.698061,235.94304,60.175508,225.242204,47.132115,140.851336
4.871862,18.917002,8.56999,14.034045,12.201232,8.56999,35.757966,191.965184,125.627204,18.993604,133.024056,8.56999,14.220787,8.865066,4.802776,116.214106,89.782357,7.760357,45.109455,46.517025,40.493733,182.069372,6.135644,5.163732,5.358814,171.029848,18.81969,48.56071,17.047525,93.55215
21.371818,28.262731,22.536292,76.88519,53.690937,22.536292,661.546793,836.186372,397.960481,61.524087,576.37454,22.536292,58.731799,85.710228,28.854278,522.894179,331.660724,23.371374,108.027473,23.177216,260.732401,563.195385,44.364842,23.535154,26.433553,603.29121,72.463337,453.141058,57.884174,388.388131
11.79003,35.389115,24.885669,50.264367,68.590102,24.885669,155.491564,513.002869,185.545515,41.1461,354.96218,24.885669,34.241679,23.088902,12.009355,107.479336,153.058699,11.830792,172.163179,10.447857,186.547989,302.964157,12.805474,12.075999,18.957799,323.619853,28.826491,128.001863,53.513482,230.780089
35.184077,60.106212,14.276556,76.396813,36.803956,14.276556,40.012613,199.759124,191.210056,62.791374,249.734676,14.276556,9.592484,16.643836,11.56352,191.152591,164.82521,6.634143,90.143025,44.291611,83.606132,160.749775,6.049183,8.397354,7.578361,131.268412,42.156005,127.725057,108.124999,147.549139
4.98544,4.596136,4.071045,6.641626,3.264718,4.071045,16.027887,38.688952,7.862854,5.176892,13.910808,4.071045,4.046505,4.819035,2.860223,12.079132,8.681259,3.159044,21.34325,2.609975,6.868006,21.102125,3.760099,3.38261,3.234621,16.866984,5.504518,6.540492,4.214275,7.290951
20.713871,50.387717,42.333265,105.828713,29.690903,42.333265,390.727702,445.334913,327.249585,51.292263,390.397273,42.333265,30.594529,28.669561,23.632652,209.464569,330.181843,28.679055,285.051558,16.788595,285.874397,516.171596,20.453395,21.142909,26.052244,601.760821,34.168028,316.034623,98.671367,313.302025
18.714509,34.503078,12.25195,85.336461,56.9473,12.25195,206.600802,286.038424,115.144698,90.126054,275.201418,12.25195,10.5663,29.491527,7.583391,186.075356,279.905142,9.840621,88.900465,9.634858,94.361579,454.27971,9.891975,9.833266,11.879064,384.172964,100.175993,146.421129,52.210543,173.642585
11.367165,58.564028,21.917084,219.199713,200.112887,21.917084,592.640299,801.40685,743.848133,30.719404,758.945473,21.917084,17.789149,51.367789,9.369361,686.772762,506.296957,8.950263,401.424085,9.246156,446.232872,673.376293,10.700611,10.301705,9.623482,731.424486,37.784122,499.672521,56.690998,534.926781
18.865649,44.942569,19.471138,118.359425,23.379523,19.471138,240.835859,426.274421,257.483587,66.586851,422.846031,19.471138,19.440373,23.582715,17.8167,355.177044,197.462448,13.830945,103.004849,16.674434,118.247842,248.957957,17.51365,21.295126,20.403285,267.404503,49.963382,102.618047,31.504916,99.407103
26.679901,202.465542,39.930254,393.481815,158.427068,39.930254,912.385535,1065.013834,1032.352523,347.182342,911.939338,39.930254,110.495785,148.790273,33.081209,1086.00378,1000.32422,47.673296,255.18656,89.304448,522.039843,1337.932772,156.123192,37.196932,50.310904,1080.71472,263.145041,634.943017,296.913887,626.20226
12.632715,81.237044,25.257298,145.980808,29.855692,25.257298,353.107892,565.228497,412.052496,40.867871,526.25628,25.257298,20.954848,19.498424,12.379081,478.970564,525.928651,13.86022,208.616476,77.349407,186.010084,466.355343,20.596314,12.044271,19.357322,470.573334,56.925282,331.756208,108.29733,358.133389
