LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
53.928145,89.828803,57.669363,68.47768,83.775904,198.912279,84.964605,84.093503,127.393751,72.094822,71.529508,50.067702,68.410487,79.919395,55.771634,65.609606,82.537514,51.825099,72.12906,150.999809,53.854711,97.116301,49.306354,89.6839,51.242842,151.603653,134.74458,54.150837,58.202457,102.508344,118.424168,64.961332,59.590865,62.88542,143.410102,94.942454,63.286868,105.542275
207.155123,278.532919,180.513546,155.406953,240.539989,274.736361,231.031433,261.560717,204.026449,171.609058,240.314814,253.077632,239.01342,90.952199,84.294448,217.784339,241.052456,156.724885,96.153964,425.701266,139.01721,240.873619,91.535846,285.577827,67.940689,243.935512,337.811367,93.824765,88.61113,275.864111,230.039665,156.205997,153.465583,185.078823,343.381832,285.681124,105.449196,294.291913
709.890564,740.856105,422.25066,514.823942,818.088001,816.693527,859.131693,579.502449,857.618597,483.396745,986.569994,793.790775,566.293598,758.955378,605.140212,716.212614,626.884694,607.06732,677.549113,1102.047331,721.231125,921.987038,664.108911,1077.051563,264.387457,1061.662426,1082.760136,834.828474,434.481695,856.300914,981.734993,553.297063,680.055028,834.552433,1061.580068,733.1876,615.337564,922.457679
519.184957,435.903177,468.536796,299.184103,344.710851,670.174186,461.584668,302.208802,543.648339,458.16463,392.53147,274.36236,296.853657,538.269611,241.130339,586.398497,666.726761,426.146361,619.095572,848.340988,336.058392,564.204257,256.761333,468.720041,238.601666,535.40323,545.562076,440.573707,321.9466,765.47963,535.363062,722.102008,496.332853,451.689055,790.064436,513.679226,370.550076,427.27058
247.909626,217.861186,257.813701,190.617987,338.831603,349.086187,209.919096,262.966264,218.312678,276.864942,190.729013,206.662662,192.758434,245.974629,333.790891,195.815595,255.794347,234.736361,246.690625,354.165894,120.414785,309.73578,171.51898,269.29375,153.305409,268.032703,412.003076,160.529187,197.184362,299.056238,240.200174,268.613535,237.835451,215.086294,391.127462,289.804859,210.015341,217.028477
469.031114,300.210232,311.60689,432.761905,341.320161,466.269071,414.736349,485.320396,596.688523,272.397595,491.160897,296.782623,465.062449,423.854135,302.737588,248.515003,371.365089,653.088532,425.80724,452.209261,395.414069,543.437641,296.459431,287.040939,438.507436,543.714279,639.110123,304.161902,459.263308,364.745037,349.703419,514.261791,351.820426,386.633683,677.509902,480.799395,222.346893,513.300956
230.740518,145.465467,164.554902,64.464393,92.104087,155.362877,184.111162,200.063462,134.088987,129.294597,146.366297,125.814485,117.582868,169.423217,156.164926,131.820711,212.335432,143.976706,202.743499,164.562816,113.6308,180.795939,54.868529,181.923584,110.550985,218.472019,237.668973,104.506009,152.89624,225.445198,178.014182,165.029487,118.056278,122.039859,234.542391,182.546409,139.541617,186.668109
236.648165,267.485077,270.250738,148.965929,184.304568,252.555468,244.11899,159.407006,184.393352,171.843382,186.508693,196.323078,82.254959,309.213595,270.709322,260.779971,263.203197,225.998248,260.150433,283.058018,202.040375,272.166651,169.094498,289.710785,167.300668,312.483797,237.142867,172.176385,182.57333,241.493983,244.950697,246.178285,126.209934,230.279812,321.675774,180.902974,91.850918,230.980883
102.981191,84.26653,65.913768,58.952755,57.547524,61.467884,98.055036,85.551404,77.58119,45.685828,157.042737,84.527543,72.800391,119.048585,133.575899,77.17726,61.44893,106.620124,148.046233,90.779089,45.83687,125.899279,46.336494,79.986068,100.389073,100.515818,130.477872,53.525319,106.255812,62.828411,79.24405,110.731527,43.354361,57.693147,107.647556,67.813305,79.130791,91.648265
784.022413,647.501161,331.270974,550.942132,427.681132,618.547183,367.205785,632.211191,478.358782,357.508268,709.948413,549.191482,424.457575,594.826459,564.293568,300.706144,840.661913,820.066524,597.102428,671.009,307.419996,421.303141,471.213059,768.015501,499.681111,740.908597,766.703337,589.207797,350.151763,718.788947,704.668181,567.83841,247.693917,475.870001,773.11784,783.9828,396.817685,543.252463
