SER_9_1,SER_6_3,F2,MEM2
19.030931,16.368181,17.483701,18.065259
21.567104,17.516207,7.075002,7.372439
55.136615,58.531042,13.946714,19.178571
40.511877,58.338468,18.332618,16.374955
29.437685,35.772247,13.610352,15.289077
51.312744,39.854099,27.583907,20.886211
19.506233,12.60669,8.598578,13.27277
13.698061,9.897948,5.408594,7.039487
5.358814,7.760357,7.184884,2.855254
26.433553,23.371374,14.313003,14.854626
18.957799,11.830792,10.134518,8.115646
7.578361,6.634143,5.845284,5.232044
3.234621,3.159044,2.381944,2.358887
26.052244,28.679055,13.305643,14.958057
11.879064,9.840621,19.032368,8.926543
9.623482,8.950263,7.05393,7.410039
20.403285,13.830945,13.145176,12.484593
50.310904,47.673296,113.70953,109.319753
19.357322,13.86022,27.700344,19.091273
35.112828,17.656997,15.331252,15.08961
32.168341,27.98425,9.242658,8.740215
12.05311,20.847535,23.535542,17.545692
