MEM2,MEM4,SAF,F2,LIN
18.065259,18.124544,18.124544,17.483701,57.389307
7.372439,11.726049,11.726049,7.075002,321.430849
19.178571,25.151401,25.151401,13.946714,529.690471
16.374955,20.028401,20.028401,18.332618,143.933313
15.289077,16.037412,16.037412,13.610352,191.014535
20.886211,20.777516,20.777516,27.583907,208.912412
13.27277,11.457997,11.457997,8.598578,124.718413
7.039487,5.311426,5.311426,5.408594,131.991634
2.855254,3.838882,3.838882,7.184884,12.363732
14.854626,14.269707,14.269707,14.313003,116.321471
8.115646,13.74739,13.74739,10.134518,46.898024
5.232044,12.095711,12.095711,5.845284,151.462171
2.358887,2.783873,2.783873,2.381944,4.499881
14.958057,14.987184,14.987184,13.305643,152.48223
8.926543,15.399667,15.399667,19.032368,66.098447
7.410039,7.530241,7.530241,7.05393,367.933353
12.484593,13.590027,13.590027,13.145176,80.032364
109.319753,59.53686,59.53686,113.70953,462.128002
19.091273,29.137276,29.137276,27.700344,136.67402
15.08961,23.904877,23.904877,15.331252,609.987547
8.740215,8.992494,8.992494,9.242658,51.74836
17.545692,30.576189,30.576189,23.535542,194.543342
