MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
96.761097,18.065259,16.521272,18.124544,18.124544,17.483701,102.736032
64.974892,7.372439,13.478695,11.726049,11.726049,7.075002,383.291553
113.657436,19.178571,42.097363,25.151401,25.151401,13.946714,983.46654
73.616792,16.374955,20.1897,20.028401,20.028401,18.332618,411.018694
119.852322,15.289077,14.927163,16.037412,16.037412,13.610352,474.278057
242.04163,20.886211,25.873065,20.777516,20.777516,27.583907,615.389916
191.272419,13.27277,12.944854,11.457997,11.457997,8.598578,333.919449
101.673383,7.039487,4.265128,5.311426,5.311426,5.408594,468.414833
14.333449,2.855254,5.564586,3.838882,3.838882,7.184884,177.579792
161.792659,14.854626,19.907056,14.269707,14.269707,14.313003,621.10814
37.362977,8.115646,10.176573,13.74739,13.74739,10.134518,366.067594
43.821061,5.232044,5.597829,12.095711,12.095711,5.845284,310.701651
5.991093,2.358887,2.452199,2.783873,2.783873,2.381944,26.530095
62.850374,14.958057,15.09086,14.987184,14.987184,13.305643,465.719675
73.657345,8.926543,7.985766,15.399667,15.399667,19.032368,250.347545
180.426694,7.410039,7.306997,7.530241,7.530241,7.05393,777.504795
34.396628,12.484593,12.255536,13.590027,13.590027,13.145176,362.656463
478.81929,109.319753,96.08004,59.53686,59.53686,113.70953,936.081767
81.55212,19.091273,38.290802,29.137276,29.137276,27.700344,607.952807
58.457754,15.08961,32.216273,23.904877,23.904877,15.331252,1315.11517
52.559493,8.740215,7.516907,8.992494,8.992494,9.242658,360.130537
101.347774,17.545692,27.302499,30.576189,30.576189,23.535542,714.593227
