LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
57.389307,15.373061,16.026459,27.028606,16.660249,17.811162,18.124544,17.483701
321.430849,12.858633,11.202518,109.362426,15.774421,15.119901,11.726049,7.075002
529.690471,16.260881,17.171741,228.055923,119.401322,18.692743,25.151401,13.946714
143.933313,75.704677,22.022392,46.497149,35.046301,133.141545,20.028401,18.332618
191.014535,18.145715,11.635112,118.177342,29.372512,19.773707,16.037412,13.610352
208.912412,70.424286,25.466321,316.727979,25.909713,44.581761,20.777516,27.583907
124.718413,8.368862,10.696615,61.633051,10.971452,11.464551,11.457997,8.598578
131.991634,5.834863,6.473741,55.952725,55.95032,5.634416,5.311426,5.408594
12.363732,5.562468,4.074697,11.361949,18.026878,5.575743,3.838882,7.184884
116.321471,13.839141,11.434912,79.477411,30.78452,13.226091,14.269707,14.313003
46.898024,9.36375,12.65121,21.133953,11.487536,11.746557,13.74739,10.134518
151.462171,6.400737,7.03119,18.172739,8.325901,8.905792,12.095711,5.845284
4.499881,2.808129,2.974612,3.7645,6.979938,2.828184,2.783873,2.381944
152.48223,14.730169,15.369791,47.282931,26.980743,16.955628,14.987184,13.305643
66.098447,6.86985,5.998562,30.19958,50.738246,7.88208,15.399667,19.032368
367.933353,7.328454,7.567796,23.331779,99.634678,8.271473,7.530241,7.05393
80.032364,13.111229,11.377513,24.761212,53.141082,12.661817,13.590027,13.145176
462.128002,25.325162,24.574237,180.237137,111.550207,40.848546,59.53686,113.70953
136.67402,8.60289,8.003423,50.684134,61.476689,11.32535,29.137276,27.700344
609.987547,98.379239,20.695394,52.952227,306.39244,42.836614,23.904877,15.331252
51.74836,20.034207,18.036734,74.387823,29.013058,18.782437,8.992494,9.242658
194.543342,13.781763,16.149685,109.46357,37.698031,14.745074,30.576189,23.535542
