LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
57.389307,16.838221,15.373061,19.030931,16.368181,18.065259,96.761097,18.124544,17.483701
321.430849,13.418064,12.858633,21.567104,17.516207,7.372439,64.974892,11.726049,7.075002
529.690471,22.395715,16.260881,55.136615,58.531042,19.178571,113.657436,25.151401,13.946714
143.933313,62.145246,75.704677,40.511877,58.338468,16.374955,73.616792,20.028401,18.332618
191.014535,17.805499,18.145715,29.437685,35.772247,15.289077,119.852322,16.037412,13.610352
208.912412,44.765053,70.424286,51.312744,39.854099,20.886211,242.04163,20.777516,27.583907
124.718413,10.201791,8.368862,19.506233,12.60669,13.27277,191.272419,11.457997,8.598578
131.991634,8.600664,5.834863,13.698061,9.897948,7.039487,101.673383,5.311426,5.408594
12.363732,3.758404,5.562468,5.358814,7.760357,2.855254,14.333449,3.838882,7.184884
116.321471,18.274907,13.839141,26.433553,23.371374,14.854626,161.792659,14.269707,14.313003
46.898024,10.459348,9.36375,18.957799,11.830792,8.115646,37.362977,13.74739,10.134518
151.462171,6.72468,6.400737,7.578361,6.634143,5.232044,43.821061,12.095711,5.845284
4.499881,2.788652,2.808129,3.234621,3.159044,2.358887,5.991093,2.783873,2.381944
152.48223,15.288582,14.730169,26.052244,28.679055,14.958057,62.850374,14.987184,13.305643
66.098447,8.41411,6.86985,11.879064,9.840621,8.926543,73.657345,15.399667,19.032368
367.933353,7.745178,7.328454,9.623482,8.950263,7.410039,180.426694,7.530241,7.05393
80.032364,14.963208,13.111229,20.403285,13.830945,12.484593,34.396628,13.590027,13.145176
462.128002,30.515447,25.325162,50.310904,47.673296,109.319753,478.81929,59.53686,113.70953
136.67402,8.871042,8.60289,19.357322,13.86022,19.091273,81.55212,29.137276,27.700344
609.987547,15.294109,98.379239,35.112828,17.656997,15.08961,58.457754,23.904877,15.331252
51.74836,17.44022,20.034207,32.168341,27.98425,8.740215,52.559493,8.992494,9.242658
194.543342,13.863511,13.781763,12.05311,20.847535,17.545692,101.347774,30.576189,23.535542
