LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
2172.299517,4291.758741,760.055361,10975.562085,500.751805,91.984247,4611.858395,54.229076,4775.433146,279.025345
2313.59312,4666.715654,68.838308,12939.362957,96.453242,206.005493,6441.007432,62.763925,7675.918682,473.8126
81.23881,4583.432665,31.548646,8116.914956,46.323037,42.067422,1867.177183,30.023942,3645.515116,49.348155
1258.163963,4058.535491,44.554438,9054.124062,46.195871,107.842504,3059.978663,59.503204,6206.448886,56.796818
29.411425,1186.098882,23.6411,6998.319986,22.78824,32.534475,705.7563,9.269938,2852.523132,26.259866
2899.977436,8459.552961,315.05894,14756.066038,78.845854,10112.356687,6594.691923,108.345831,10124.776597,504.843086
3515.17366,6732.81486,515.505305,14148.281681,209.98636,239.298528,5380.472502,134.896968,3658.875922,1325.165222
233.490562,1628.174796,37.284165,10814.209124,43.487084,63.434131,1636.638774,23.33872,2367.147097,47.863911
1240.070111,4402.570913,153.588164,10191.118638,34.256117,80.026269,2287.795151,65.699978,6270.99415,43.084393
1523.803101,4612.88617,1169.338876,11453.192966,42.919271,49.408296,3817.301075,20.999164,6609.443695,1187.872216
388.755105,2730.995402,28.967251,10025.122987,26.591615,95.514298,1929.109979,26.684735,6357.801185,33.618758
3159.754767,5040.362755,750.914152,13767.403322,793.743757,161.00727,5152.526169,75.081173,5176.107053,952.227936
1897.548594,3361.521814,174.482166,9663.552875,35.316708,81.647856,2909.185805,33.466262,3569.146804,74.185968
4239.18754,7971.837998,2143.867835,13580.150539,836.227157,4351.191663,6534.300685,241.30663,7249.091983,2756.052674
7306.774395,12323.781631,6396.460936,25897.921303,6210.781795,8198.974083,12566.620127,1750.736825,8096.994962,8451.849495
38.824822,2420.648669,60.512489,7603.120471,57.739008,139.651109,1394.934426,66.772268,4773.589667,81.874258
2233.328186,6539.296352,1076.292707,11336.25966,706.728934,86.864892,7141.499103,36.578678,4036.255848,1277.076665
4067.63358,10007.841936,932.577991,17741.957928,447.799141,1773.789034,6297.32455,378.635556,6429.926723,2397.461038
742.217989,2430.47588,42.623898,7081.923621,44.848432,84.3517,1875.171684,18.671691,4380.515667,59.377622
831.531387,2958.164547,48.800928,10553.617842,54.412574,141.975078,2879.908532,34.040197,4614.428425,72.04349
