FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
7499.1712,4725.720974,1951.243386,888.173617,29.536271,24.996707,31.530012,7586.199412,1172.007695,7327.943566,5647.518014,7866.968833
9344.446725,5944.652786,1954.775508,760.921913,43.475852,38.209948,128.492156,9896.438386,1219.017812,10583.09963,6396.367771,9629.336748
5126.256627,1838.173984,1985.344503,346.966094,16.746743,20.82379,27.308717,4485.43543,1765.34904,5423.52909,1776.720182,4965.828502
5538.22828,3288.547473,4748.1785,2154.575005,35.769788,62.649544,58.107103,5810.332739,3480.705663,5145.144249,2300.124717,5285.279676
4213.10749,891.684496,1509.066338,128.434795,8.313945,15.962357,10.185005,3068.363284,177.916616,3462.887169,722.649816,3296.926499
11109.607406,6052.034277,3812.591704,2890.057207,243.212163,767.866446,1813.60838,9763.503087,4145.139947,10764.236099,9010.025742,10770.884604
11444.204317,8592.712494,4823.924826,3034.894241,11.267142,94.862521,42.002687,9446.365937,1476.2665,11578.038778,8425.1894,9904.782277
7704.90093,2632.846712,1986.678286,713.226988,39.720715,21.249013,35.413096,8757.325973,896.540154,7646.154426,6299.810788,7277.75458
7070.390823,3810.080715,2184.263917,649.733284,62.179382,27.495232,105.912485,6414.435969,3523.967946,6189.157002,5087.409732,6236.610997
8853.738516,4214.557391,1868.549398,1589.549162,20.341068,30.571359,42.600278,8144.239905,3316.434344,8938.183566,4176.653422,8209.756625
6220.640889,2184.719073,1299.63098,109.738539,26.810083,21.139746,21.560406,5378.358935,3141.425377,6063.424478,2891.729261,6104.997671
9363.122694,7216.584682,4916.282355,5045.349453,137.070639,782.26036,359.570952,9139.059622,3747.844967,9807.83543,7701.239615,10416.976277
6508.781562,3093.872435,1667.938544,159.356976,13.905381,27.638318,65.661034,6119.420624,3036.094724,5633.017029,4712.927044,5687.043903
10184.051714,7754.518742,4884.301146,4669.646051,915.844225,873.978591,1887.669822,10583.602954,6732.379107,11907.912372,7160.709205,10302.141501
21740.858037,13432.467682,7868.002466,9621.188032,3368.712986,3801.453214,3503.288289,20468.989599,11985.188786,21000.437105,13178.053855,21322.348832
5013.515871,2296.376267,641.122058,383.399447,44.231504,46.377405,44.272792,5001.008595,627.003533,4894.197633,1293.502348,4992.184506
8576.203487,6891.95132,2975.602112,1221.98813,21.508928,69.488857,18.512317,10081.919002,1783.347226,8859.885006,5443.04894,10009.445816
13923.55559,9044.690005,6012.330524,4264.711842,241.380967,200.470866,830.870655,14530.514737,3186.954047,14526.286123,8026.147156,13105.945235
