Q2P,Q3P
27.531936,33.396877
40.256855,97.785946
17.9146,32.046035
67.877775,72.505986
15.001466,11.238196
53.705731,57.711055
18.044579,36.569813
14.919372,20.440963
18.476641,20.462977
26.99459,29.190986
15.51313,17.450925
32.625958,37.245017
14.777972,24.756328
43.687495,138.106704
608.791775,860.244327
43.43375,45.876046
22.429587,22.506952
124.892448,35.81053
27.970958,24.320117
16.940189,32.256733
21.042359,57.84357
17.865874,15.729036
2003.284089,1573.7686
36.71608,38.611526
28.654179,54.931591
16.379608,20.315478
20.187574,30.842486
14.965003,14.597854
14.617674,15.108198
15.318545,27.129003
17.833272,19.144463
21.69903,32.162233
319.753801,403.710799
74.867108,78.682892
19.947978,17.005869
155.148387,144.996855
14.671609,19.29185
23.201455,27.31833
13.697688,17.089209
24.346129,25.017299
25.701704,28.316513
15.848738,21.86
153.199369,85.622588
23.750332,19.270781
34.451635,20.072251
760.938246,512.434753
35.523195,40.726713
98.395653,86.009494
18.098551,16.682328
19.872854,34.165183
