SAF,F2,FCFS
29.536271,24.996707,7499.1712
43.475852,38.209948,9344.446725
16.746743,20.82379,5126.256627
35.769788,62.649544,5538.22828
8.313945,15.962357,4213.10749
243.212163,767.866446,11109.607406
11.267142,94.862521,11444.204317
39.720715,21.249013,7704.90093
62.179382,27.495232,7070.390823
20.341068,30.571359,8853.738516
26.810083,21.139746,6220.640889
137.070639,782.26036,9363.122694
13.905381,27.638318,6508.781562
915.844225,873.978591,10184.051714
3368.712986,3801.453214,21740.858037
44.231504,46.377405,5013.515871
21.508928,69.488857,8576.203487
241.380967,200.470866,13923.55559
112.84795,34.463246,4299.770978
11.735447,36.735851,7830.579432
21.123307,23.760533,4504.360674
10.806559,14.210828,2783.258687
2504.05849,2670.520897,17850.656754
38.960679,32.528002,10116.498394
63.881958,676.016323,9218.642261
662.114276,716.454149,13871.413735
18.188209,17.132196,8770.792316
13.388844,19.323604,2313.036054
70.469182,13.413241,3885.77275
19.106899,36.094525,9676.28364
19.303913,31.090966,2842.79586
19.652518,48.835807,5780.164584
831.633166,1111.634185,14397.432387
137.360753,83.950265,9901.168508
25.947411,27.8817,4760.403698
280.8948,467.450865,9947.358814
13.814636,47.400507,7517.806546
36.503487,18.554587,8879.809131
15.009545,18.64133,3419.9015
27.241289,296.418617,8538.930405
20.060974,21.306659,9902.096806
27.023123,38.532507,3751.209682
948.793285,512.391547,14414.252349
16.075545,33.082302,6708.790783
15.186662,242.304793,7456.152557
771.669286,1501.73414,14460.476072
40.119447,31.722318,1943.797016
158.556038,227.89575,7881.950847
14.349463,151.706593,11834.54355
25.968322,27.159853,6096.044576
