SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
85.827249,41.609811,67.86898,101.46919,5819.971992,67.86898,2617.676142,8062.239607,210.888159,345.478708,2828.194577,67.86898,155.354442,4558.994468,85.101725,1032.627182,715.576798,37.289736,182.431653,145.525327,28.081144,8026.167485,558.571565,34.896747,98.107776,166.326774,404.081615,3511.278908,479.155928,1434.837585
254.556093,117.971804,33.556727,361.463287,5127.345898,33.556727,3294.166202,10291.501161,700.500286,716.128649,1748.504819,33.556727,3071.594817,3647.118411,40.130211,990.953621,1087.643759,45.680907,171.574287,282.508722,48.881637,8301.973935,96.383078,102.827032,98.526138,123.65978,348.103233,4367.948812,191.890825,1226.106693
124.215801,27.679551,61.759201,71.665056,3137.743502,61.759201,1921.09348,5741.940926,125.527594,162.113635,558.607285,61.759201,38.674902,1894.505789,34.93425,516.764705,506.554075,92.427384,165.629873,53.430733,29.330184,7228.165081,128.172859,68.861178,53.974108,179.559628,40.304774,2322.152468,199.783931,247.611251
147.53288,59.695374,51.338868,1602.939848,3108.740852,51.338868,2852.372408,9837.845788,902.490333,2407.541478,2229.126474,51.338868,385.809679,5779.38448,79.924746,2723.707117,2105.678798,50.989406,573.855915,72.329752,133.050362,6032.877833,621.000421,45.555378,55.872572,719.03261,884.194357,3198.07688,311.806504,1862.097771
169.888689,41.290617,27.324688,56.541074,1017.774103,27.324688,741.898603,4435.242954,70.983262,101.475369,232.729315,27.324688,25.059012,674.16617,26.773999,87.544517,93.541449,27.563212,161.693276,25.744467,18.421981,2869.541645,45.409333,25.718478,23.15833,135.391606,22.367059,1005.423437,186.195019,148.377798
163.405947,84.358844,103.130357,2348.948937,6702.170336,103.130357,4642.992619,14388.751653,2692.416035,2993.569616,3574.886383,103.130357,132.745801,6473.738911,82.691776,3024.390721,2366.988022,86.469859,590.405322,876.227389,130.184731,9196.813803,1857.647053,80.68348,113.153511,267.586539,1898.841309,6642.52611,901.045924,2984.708983
117.710596,52.791636,154.618945,1894.462983,10367.632252,154.618945,5680.352515,11009.436362,2166.680682,2431.792076,4935.678826,154.618945,88.464151,7495.321351,49.608542,3551.445832,3832.190395,60.593765,346.924017,1042.745187,210.705192,10668.163161,1959.559493,243.289671,66.961303,305.139053,101.646645,8166.830481,1901.313924,3338.056243
155.592551,49.77296,39.659939,56.574804,1256.819441,39.659939,3510.24685,5115.426523,903.378621,594.630756,1823.683584,39.659939,128.080779,5506.82844,45.748902,771.87225,782.937919,55.276733,152.281651,82.545319,21.625608,6607.479565,1512.266972,64.56198,42.221044,126.923967,222.330111,3352.741346,1081.743856,935.55256
360.630164,34.825264,36.240204,337.416881,5737.929663,36.240204,2434.435817,9080.890983,149.133562,343.35883,1068.989077,36.240204,108.71406,3846.551567,38.928796,1045.295807,536.207105,50.930988,188.328476,613.777876,79.477013,6383.403411,223.235138,36.853887,47.674727,263.185207,421.402791,3180.380607,142.428637,1018.805878
108.272131,37.846819,63.096966,985.047874,4873.103132,63.096966,5471.927024,7896.357081,324.767433,1013.52994,3456.20662,63.096966,61.183163,7585.842239,57.333625,944.946802,1035.541333,44.456807,321.065938,863.869983,25.621823,5905.892167,526.954858,102.912334,61.930629,278.375276,1291.93008,2855.383381,343.327543,918.298736
147.726024,27.823613,28.660672,148.142242,3050.091953,28.660672,2597.607518,7426.846349,95.454417,88.529643,391.895136,28.660672,65.558882,3411.406147,75.521358,256.040372,771.186456,47.328141,230.17859,29.267619,18.013159,5045.828842,53.142665,29.538544,52.731105,222.560085,122.165976,3109.149759,448.356605,959.654753
609.977648,55.471447,190.980938,2240.21776,7014.325602,190.980938,5094.301087,9758.634194,3816.26359,4977.75616,5340.083489,190.980938,415.992115,8235.067032,61.339266,4791.605331,4981.213908,99.985151,406.746381,2260.521026,624.745034,8949.619372,1885.998797,678.604425,62.400168,825.19216,2804.006941,6088.55678,2766.346613,5164.968299
138.973677,31.867462,50.044657,486.482827,4279.887641,50.044657,2300.860555,8431.518139,301.82787,410.914338,997.933334,50.044657,105.788121,2386.382652,30.413463,550.60606,375.003141,31.306349,181.823059,210.477859,20.128886,6278.80149,1611.249815,38.72483,43.884916,146.523339,17.680098,2311.68077,432.737473,205.125082
826.136918,51.940693,476.245411,3059.773167,12627.509031,476.245411,6318.922855,14806.083994,3614.128649,3508.939084,4703.358533,476.245411,3298.253933,6003.831151,266.302506,5387.76863,3785.667281,254.093181,1838.618046,3751.806084,518.227475,10992.548273,5052.261326,899.594726,365.732015,1102.557718,2684.632216,9176.366183,2431.147553,4279.817697
3227.015377,1102.813057,5465.216281,6166.830573,13549.692111,5465.216281,13825.646397,23813.024035,7461.581308,8666.311996,13005.923454,5465.216281,4591.490611,12100.239321,2080.883721,9157.907338,13343.456811,2597.068939,3944.298161,7891.263943,2899.368994,20659.423837,9029.815685,4960.656682,2453.778132,2855.04738,5238.63839,14391.837818,9088.646151,9685.75948
203.830507,57.369035,96.61161,155.083472,2278.161648,96.61161,1767.960426,6330.651844,263.121572,392.852493,1631.761051,96.61161,147.855532,1506.770165,50.512752,721.187501,549.636187,78.750355,384.422245,88.087976,40.163632,5086.038465,113.835904,67.783829,120.817043,216.48036,34.992186,1773.385152,113.279323,450.707757
119.354096,28.322892,56.955104,1176.590918,6030.092169,56.955104,4137.551269,8891.24559,1096.217926,603.403262,1797.692421,56.955104,53.058537,4674.879725,42.375081,2042.096643,1076.461305,63.72802,377.753713,1111.745118,39.800388,8635.22177,2095.945962,48.189136,42.289621,802.032024,1203.678636,4935.381007,499.715551,2959.495846
