LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
5838.885866,2782.736077,2434.415837,2435.419419,2473.037942,1678.961854,1609.807475,1489.220951,1972.287941,2605.974462,1989.48147,1382.395539,1135.622553,3546.481778,2395.362283,2647.438421,2203.185242,2431.748542,3500.617779,1326.532658,1542.915554,2165.204051,1280.333159,930.917682,1279.53877,1656.464584,2649.99499,1365.963216,2827.761999,1470.7617,1681.545099,2229.599434,2112.677346,1266.317865,2385.205488,1892.940828,3735.597233,2535.355111
6514.389174,3082.28732,3975.451478,4703.197618,2448.437195,3504.424322,4541.676196,3504.877448,4744.384092,1856.15249,2130.338188,2498.117738,1598.892219,4884.53021,5852.234711,3403.91261,4181.748277,5265.260587,4376.76642,3059.313807,2082.102017,5834.630959,1005.020903,1884.642895,3715.815437,3512.021547,3938.468877,1421.473232,1493.623701,2842.175517,4210.202769,4486.807515,2268.123814,2611.906758,2750.00751,2842.147632,2155.553958,2678.000695
3544.44528,1061.952941,403.625296,963.674119,2363.399369,948.035928,550.145162,1143.06511,588.577881,722.540843,980.56585,300.763959,617.598345,576.06119,749.536134,1303.665517,839.354352,1358.657181,848.157275,988.733195,312.188407,723.695382,400.108473,1366.291334,351.238694,1273.406015,2062.276247,571.212093,390.844783,1401.093155,1002.583386,1121.172179,1803.940401,1608.265848,870.737154,1304.170575,798.365171,1132.805967
3480.662377,1553.662706,2081.075503,2342.689458,4216.735324,1780.591501,1280.27218,1829.921347,1502.261198,1709.664039,1732.528644,1117.410328,1991.07744,1131.910315,1252.768687,1826.954721,2072.495804,1231.888142,1433.17256,2194.498594,1135.277145,1858.386384,1316.063726,2009.663991,1107.657791,2235.120487,1982.165671,893.768274,1071.020444,1951.096829,1622.316741,2091.612573,2035.202372,1405.054835,1483.679104,2113.015298,1564.412361,1940.556115
1330.046915,518.853515,524.849007,469.633368,641.004125,352.530485,400.261,553.378205,570.167746,543.349389,383.645642,451.421868,454.024685,1076.795222,891.638704,393.22855,491.875276,922.336744,1290.963286,509.379819,328.864977,468.429632,397.372539,440.093869,208.384069,391.489211,454.72287,467.372902,383.868872,374.475826,422.41854,638.457503,446.614044,405.040027,568.633835,348.498199,586.686445,363.998802
7325.870654,4207.347225,4383.5298,5974.955443,5322.224402,4837.749949,3922.152929,4605.367134,3345.207361,4309.3704,4529.407436,3728.236231,3463.618754,4597.453815,4180.133939,2693.770921,3920.368758,5078.876345,4891.582608,3686.834046,3152.941554,4888.987884,2866.348964,4693.937543,3736.244902,5120.98759,4279.858698,4060.435027,5124.117816,3594.72188,4972.150175,3989.433555,4393.829713,4478.994243,3378.794925,3834.261585,4565.307418,3683.280805
8507.025696,7762.127179,5863.502491,6571.879831,6113.77763,6244.2611,5838.850911,5888.886362,6677.806807,3149.586503,5887.527926,6301.784027,4394.697242,6840.226067,5236.676405,4738.312891,5938.463264,6292.039435,8051.041164,3545.683883,4826.488834,5064.159776,4974.043486,4868.659408,5499.092469,4155.126767,6379.575024,3938.890275,4359.607025,5591.047418,5134.610625,5361.386044,4348.578196,4953.851204,3845.966014,5179.036998,5359.556239,5103.694084
3928.635342,3603.190774,2224.498592,1089.264119,2670.537612,1564.209071,3261.483093,4452.174511,2310.425114,1958.919268,1868.652719,1131.693551,795.409964,2211.477202,2465.331994,1543.513239,1473.082218,937.457965,1791.193907,1306.84858,1396.319024,1565.6447,856.040446,651.000267,830.878075,1515.472228,1038.936293,1293.589228,1310.368552,1429.494285,1090.396332,1183.755301,1871.229152,1074.919429,1093.234341,2333.948133,1904.335185,1294.459472
4370.544294,1751.762439,1734.112818,833.950693,4096.996948,1211.928856,1100.463886,2209.048155,2117.49786,1197.697145,2229.674815,543.814825,1182.261171,1889.709562,985.735111,1842.24815,1101.098819,907.195652,2002.453058,1812.618035,629.993911,1084.087918,848.025315,2503.962599,264.705067,2039.958972,3568.927479,1139.368622,1244.978535,1881.165853,2468.405882,1717.293719,2831.922411,1204.591688,2108.401786,1834.564514,2149.159465,2021.557227
3797.133849,5085.003082,1287.137503,3256.503295,4780.74513,2874.62963,2372.627135,3412.38778,2198.686064,2452.796414,4683.556507,972.647925,1630.188151,4462.090457,2853.86491,2330.106526,2545.572019,1449.794594,1846.685961,3730.32142,2908.283839,3663.415663,1383.828505,2372.800813,1230.191463,2438.082748,2440.820812,1764.459832,996.778004,2971.820804,3180.182687,1582.117344,4220.598031,2019.355839,3899.371818,3540.524241,3024.117437,2521.635756
2431.787348,1743.584595,2200.922845,2203.698445,1537.488208,1674.973439,882.660513,824.319898,1627.142748,1926.252726,1925.578468,836.618136,1014.152213,934.354487,940.01883,1021.393523,847.096315,685.13798,714.795689,503.402609,514.565024,1761.797562,405.406662,967.476068,545.144716,1618.978351,2118.373713,645.433283,532.825646,1620.461476,941.676417,1701.374456,1786.09667,1643.35841,1045.032876,2373.390603,375.157287,1048.399344
8647.650862,5456.57552,3729.971536,3829.800734,4868.911481,3979.370722,4599.644168,3542.503977,3374.452471,4162.211495,2809.864283,3089.985481,4639.412563,4044.549653,4630.70148,3177.187344,4398.81866,4701.86023,5756.321069,3990.192102,4444.878456,3554.500181,2505.960924,4003.680589,2711.205322,3768.726907,4370.524875,3533.587048,3380.941295,4803.062215,4579.151498,4041.270271,3932.053825,3438.108891,3961.908463,3478.256816,3720.250739,5157.608759
