SER_9_1,SER_6_3,F2,MEM2
98.107776,37.289736,24.996707,33.958671
98.526138,45.680907,38.209948,27.965273
53.974108,92.427384,20.82379,30.142644
55.872572,50.989406,62.649544,59.152467
23.15833,27.563212,15.962357,12.631413
113.153511,86.469859,767.866446,69.608705
66.961303,60.593765,94.862521,14.747947
42.221044,55.276733,21.249013,25.725986
47.674727,50.930988,27.495232,27.153107
61.930629,44.456807,30.571359,22.598106
52.731105,47.328141,21.139746,33.950782
62.400168,99.985151,782.26036,125.094151
43.884916,31.306349,27.638318,15.42516
365.732015,254.093181,873.978591,208.572177
2453.778132,2597.068939,3801.453214,1629.425164
120.817043,78.750355,46.377405,47.342081
42.289621,63.72802,69.488857,26.336123
285.57494,277.903226,200.470866,52.987915
43.986363,51.97645,34.463246,29.39728
123.985794,73.163254,36.735851,30.118227
65.144138,43.276355,23.760533,25.688064
40.432705,29.392369,14.210828,13.000052
1763.628997,2452.45347,2670.520897,1758.096538
69.948409,72.767918,32.528002,50.269502
142.515561,346.866556,676.016323,47.351166
105.638601,192.19011,716.454149,36.752796
52.952208,44.795076,17.132196,41.50022
42.736065,35.814697,19.323604,19.193779
90.490323,52.266626,13.413241,18.116505
85.955472,54.81665,36.094525,22.538178
34.02145,37.083625,31.090966,35.426853
56.478555,53.011184,48.835807,23.885274
996.815046,793.178056,1111.634185,441.766065
121.089159,108.876985,83.950265,80.519492
73.15971,59.390258,27.8817,56.264072
690.907112,550.300003,467.450865,184.953313
65.371623,53.028805,47.400507,25.221048
82.805718,50.24087,18.554587,39.557412
72.102815,62.795342,18.64133,20.153427
37.011258,102.805954,296.418617,22.341834
78.11166,104.678757,21.306659,23.439214
42.875213,33.381729,38.532507,38.96225
121.046906,142.21547,512.391547,339.623915
57.625805,44.183778,33.082302,20.199605
60.316529,27.876128,242.304793,16.151228
325.225698,1339.854789,1501.73414,593.33689
58.54321,49.507703,31.722318,43.140703
131.588583,174.440097,227.89575,229.632846
65.268711,67.35585,151.706593,15.73038
70.257025,39.279447,27.159853,23.237086
