Q3P,Q2P,F2,SAF
33.396877,27.531936,24.996707,29.536271
97.785946,40.256855,38.209948,43.475852
32.046035,17.9146,20.82379,16.746743
72.505986,67.877775,62.649544,35.769788
11.238196,15.001466,15.962357,8.313945
57.711055,53.705731,767.866446,243.212163
36.569813,18.044579,94.862521,11.267142
20.440963,14.919372,21.249013,39.720715
20.462977,18.476641,27.495232,62.179382
29.190986,26.99459,30.571359,20.341068
17.450925,15.51313,21.139746,26.810083
37.245017,32.625958,782.26036,137.070639
24.756328,14.777972,27.638318,13.905381
138.106704,43.687495,873.978591,915.844225
860.244327,608.791775,3801.453214,3368.712986
45.876046,43.43375,46.377405,44.231504
22.506952,22.429587,69.488857,21.508928
35.81053,124.892448,200.470866,241.380967
24.320117,27.970958,34.463246,112.84795
32.256733,16.940189,36.735851,11.735447
57.84357,21.042359,23.760533,21.123307
15.729036,17.865874,14.210828,10.806559
1573.7686,2003.284089,2670.520897,2504.05849
38.611526,36.71608,32.528002,38.960679
54.931591,28.654179,676.016323,63.881958
20.315478,16.379608,716.454149,662.114276
30.842486,20.187574,17.132196,18.188209
14.597854,14.965003,19.323604,13.388844
15.108198,14.617674,13.413241,70.469182
27.129003,15.318545,36.094525,19.106899
19.144463,17.833272,31.090966,19.303913
32.162233,21.69903,48.835807,19.652518
403.710799,319.753801,1111.634185,831.633166
78.682892,74.867108,83.950265,137.360753
17.005869,19.947978,27.8817,25.947411
144.996855,155.148387,467.450865,280.8948
19.29185,14.671609,47.400507,13.814636
27.31833,23.201455,18.554587,36.503487
17.089209,13.697688,18.64133,15.009545
25.017299,24.346129,296.418617,27.241289
28.316513,25.701704,21.306659,20.060974
21.86,15.848738,38.532507,27.023123
85.622588,153.199369,512.391547,948.793285
19.270781,23.750332,33.082302,16.075545
20.072251,34.451635,242.304793,15.186662
512.434753,760.938246,1501.73414,771.669286
40.726713,35.523195,31.722318,40.119447
86.009494,98.395653,227.89575,158.556038
16.682328,18.098551,151.706593,14.349463
34.165183,19.872854,27.159853,25.968322
