MEM2,MEM4,SAF,F2,LIN
33.958671,29.536271,29.536271,24.996707,2172.299517
27.965273,43.475852,43.475852,38.209948,2313.59312
30.142644,16.746743,16.746743,20.82379,81.23881
59.152467,35.769788,35.769788,62.649544,1258.163963
12.631413,8.313945,8.313945,15.962357,29.411425
69.608705,243.212163,243.212163,767.866446,2899.977436
14.747947,11.267142,11.267142,94.862521,3515.17366
25.725986,39.720715,39.720715,21.249013,233.490562
27.153107,62.179382,62.179382,27.495232,1240.070111
22.598106,20.341068,20.341068,30.571359,1523.803101
33.950782,26.810083,26.810083,21.139746,388.755105
125.094151,137.070639,137.070639,782.26036,3159.754767
15.42516,13.905381,13.905381,27.638318,1897.548594
208.572177,915.844225,915.844225,873.978591,4239.18754
1629.425164,3368.712986,3368.712986,3801.453214,7306.774395
47.342081,44.231504,44.231504,46.377405,38.824822
26.336123,21.508928,21.508928,69.488857,2233.328186
52.987915,241.380967,241.380967,200.470866,4067.63358
29.39728,112.84795,112.84795,34.463246,742.217989
30.118227,11.735447,11.735447,36.735851,831.531387
25.688064,21.123307,21.123307,23.760533,107.025743
13.000052,10.806559,10.806559,14.210828,302.733524
1758.096538,2504.05849,2504.05849,2670.520897,9891.524237
50.269502,38.960679,38.960679,32.528002,1367.088867
47.351166,63.881958,63.881958,676.016323,3451.981819
36.752796,662.114276,662.114276,716.454149,6323.039386
41.50022,18.188209,18.188209,17.132196,1440.017292
19.193779,13.388844,13.388844,19.323604,19.495305
18.116505,70.469182,70.469182,13.413241,176.153299
22.538178,19.106899,19.106899,36.094525,605.972977
35.426853,19.303913,19.303913,31.090966,330.862512
23.885274,19.652518,19.652518,48.835807,890.685628
441.766065,831.633166,831.633166,1111.634185,5515.133086
80.519492,137.360753,137.360753,83.950265,3462.080969
56.264072,25.947411,25.947411,27.8817,45.106297
184.953313,280.8948,280.8948,467.450865,3109.869432
25.221048,13.814636,13.814636,47.400507,180.078721
39.557412,36.503487,36.503487,18.554587,2449.906594
20.153427,15.009545,15.009545,18.64133,48.767926
22.341834,27.241289,27.241289,296.418617,2462.330969
23.439214,20.060974,20.060974,21.306659,1306.316157
38.96225,27.023123,27.023123,38.532507,24.538831
339.623915,948.793285,948.793285,512.391547,4197.049399
20.199605,16.075545,16.075545,33.082302,550.428357
16.151228,15.186662,15.186662,242.304793,435.646533
593.33689,771.669286,771.669286,1501.73414,6836.643554
43.140703,40.119447,40.119447,31.722318,42.626464
229.632846,158.556038,158.556038,227.89575,2121.090508
15.73038,14.349463,14.349463,151.706593,3376.352197
23.237086,25.968322,25.968322,27.159853,439.772557
