Q3P,Q2P,Q4P,Q5P,F2,SAF
33.396877,27.531936,26.784982,33.072674,24.996707,29.536271
97.785946,40.256855,109.939766,107.922078,38.209948,43.475852
32.046035,17.9146,31.332392,32.120857,20.82379,16.746743
72.505986,67.877775,69.816632,67.715159,62.649544,35.769788
11.238196,15.001466,18.856444,19.05851,15.962357,8.313945
57.711055,53.705731,57.752121,59.772993,767.866446,243.212163
36.569813,18.044579,32.6663,31.657462,94.862521,11.267142
20.440963,14.919372,20.472002,20.280206,21.249013,39.720715
20.462977,18.476641,24.232334,22.835914,27.495232,62.179382
29.190986,26.99459,21.987299,20.165771,30.571359,20.341068
17.450925,15.51313,17.515598,16.157627,21.139746,26.810083
37.245017,32.625958,31.437086,22.618567,782.26036,137.070639
24.756328,14.777972,27.883919,28.17458,27.638318,13.905381
138.106704,43.687495,92.182917,102.379584,873.978591,915.844225
860.244327,608.791775,1755.34489,1520.841338,3801.453214,3368.712986
45.876046,43.43375,41.531033,44.832984,46.377405,44.231504
22.506952,22.429587,20.949941,21.048338,69.488857,21.508928
35.81053,124.892448,56.22608,53.308303,200.470866,241.380967
24.320117,27.970958,24.556475,25.0102,34.463246,112.84795
32.256733,16.940189,57.005745,25.159558,36.735851,11.735447
57.84357,21.042359,47.46387,48.792736,23.760533,21.123307
15.729036,17.865874,12.721055,21.041876,14.210828,10.806559
1573.7686,2003.284089,1416.205622,1432.250906,2670.520897,2504.05849
38.611526,36.71608,27.544547,27.995734,32.528002,38.960679
54.931591,28.654179,55.392582,60.652625,676.016323,63.881958
20.315478,16.379608,23.820823,22.653406,716.454149,662.114276
30.842486,20.187574,33.235879,33.941137,17.132196,18.188209
14.597854,14.965003,17.860272,27.40165,19.323604,13.388844
15.108198,14.617674,16.400019,17.177526,13.413241,70.469182
27.129003,15.318545,25.444779,25.619908,36.094525,19.106899
19.144463,17.833272,18.284119,20.176694,31.090966,19.303913
32.162233,21.69903,24.390861,29.154384,48.835807,19.652518
403.710799,319.753801,355.418173,402.337653,1111.634185,831.633166
78.682892,74.867108,79.970268,78.974711,83.950265,137.360753
17.005869,19.947978,15.150692,19.737973,27.8817,25.947411
144.996855,155.148387,155.4745,150.520903,467.450865,280.8948
19.29185,14.671609,20.284112,18.279608,47.400507,13.814636
27.31833,23.201455,32.958255,25.335804,18.554587,36.503487
17.089209,13.697688,14.877382,15.114322,18.64133,15.009545
25.017299,24.346129,20.018394,23.765669,296.418617,27.241289
28.316513,25.701704,26.552414,26.335629,21.306659,20.060974
21.86,15.848738,16.560621,21.329246,38.532507,27.023123
85.622588,153.199369,87.874035,87.240392,512.391547,948.793285
19.270781,23.750332,21.088608,22.242824,33.082302,16.075545
20.072251,34.451635,16.576061,26.520371,242.304793,15.186662
512.434753,760.938246,594.519658,588.30037,1501.73414,771.669286
40.726713,35.523195,40.543901,39.748043,31.722318,40.119447
86.009494,98.395653,39.13056,26.55671,227.89575,158.556038
16.682328,18.098551,21.765551,21.966659,151.706593,14.349463
34.165183,19.872854,26.431761,27.583301,27.159853,25.968322
