LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
2172.299517,760.055361,500.751805,91.984247,54.229076,279.025345,29.536271,24.996707
2313.59312,68.838308,96.453242,206.005493,62.763925,473.8126,43.475852,38.209948
81.23881,31.548646,46.323037,42.067422,30.023942,49.348155,16.746743,20.82379
1258.163963,44.554438,46.195871,107.842504,59.503204,56.796818,35.769788,62.649544
29.411425,23.6411,22.78824,32.534475,9.269938,26.259866,8.313945,15.962357
2899.977436,315.05894,78.845854,10112.356687,108.345831,504.843086,243.212163,767.866446
3515.17366,515.505305,209.98636,239.298528,134.896968,1325.165222,11.267142,94.862521
233.490562,37.284165,43.487084,63.434131,23.33872,47.863911,39.720715,21.249013
1240.070111,153.588164,34.256117,80.026269,65.699978,43.084393,62.179382,27.495232
1523.803101,1169.338876,42.919271,49.408296,20.999164,1187.872216,20.341068,30.571359
388.755105,28.967251,26.591615,95.514298,26.684735,33.618758,26.810083,21.139746
3159.754767,750.914152,793.743757,161.00727,75.081173,952.227936,137.070639,782.26036
1897.548594,174.482166,35.316708,81.647856,33.466262,74.185968,13.905381,27.638318
4239.18754,2143.867835,836.227157,4351.191663,241.30663,2756.052674,915.844225,873.978591
7306.774395,6396.460936,6210.781795,8198.974083,1750.736825,8451.849495,3368.712986,3801.453214
38.824822,60.512489,57.739008,139.651109,66.772268,81.874258,44.231504,46.377405
2233.328186,1076.292707,706.728934,86.864892,36.578678,1277.076665,21.508928,69.488857
4067.63358,932.577991,447.799141,1773.789034,378.635556,2397.461038,241.380967,200.470866
742.217989,42.623898,44.848432,84.3517,18.671691,59.377622,112.84795,34.463246
831.531387,48.800928,54.412574,141.975078,34.040197,72.04349,11.735447,36.735851
107.025743,52.149826,37.436536,74.0877,57.114867,62.728272,21.123307,23.760533
302.733524,26.734939,29.077392,76.738995,20.698646,35.821422,10.806559,14.210828
9891.524237,5351.402073,2917.704154,7686.249478,2409.915769,5463.312182,2504.05849,2670.520897
1367.088867,636.927751,141.217448,81.254964,49.589385,749.730821,38.960679,32.528002
3451.981819,3137.754344,182.774732,990.163358,69.328286,1089.869653,63.881958,676.016323
6323.039386,2562.834809,1630.244972,1011.214303,485.501293,3747.044315,662.114276,716.454149
1440.017292,47.785971,43.859765,100.666832,29.445693,64.08459,18.188209,17.132196
19.495305,29.945728,25.365579,66.130397,17.120545,30.208005,13.388844,19.323604
176.153299,21.374643,27.972681,36.414941,14.032443,57.628219,70.469182,13.413241
605.972977,319.288905,38.55397,239.957326,60.244648,637.416219,19.106899,36.094525
330.862512,29.911213,25.386811,34.504979,15.903315,54.629992,19.303913,31.090966
890.685628,301.474463,43.357825,398.04687,25.508403,527.714002,19.652518,48.835807
5515.133086,1118.052362,1107.385777,3605.998692,497.54147,1736.763113,831.633166,1111.634185
3462.080969,1729.41452,906.032437,4160.134112,107.52156,1294.425426,137.360753,83.950265
45.106297,25.110714,34.339848,243.799566,23.92194,49.339351,25.947411,27.8817
3109.869432,567.661758,328.441221,1577.672714,256.744476,601.908757,280.8948,467.450865
180.078721,31.553323,35.901279,47.896519,194.558981,59.031295,13.814636,47.400507
2449.906594,55.628715,48.213569,1045.969638,115.39754,56.619171,36.503487,18.554587
48.767926,43.506663,48.879215,183.090897,34.319443,61.862891,15.009545,18.64133
2462.330969,2648.57636,631.621157,31.857798,33.760773,1941.168614,27.241289,296.418617
1306.316157,48.53804,43.330302,364.96365,320.7391,100.502317,20.060974,21.306659
24.538831,35.980042,32.675466,43.915286,45.062528,38.836532,27.023123,38.532507
4197.049399,641.724867,95.038404,457.734799,610.386035,1748.75899,948.793285,512.391547
550.428357,25.99609,28.210549,61.216802,39.316301,41.96774,16.075545,33.082302
435.646533,36.26664,42.570679,24.511478,19.264989,307.530429,15.186662,242.304793
6836.643554,3416.604295,1384.429506,2978.529577,1056.416785,3134.070438,771.669286,1501.73414
42.626464,38.263462,38.463452,142.081407,40.16558,39.629404,40.119447,31.722318
2121.090508,852.905104,235.429411,151.818642,286.57496,994.157869,158.556038,227.89575
3376.352197,358.514972,119.325666,88.829704,36.842404,113.633695,14.349463,151.706593
439.772557,24.094474,35.62823,77.05905,38.974678,22.372304,25.968322,27.159853
