LIN,S3_V3_D3,S3_V2_D1,SER_9_1,SER_6_3,MEM2,MEM1,SAF,F2
2172.299517,38.796217,760.055361,98.107776,37.289736,33.958671,1107.995056,29.536271,24.996707
2313.59312,86.112087,68.838308,98.526138,45.680907,27.965273,906.13529,43.475852,38.209948
81.23881,59.243745,31.548646,53.974108,92.427384,30.142644,468.38875,16.746743,20.82379
1258.163963,62.75867,44.554438,55.872572,50.989406,59.152467,1344.259492,35.769788,62.649544
29.411425,19.123002,23.6411,23.15833,27.563212,12.631413,235.476727,8.313945,15.962357
2899.977436,334.617984,315.05894,113.153511,86.469859,69.608705,2170.413616,243.212163,767.866446
3515.17366,192.482897,515.505305,66.961303,60.593765,14.747947,1859.0772,11.267142,94.862521
233.490562,42.652476,37.284165,42.221044,55.276733,25.725986,869.107871,39.720715,21.249013
1240.070111,34.633356,153.588164,47.674727,50.930988,27.153107,700.225941,62.179382,27.495232
1523.803101,139.702059,1169.338876,61.930629,44.456807,22.598106,1187.560573,20.341068,30.571359
388.755105,24.319712,28.967251,52.731105,47.328141,33.950782,473.51609,26.810083,21.139746
3159.754767,1036.364567,750.914152,62.400168,99.985151,125.094151,2527.002793,137.070639,782.26036
1897.548594,40.351521,174.482166,43.884916,31.306349,15.42516,668.604491,13.905381,27.638318
4239.18754,1471.620556,2143.867835,365.732015,254.093181,208.572177,3236.629424,915.844225,873.978591
7306.774395,6309.923637,6396.460936,2453.778132,2597.068939,1629.425164,6823.713926,3368.712986,3801.453214
38.824822,60.550571,60.512489,120.817043,78.750355,47.342081,193.323146,44.231504,46.377405
2233.328186,119.758705,1076.292707,42.289621,63.72802,26.336123,1644.910667,21.508928,69.488857
4067.63358,1035.563213,932.577991,285.57494,277.903226,52.987915,3920.376325,241.380967,200.470866
742.217989,53.57262,42.623898,43.986363,51.97645,29.39728,314.462951,112.84795,34.463246
831.531387,114.342606,48.800928,123.985794,73.163254,30.118227,826.941629,11.735447,36.735851
107.025743,54.737262,52.149826,65.144138,43.276355,25.688064,125.463236,21.123307,23.760533
302.733524,28.83091,26.734939,40.432705,29.392369,13.000052,176.920916,10.806559,14.210828
9891.524237,4963.225072,5351.402073,1763.628997,2452.45347,1758.096538,8956.31979,2504.05849,2670.520897
1367.088867,43.18366,636.927751,69.948409,72.767918,50.269502,768.362129,38.960679,32.528002
3451.981819,1723.001096,3137.754344,142.515561,346.866556,47.351166,934.52806,63.881958,676.016323
6323.039386,2780.205492,2562.834809,105.638601,192.19011,36.752796,4242.651526,662.114276,716.454149
1440.017292,47.529053,47.785971,52.952208,44.795076,41.50022,1586.583025,18.188209,17.132196
19.495305,27.374408,29.945728,42.736065,35.814697,19.193779,283.309014,13.388844,19.323604
176.153299,32.874251,21.374643,90.490323,52.266626,18.116505,516.851657,70.469182,13.413241
605.972977,46.548927,319.288905,85.955472,54.81665,22.538178,435.052383,19.106899,36.094525
330.862512,21.54626,29.911213,34.02145,37.083625,35.426853,307.483875,19.303913,31.090966
890.685628,46.658661,301.474463,56.478555,53.011184,23.885274,330.071725,19.652518,48.835807
5515.133086,1610.486358,1118.052362,996.815046,793.178056,441.766065,4082.356901,831.633166,1111.634185
3462.080969,593.53627,1729.41452,121.089159,108.876985,80.519492,2709.010211,137.360753,83.950265
45.106297,30.321056,25.110714,73.15971,59.390258,56.264072,312.165335,25.947411,27.8817
3109.869432,442.401879,567.661758,690.907112,550.300003,184.953313,2212.274181,280.8948,467.450865
180.078721,32.771955,31.553323,65.371623,53.028805,25.221048,1037.907086,13.814636,47.400507
2449.906594,53.45902,55.628715,82.805718,50.24087,39.557412,751.360568,36.503487,18.554587
48.767926,52.029858,43.506663,72.102815,62.795342,20.153427,126.893557,15.009545,18.64133
2462.330969,1012.358373,2648.57636,37.011258,102.805954,22.341834,815.414917,27.241289,296.418617
1306.316157,52.618958,48.53804,78.11166,104.678757,23.439214,960.469001,20.060974,21.306659
24.538831,38.392582,35.980042,42.875213,33.381729,38.96225,135.483256,27.023123,38.532507
4197.049399,566.425737,641.724867,121.046906,142.21547,339.623915,3008.31663,948.793285,512.391547
550.428357,31.748249,25.99609,57.625805,44.183778,20.199605,551.342786,16.075545,33.082302
435.646533,22.583532,36.26664,60.316529,27.876128,16.151228,532.378598,15.186662,242.304793
6836.643554,2116.496591,3416.604295,325.225698,1339.854789,593.33689,5057.824369,771.669286,1501.73414
42.626464,38.638206,38.263462,58.54321,49.507703,43.140703,116.438247,40.119447,31.722318
2121.090508,883.361698,852.905104,131.588583,174.440097,229.632846,2081.521697,158.556038,227.89575
3376.352197,54.802986,358.514972,65.268711,67.35585,15.73038,2669.046838,14.349463,151.706593
439.772557,46.177223,24.094474,70.257025,39.279447,23.237086,920.132875,25.968322,27.159853
