SAF,F2,FCFS
46.800285,38.182747,1640.976081
57.625556,72.535258,1587.422314
33.18182,35.711927,345.774044
207.635232,56.853807,1246.218039
22.426925,25.594313,318.962882
1083.237046,226.734015,1881.078751
32.492384,26.509645,3426.517717
33.310438,32.846489,977.036892
35.476023,35.979493,1009.110097
85.314009,46.144059,1953.871012
32.759331,28.990618,536.953751
597.052996,107.931344,1769.179405
27.773914,34.464014,704.829204
1565.390873,566.116021,3394.467863
4617.309887,3180.014464,9583.708786
52.319634,66.937224,558.774816
77.705623,51.659706,2050.37074
1023.026963,360.945235,4731.852546
31.956515,31.238439,992.629073
33.318247,27.423734,821.786943
58.293837,34.0454,663.850616
22.715731,22.094008,387.266474
5914.355209,3344.167234,8678.796274
42.525114,34.600322,2238.700418
324.658272,168.83125,1748.103897
355.959933,456.151899,3383.101554
33.394863,41.107792,1289.746388
37.410285,21.895938,245.727347
21.728356,20.705932,611.08204
44.720848,48.685278,1278.37781
26.939497,28.138109,349.12529
56.637592,44.704012,311.277058
1692.516687,1071.788146,5346.433234
659.239151,256.403559,2447.682834
41.081233,50.639418,626.477071
1313.036625,670.615338,3009.816407
59.124286,40.999595,2261.148717
49.754897,32.625305,2460.096939
56.145463,56.606303,587.605876
40.294232,29.959742,1406.234517
80.833598,68.882186,1349.428473
49.678761,24.50741,740.010601
976.013012,376.414063,4292.101783
65.755074,47.138827,1154.99588
27.887082,40.701439,395.048883
1928.403926,981.333283,4109.395796
45.45237,35.646405,123.360563
214.16554,63.010639,1323.006663
53.945544,31.196237,3173.846419
23.534545,31.48434,809.190017
