LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
678.04295,13334.085959,327.438736,41.637963,70.952999,78.11582,2541.033361,76.547446,75.046273,49.449521,3095.374566,178.758768,120.567912,50.202678,2210.355528,153.35327,121.25502,119.790027,756.266764,91.534773,57959.353548,67.174283,122.501446,76.547446,36.291568,14145.60674,736.616972,119.314393,67.174284,1379.005226,94.925805,845.863809,72.13176,5370.017573,79.444893,76.547446,74.345387,74.345387
1455.921517,28990.301682,364.319486,60.962109,147.648283,81.364377,1240.06106,107.662963,97.350604,75.817444,363.572813,1726.406738,94.942498,61.489679,411.206869,3035.474223,101.471062,134.839843,19304.560286,199.976078,36154.888145,127.892059,98.065145,107.662963,94.351603,3306.742484,1257.767021,94.666662,121.311281,331.510157,207.817848,2095.637147,63.214205,9176.598047,100.224241,107.662963,97.643499,97.643499
239.753009,35644.155953,544.707237,40.036449,71.231063,64.698698,13308.992801,64.308726,65.457053,44.20282,333.183689,170.29128,71.559698,57.606131,73443.706936,311.836137,71.556753,88.037328,315.344329,101.786957,32269.314893,59.93563,67.291337,64.308726,43.096977,9702.744725,257.857291,64.809328,59.790717,19469.822436,101.953219,527.260125,58.599105,8088.761649,58.028891,64.308726,65.889575,65.889575
959.54784,22127.583398,685.028628,55.820565,123.420867,160.172077,4569.260164,180.78406,152.370884,57.002613,685.017306,465.292672,157.252163,76.959906,2947.848574,601.401357,165.131472,146.444824,908604.58682,177.722009,20735.128179,86.809034,160.405133,180.78406,55.7705,20538.230014,759.87298,176.193372,86.809015,1082.974402,155.64354,442.303342,64.765402,5148.943536,134.622538,180.78406,159.813763,159.813763
221.928201,14314.952335,3551.73904,22.909396,70.510348,35.773331,135874.436473,35.862644,35.806357,23.414131,3362.994481,102.076125,39.664695,24.395638,49017.776585,211.536313,39.664704,52.918995,4398.39512,37.622359,19386.708408,29.203839,39.813422,35.862644,21.198033,32033.834379,220.153917,39.162793,29.181065,14255.676195,36.968424,237.50429,18.672901,6949.669241,37.340007,35.862644,36.168097,36.168097
2755.396319,34122.3521,968.566046,368.902818,574.374214,147.200632,1572.213609,111.857015,120.060128,71.548101,4561.683831,1640.504044,148.598446,305.455705,93696.770415,3009.388472,148.753858,139.533876,4489.062618,149.457395,31158.492769,99.473126,161.47515,111.857015,77.638817,24474.241567,2872.778073,149.352313,94.131006,1831.863768,126.7895,3187.966079,85.355412,8789.989103,110.375535,111.857015,119.575641,119.575641
1584.483062,38153.459552,357.442294,25.898825,98.287766,46.107422,7810.761459,50.521165,46.312522,48.855514,348.821584,1719.810456,72.024435,1532.906125,16789.287668,2312.988207,73.832136,84.805943,404.345799,66.608643,38710.91373,34.451751,73.568642,50.521165,32.565841,53497.648106,1750.876982,70.165146,34.45175,14248.382656,69.401149,846.842238,45.574575,10011.974777,51.86424,50.521165,45.194195,45.194195
313.269497,15301.267355,740.371311,33.174687,64.153695,57.208341,3307.221785,56.809608,56.847379,36.436649,533.967647,215.32438,62.629456,83.940438,2861.052661,316.159189,62.632406,66.387733,29549.732686,53.421718,15349.035193,58.83214,57.691941,56.809608,33.184338,22964.97537,262.512768,62.901115,58.83214,6325.254116,53.787221,228.628107,71.412478,3471.885803,73.245258,56.809608,56.635265,56.635265
2863.617086,15947.294044,900.791148,34.349495,122.620312,106.107583,960.391954,124.830649,127.387651,37.144713,6702.303163,645.078429,136.84126,89.184875,21616.172623,1659.1567,141.544498,143.406784,8605.429583,152.204998,25032.745402,71.634413,118.16877,124.830649,34.389677,24830.447873,1938.626503,137.546729,70.978082,18585.544326,162.730172,2633.809639,52.711477,18420.916076,58.35533,124.830649,126.937427,126.937427
1457.510114,25350.826333,544.684724,55.933327,101.306123,87.432012,3713.337653,79.040443,81.887549,32.50021,674.969792,125.200864,57.693615,61.201796,17033.740499,1038.851139,57.693615,72.136986,642.583978,71.693308,24823.501758,60.454787,68.505661,79.040443,36.931653,14397.993794,2710.288425,62.796318,60.454787,463.705287,86.084354,1408.97385,42.226342,11563.420292,57.336198,79.040443,82.004752,82.004752
