SER_9_1,SER_6_3,F2,MEM2
49.921367,74.801116,38.182747,57.628446
98.939174,30.477154,72.535258,96.987821
39.154773,42.99842,35.711927,62.530769
50.674762,69.084928,56.853807,142.704876
37.214713,43.733044,25.594313,23.734831
83.568585,117.782349,226.734015,201.741565
38.426059,52.032524,26.509645,36.443617
36.709671,41.209809,32.846489,32.149101
38.761928,39.063327,35.979493,35.104723
62.050668,57.182594,46.144059,45.545965
43.714347,46.792117,28.990618,30.39096
30.531116,90.6198,107.931344,92.435966
49.9021,54.82217,34.464014,33.33609
478.611992,361.277464,566.116021,1494.449428
2037.14027,2765.998294,3180.014464,3934.812072
75.685159,75.260416,66.937224,54.122786
56.316809,55.156876,51.659706,62.261863
274.883223,202.609793,360.945235,529.370428
51.278608,46.144966,31.238439,34.606512
46.084266,48.199677,27.423734,36.361674
57.691374,82.183248,34.0454,45.56976
24.384785,38.550824,22.094008,23.511901
1485.628027,1884.955036,3344.167234,2406.854914
53.773691,81.580745,34.600322,32.377824
52.565133,68.048852,168.83125,53.872736
97.212832,92.332478,456.151899,245.283782
59.093196,60.631959,41.107792,29.373645
43.384857,43.155974,21.895938,30.229159
45.032291,62.776854,20.705932,19.325505
68.556563,48.878868,48.685278,86.952945
25.530282,51.980039,28.138109,27.37266
49.958833,79.268949,44.704012,63.480345
686.669565,720.363555,1071.788146,1448.016884
92.084484,123.690391,256.403559,449.313945
63.624479,62.279678,50.639418,34.680955
388.587459,626.518772,670.615338,750.036861
43.87052,54.50031,40.999595,34.719254
53.572252,83.504812,32.625305,78.726024
54.922108,49.127524,56.606303,56.291226
32.794925,47.28765,29.959742,31.845495
93.859021,125.406643,68.882186,55.58535
29.490591,45.936216,24.50741,36.912226
89.601982,122.060992,376.414063,383.770728
31.464886,52.991328,47.138827,26.877222
38.067897,63.653154,40.701439,49.051001
377.654904,796.281671,981.333283,820.089267
56.936397,58.642654,35.646405,42.613671
99.775975,121.221153,63.010639,226.875077
52.744402,78.336405,31.196237,42.47961
60.861487,40.862619,31.48434,40.039019
