MEM2,MEM4,SAF,F2,LIN
57.628446,46.800285,46.800285,38.182747,209.96667
96.987821,57.625556,57.625556,72.535258,1001.739748
62.530769,33.18182,33.18182,35.711927,388.98982
142.704876,207.635232,207.635232,56.853807,351.064689
23.734831,22.426925,22.426925,25.594313,123.593857
201.741565,1083.237046,1083.237046,226.734015,1714.472672
36.443617,32.492384,32.492384,26.509645,872.333168
32.149101,33.310438,33.310438,32.846489,399.448703
35.104723,35.476023,35.476023,35.979493,1429.955202
45.545965,85.314009,85.314009,46.144059,190.856327
30.39096,32.759331,32.759331,28.990618,150.857164
92.435966,597.052996,597.052996,107.931344,1639.951598
33.33609,27.773914,27.773914,34.464014,74.754989
1494.449428,1565.390873,1565.390873,566.116021,3651.360135
3934.812072,4617.309887,4617.309887,3180.014464,6872.158732
54.122786,52.319634,52.319634,66.937224,107.193911
62.261863,77.705623,77.705623,51.659706,914.961242
529.370428,1023.026963,1023.026963,360.945235,3294.214513
34.606512,31.956515,31.956515,31.238439,621.883046
36.361674,33.318247,33.318247,27.423734,203.439068
45.56976,58.293837,58.293837,34.0454,224.820226
23.511901,22.715731,22.715731,22.094008,190.894749
2406.854914,5914.355209,5914.355209,3344.167234,7505.22292
32.377824,42.525114,42.525114,34.600322,1386.962598
53.872736,324.658272,324.658272,168.83125,1812.074572
245.283782,355.959933,355.959933,456.151899,3493.795408
29.373645,33.394863,33.394863,41.107792,530.526689
30.229159,37.410285,37.410285,21.895938,86.81565
19.325505,21.728356,21.728356,20.705932,99.164468
86.952945,44.720848,44.720848,48.685278,212.52011
27.37266,26.939497,26.939497,28.138109,147.485233
63.480345,56.637592,56.637592,44.704012,378.078799
1448.016884,1692.516687,1692.516687,1071.788146,3444.538211
449.313945,659.239151,659.239151,256.403559,2875.706298
34.680955,41.081233,41.081233,50.639418,597.731556
750.036861,1313.036625,1313.036625,670.615338,1656.59621
34.719254,59.124286,59.124286,40.999595,789.890165
78.726024,49.754897,49.754897,32.625305,393.814577
56.291226,56.145463,56.145463,56.606303,169.591945
31.845495,40.294232,40.294232,29.959742,1654.272077
55.58535,80.833598,80.833598,68.882186,193.450669
36.912226,49.678761,49.678761,24.50741,81.295583
383.770728,976.013012,976.013012,376.414063,3940.727287
26.877222,65.755074,65.755074,47.138827,919.605906
49.051001,27.887082,27.887082,40.701439,166.452245
820.089267,1928.403926,1928.403926,981.333283,4594.876637
42.613671,45.45237,45.45237,35.646405,125.123245
226.875077,214.16554,214.16554,63.010639,1110.201974
42.47961,53.945544,53.945544,31.196237,2475.177918
40.039019,23.534545,23.534545,31.48434,167.657207
