MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
55.447344,57.628446,39.452599,46.800285,46.800285,38.182747,1640.976081
344.277256,96.987821,74.134604,57.625556,57.625556,72.535258,1587.422314
110.70886,62.530769,76.027988,33.18182,33.18182,35.711927,345.774044
138.069439,142.704876,135.427934,207.635232,207.635232,56.853807,1246.218039
102.269489,23.734831,18.782583,22.426925,22.426925,25.594313,318.962882
295.923197,201.741565,73.880039,1083.237046,1083.237046,226.734015,1881.078751
124.937539,36.443617,38.870942,32.492384,32.492384,26.509645,3426.517717
209.161536,32.149101,30.108338,33.310438,33.310438,32.846489,977.036892
206.698268,35.104723,32.576183,35.476023,35.476023,35.979493,1009.110097
199.842136,45.545965,45.184096,85.314009,85.314009,46.144059,1953.871012
101.200347,30.39096,38.328127,32.759331,32.759331,28.990618,536.953751
616.425563,92.435966,94.814937,597.052996,597.052996,107.931344,1769.179405
90.599133,33.33609,28.06643,27.773914,27.773914,34.464014,704.829204
1100.955718,1494.449428,752.581766,1565.390873,1565.390873,566.116021,3394.467863
5347.387502,3934.812072,3847.868243,4617.309887,4617.309887,3180.014464,9583.708786
92.094722,54.122786,47.995055,52.319634,52.319634,66.937224,558.774816
198.267532,62.261863,75.752402,77.705623,77.705623,51.659706,2050.37074
2978.969047,529.370428,366.308231,1023.026963,1023.026963,360.945235,4731.852546
96.839814,34.606512,24.946833,31.956515,31.956515,31.238439,992.629073
80.507953,36.361674,27.23445,33.318247,33.318247,27.423734,821.786943
102.847796,45.56976,30.869931,58.293837,58.293837,34.0454,663.850616
75.534702,23.511901,25.064041,22.715731,22.715731,22.094008,387.266474
3819.369605,2406.854914,3960.184473,5914.355209,5914.355209,3344.167234,8678.796274
246.456871,32.377824,32.729242,42.525114,42.525114,34.600322,2238.700418
348.972092,53.872736,447.605586,324.658272,324.658272,168.83125,1748.103897
1409.555621,245.283782,413.894946,355.959933,355.959933,456.151899,3383.101554
85.120736,29.373645,35.131273,33.394863,33.394863,41.107792,1289.746388
49.016381,30.229159,31.742631,37.410285,37.410285,21.895938,245.727347
55.003429,19.325505,24.104969,21.728356,21.728356,20.705932,611.08204
77.794571,86.952945,35.319821,44.720848,44.720848,48.685278,1278.37781
84.873766,27.37266,28.964369,26.939497,26.939497,28.138109,349.12529
216.180453,63.480345,53.158892,56.637592,56.637592,44.704012,311.277058
2144.643706,1448.016884,1496.152232,1692.516687,1692.516687,1071.788146,5346.433234
1033.069474,449.313945,359.116988,659.239151,659.239151,256.403559,2447.682834
66.627943,34.680955,21.16219,41.081233,41.081233,50.639418,626.477071
1390.115864,750.036861,959.465201,1313.036625,1313.036625,670.615338,3009.816407
354.988232,34.719254,44.363625,59.124286,59.124286,40.999595,2261.148717
274.837088,78.726024,51.628182,49.754897,49.754897,32.625305,2460.096939
120.225389,56.291226,58.299895,56.145463,56.145463,56.606303,587.605876
440.298582,31.845495,24.185952,40.294232,40.294232,29.959742,1406.234517
101.603932,55.58535,82.236057,80.833598,80.833598,68.882186,1349.428473
49.518979,36.912226,39.440585,49.678761,49.678761,24.50741,740.010601
925.967829,383.770728,496.335132,976.013012,976.013012,376.414063,4292.101783
203.481259,26.877222,31.508144,65.755074,65.755074,47.138827,1154.99588
66.134809,49.051001,25.886614,27.887082,27.887082,40.701439,395.048883
1532.711972,820.089267,999.407234,1928.403926,1928.403926,981.333283,4109.395796
70.576525,42.613671,38.800816,45.45237,45.45237,35.646405,123.360563
685.622446,226.875077,83.225879,214.16554,214.16554,63.010639,1323.006663
665.232475,42.47961,25.947425,53.945544,53.945544,31.196237,3173.846419
121.746752,40.039019,21.405188,23.534545,23.534545,31.48434,809.190017
