LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
2346.653617,4030.879064,38.69809,8935.35743,1542.580014,91.984247,2802.747822,3320.469677,4775.433146,279.025345
4217.627026,4251.471764,28.797821,11220.230518,2347.357331,206.005493,6436.007146,6441.932081,7675.918682,473.8126
2021.802433,2234.021485,28.697417,6965.303306,1020.366275,42.067422,2161.72752,1942.592583,3645.515116,49.348155
1491.552888,2812.24196,43.859063,7238.743058,1857.999997,107.842504,2686.173743,3027.105583,6206.448886,56.796818
816.542365,612.846036,22.18434,5772.650363,881.177451,32.534475,825.106579,1755.335254,2852.523132,26.259866
4963.730731,6634.829928,328.735494,13051.22529,2218.211226,10112.356687,6619.934227,5867.405859,10124.776597,504.843086
6039.39695,6245.063186,147.552811,12181.518519,2488.772915,239.298528,6780.571502,5549.970172,3658.875922,1325.165222
4163.657421,3860.390093,25.835465,9812.703643,1027.650194,63.434131,3315.352335,3786.025779,2367.147097,47.863911
3912.446413,3944.517459,27.976255,8286.224546,1069.894903,80.026269,4601.863808,2574.395577,6270.99415,43.084393
2553.498863,3382.154467,197.663208,10774.891708,1926.095233,49.408296,4836.0603,4776.433504,6609.443695,1187.872216
1973.359447,2475.121569,24.11317,8166.179683,2454.379151,95.514298,1946.2185,2814.105177,6357.801185,33.618758
5524.086851,5487.345384,461.334841,11670.056103,3509.283212,161.00727,6100.92585,6669.544404,5176.107053,952.227936
2181.865758,3194.150012,45.241984,7572.956431,1078.404658,81.647856,2613.161785,2186.983198,3569.146804,74.185968
7375.26684,6810.157765,1505.557994,11900.485547,2727.6249,4351.191663,6978.32287,5170.500032,7249.091983,2756.052674
15183.096475,13872.467629,4812.139605,23642.110106,11740.390133,8198.974083,13570.445747,11814.469315,8096.994962,8451.849495
1556.237731,2006.209983,69.144381,6189.31356,1119.014358,139.651109,1346.09641,1214.638349,4773.589667,81.874258
3578.964723,4638.769595,713.858406,10247.512931,944.821874,86.864892,7198.290073,5288.212455,4036.255848,1277.076665
7949.433312,8942.903703,557.021714,15964.605714,3668.571869,1773.789034,6888.599625,9020.039106,6429.926723,2397.461038
2082.748019,2153.548069,29.643221,6087.215924,1651.939938,84.3517,1941.38668,1809.24852,4380.515667,59.377622
3044.78157,4238.003864,39.977029,9848.230523,733.430804,141.975078,2526.533293,2668.142545,4614.428425,72.04349
1535.21876,1605.781811,83.67975,5948.203215,738.502453,74.0877,956.273575,1582.609587,3938.274125,62.728272
596.792351,1231.689945,21.473629,4538.733628,1038.069871,76.738995,1537.109829,1498.720479,2977.335018,35.821422
14277.389536,11930.963186,4396.429849,20776.833743,7390.186528,7686.249478,13879.888095,12854.834158,8175.18902,5463.312182
4711.63579,4334.629736,89.387518,11587.61364,1296.927694,81.254964,6126.401568,6443.897773,5332.635734,749.730821
5820.010343,6975.217719,152.157345,10885.68656,3008.868683,990.163358,4020.014171,3657.363639,5610.496171,1089.869653
8117.01235,7555.651168,2744.89695,15998.977413,5098.9207,1011.214303,8517.488771,9314.453189,5234.025671,3747.044315
4158.806008,5113.024337,38.0934,11135.49973,1207.609395,100.666832,5690.704858,4125.649853,7925.330336,64.08459
239.704733,687.490802,31.047457,3322.754094,371.303816,66.130397,327.604192,354.214496,2325.198068,30.208005
1326.205057,1325.129233,21.287672,5561.306092,1504.240715,36.414941,2366.424923,1583.119217,4761.753496,57.628219
3402.194023,5411.600545,56.746686,11389.026117,2044.913049,239.957326,5000.629598,3627.947842,2445.15873,637.416219
799.220413,620.69421,27.916341,4459.196575,839.931564,34.504979,1626.389647,1162.627902,2269.834971,54.629992
2813.05943,3735.269765,257.022223,7762.342533,328.934666,398.04687,2565.5109,2376.548025,2156.62343,527.714002
9070.408876,9643.987026,984.173653,16188.230763,6130.192777,3605.998692,8090.114334,8390.400113,11724.605447,1736.763113
6093.926357,6588.8085,1357.321513,11902.055497,3786.851595,4160.134112,8134.197772,6574.38703,8214.885897,1294.425426
2203.826931,4080.952207,27.591725,6590.388833,1124.904987,243.799566,1777.959278,1365.989646,2415.862583,49.339351
4813.15721,5999.244292,1329.372141,11171.515797,4014.171966,1577.672714,8082.023015,5259.894421,5449.585681,601.908757
3340.830283,3632.383787,43.77975,9526.834652,2046.800084,47.896519,5725.427979,4104.566399,5729.309709,59.031295
2602.625559,3274.351649,37.971293,10095.533196,3689.917262,1045.969638,5484.381711,6037.516011,9199.224411,56.619171
1308.123119,1639.870291,56.825613,4198.922728,968.084633,183.090897,986.250525,1428.159831,3740.536706,61.862891
4272.939164,5252.749167,498.530513,10023.401454,2493.513543,31.857798,6892.110897,5087.34111,3146.751158,1941.168614
4928.155902,4343.818158,58.463117,11240.010384,1841.931252,364.96365,3920.627157,4958.178152,4999.746261,100.502317
717.954599,870.327316,21.994548,5391.584896,1517.440575,43.915286,2353.89077,1603.111593,4705.332785,38.836532
9995.07011,7533.085114,1075.300311,16264.074781,6351.406895,457.734799,8367.130092,10844.380427,11783.601467,1748.75899
2177.937685,2911.338589,23.684509,8081.176299,1259.712139,61.216802,2886.849524,2194.277814,6421.33456,41.96774
1258.327667,1893.445995,40.242077,8943.054,1305.405066,24.511478,2403.263048,916.448338,1476.629049,307.530429
8703.590404,9452.508908,2044.446964,16451.805535,6266.137319,2978.529577,9346.684248,8622.842653,10685.144052,3134.070438
165.675062,200.668751,37.476059,3262.93816,366.167807,142.081407,705.940371,255.348587,1605.746997,39.629404
3433.674914,4127.920128,632.792663,10356.559127,1969.709408,151.818642,3699.391043,3887.493385,6606.90349,994.157869
7285.146993,7597.373207,26.664627,13519.291091,4744.541727,88.829704,9514.889972,10424.898288,12867.877772,113.633695
887.32214,2049.592739,46.178423,7609.521761,1942.027371,77.05905,3784.24546,2490.4545,3083.936352,22.372304
