FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
7499.1712,8303.609856,5788.546578,6479.599427,83.563051,46.249304,676.839715,7565.381477,5992.298169,9573.528939,1985.808904,7012.967662
9344.446725,9855.406394,5065.023408,10491.834595,155.727669,47.38256,7345.234137,10019.063469,9220.052073,10860.144247,1802.543274,8571.847448
5126.256627,4446.917885,3169.20423,3270.585318,71.995752,30.597253,1442.209169,6031.617768,4258.202643,5511.99277,2658.042726,4476.342205
5538.22828,5462.663953,4235.632734,4125.943288,403.732347,112.616274,1908.218333,6130.140763,4447.720286,4512.522099,1627.794561,5192.909124
4213.10749,2723.910917,1335.141601,1730.956635,58.139313,19.477928,3262.155676,3161.261284,2010.850518,4010.172687,1472.170151,2591.588907
11109.607406,10892.45364,5730.116263,7807.137741,1664.387015,875.346071,6570.008158,9370.610091,10191.987666,10837.402384,4987.054605,8952.843173
11444.204317,10148.224263,6577.304877,8385.380252,370.244968,141.641915,7104.542364,10599.867783,8238.792629,10632.780897,4629.547441,8046.656345
7704.90093,7658.809415,4295.517961,5475.869093,80.035326,32.168518,1937.172008,8888.261818,4518.596566,5528.371211,2442.871882,4338.808166
7070.390823,6261.440904,5239.354729,5396.778292,473.284357,35.825107,4568.220695,7028.478309,5544.517381,6837.459677,3378.318546,5344.412798
8853.738516,5454.847953,4193.557184,6268.755604,1028.253736,61.397427,4808.580809,7764.570239,7680.269663,8418.027395,4931.182204,6687.457347
6220.640889,4809.692994,1708.339222,3677.542752,78.65073,26.546683,3244.108105,5922.591052,5728.892963,6303.64569,2939.201527,5221.210655
9363.122694,9566.85158,6951.221555,7252.047637,1466.259249,534.182884,8182.874971,9622.654238,8412.714069,8690.546275,5370.881578,8385.729377
6508.781562,6573.981498,2933.606838,4892.353437,60.367992,198.914028,1577.70175,4768.402739,4368.229406,4612.236881,732.300315,4759.63367
10184.051714,10952.356523,7074.52291,10409.800603,3203.847877,1963.23544,6377.100602,11982.565933,10234.730222,9857.028523,6237.937467,9152.328176
21740.858037,20935.163903,13134.93671,17969.564925,5964.461151,3919.747962,13234.815803,20399.70675,20842.57894,19634.120814,11047.095278,15247.260783
5013.515871,3712.573704,1369.465108,2915.520278,77.598821,61.340219,1071.149719,4619.304242,3029.759539,5168.050615,1204.168609,4085.63988
8576.203487,8242.855083,5643.055605,6317.857756,477.326218,153.227591,4988.492008,8351.210788,6337.530786,10320.865212,4620.038021,6891.063901
13923.55559,15589.603651,8152.263127,13056.396156,1451.950135,452.406093,8941.464438,14116.440828,10905.075215,15334.101513,7717.825336,10986.261128
4299.770978,3654.103949,3667.720035,2923.896842,332.712551,41.455484,1047.955618,4261.311259,5167.546429,4508.834498,1883.564201,3617.987949
7830.579432,7505.736471,3657.140109,5803.533795,33.833977,26.05839,2810.276395,6097.66521,4379.023875,6747.093637,975.894829,7465.495156
4504.360674,3970.200091,1424.527269,1838.389047,78.91761,47.981328,817.487074,3803.769648,1976.794233,4197.412317,2911.03977,3302.822741
2783.258687,3481.225084,1498.295081,1489.500507,80.858923,18.691904,747.007055,3140.245569,1784.664477,3123.29939,683.110205,2558.166579
17850.656754,17652.373556,13107.525724,17899.586604,6427.073794,5143.117306,11887.090263,19214.585214,17188.786255,18611.619507,12117.02592,15163.107652
10116.498394,8153.79889,5277.132418,5996.841162,1536.060718,428.350587,5942.562359,9092.514248,8098.073159,8227.244753,4968.133152,7545.684199
9218.642261,9396.100221,5344.222918,8986.535187,1196.465848,620.903186,6832.645458,9707.919944,8050.945051,9562.103643,2541.082969,7275.459791
13871.413735,13252.287651,7263.725683,11380.804342,2088.492994,1784.06831,10791.783834,12541.341557,9954.304951,12935.804152,8084.953974,9899.972741
8770.792316,7791.414283,4177.819083,5880.251995,189.745753,34.684663,3729.887121,8710.696767,6464.879197,8109.368664,5063.115666,8579.629004
2313.036054,1888.545547,774.999478,1338.223614,29.087302,23.81907,391.571061,2262.109482,2090.421094,2426.521944,294.92434,2308.417686
3885.77275,3558.839101,2092.791024,2781.466463,29.336905,20.682527,1578.797306,3511.348202,4262.765949,4015.08093,2541.297606,4326.273047
9676.28364,8599.626275,5140.314902,6741.539666,197.644954,30.468633,2699.050871,8572.250391,7048.3091,9855.056647,740.559262,5686.284734
2842.79586,2382.628828,3795.082815,732.519899,34.801879,17.814145,363.730695,4499.534378,2437.103666,2050.884039,176.683421,1996.580613
5780.164584,4696.470252,2527.147501,3403.963992,256.629238,60.189634,1507.108729,6010.8207,3614.511007,4637.185933,2476.99418,4199.197839
14397.432387,14759.977815,8150.727619,10486.28257,2361.768468,2070.412037,10205.358957,14224.87914,14818.409994,13432.880919,11094.039302,12045.809677
9901.168508,9922.535115,6894.138799,7936.269117,2284.947032,1307.077283,8166.917243,9511.484538,9699.298105,10401.57341,7163.802182,8788.508529
4760.403698,5204.829361,4070.620506,4622.997719,102.865744,27.271047,1881.051856,5676.713119,3927.109759,6373.879272,2657.409542,3667.221719
9947.358814,11028.071911,4476.419128,9455.310767,1718.976292,1251.514677,7775.708536,10175.09077,8532.89294,10874.090108,6012.351123,6590.609645
