SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
300.899127,6569.03106,7877.844997,5388.548227,227.242589,7877.844997,9283.856829,25253.848887,4921.797271,99.899042,7845.792342,7877.844997,651.782877,105.292764,73.761319,5650.428003,5651.947866,209.213082,9314.361387,10470.511841,4713.713559,9545.659169,102.514847,784.067232,100.505056,12219.30738,7203.749953,4406.246105,489.09095,5648.055522
351.42786,9773.477407,9858.383248,8934.870208,1386.463869,9858.383248,11387.758673,24727.192871,9156.434506,78.469697,9400.530864,9858.383248,3616.970128,707.160702,2447.223486,9849.403693,6306.667588,313.023857,10612.824732,11384.984982,9901.493436,9930.606847,100.304709,670.793465,38.593959,21259.057958,9238.561862,5338.770196,4721.364597,8965.559118
379.677877,4236.527901,3583.383689,4107.153654,226.945067,3583.383689,6277.645013,10002.459105,4382.873897,64.897227,6163.04208,3583.383689,42.407672,96.330097,62.330723,3047.45698,2958.561385,201.2804,6352.350066,5054.579892,3208.024264,5724.885643,72.497169,77.869629,40.778369,9536.744553,3650.126511,3840.675773,141.445255,4292.688782
292.497392,4275.513361,5146.946674,4425.421562,535.841233,5146.946674,6911.143558,12220.685418,5538.546359,164.381272,6907.392814,5146.946674,1295.462655,452.604541,223.013521,3631.259057,3978.425184,373.260214,6909.282838,5965.748736,3719.796742,7183.179953,155.432372,78.641049,55.349638,14869.351019,3808.291419,4042.554476,853.141855,4298.156014
277.111757,1945.205023,2477.559907,2789.463863,163.863811,2477.559907,5570.792135,6574.501179,2998.00734,45.314796,3480.196709,2477.559907,99.114183,175.712947,166.828866,1712.321401,1168.004673,157.552805,4612.424511,4841.462444,2999.97055,3903.7234,51.01212,71.002813,38.903033,10580.548591,1537.084991,1022.048258,103.629369,2876.442834
286.524286,9046.368645,9643.083411,7060.482161,1284.262176,9643.083411,13003.16925,28152.905431,7984.371956,167.233038,10958.633348,9643.083411,3574.630001,2329.121107,891.56635,9586.14683,9731.234003,296.289848,12308.730759,12191.689269,7800.68989,11141.086606,146.166742,578.148408,86.176249,26469.27561,8001.738607,7443.130284,6307.261501,8324.59071
300.296396,10440.53533,11372.238649,8923.461969,505.03716,11372.238649,12500.7349,26834.987586,8363.051999,216.551016,10990.534351,11372.238649,4438.444517,963.799023,628.280888,9407.862229,9163.456219,315.394083,12980.91517,11915.314549,8535.519438,11805.129138,190.114565,2506.78169,34.334532,18539.267417,10092.019028,9199.808515,6541.63004,8510.386694
282.22437,6861.291846,6296.147883,6327.649526,380.699213,6296.147883,9177.148659,22933.448168,7487.978191,69.577693,7197.116742,6296.147883,139.864192,359.904336,90.21194,7140.883138,6417.271953,162.129856,9049.676572,9052.182963,6744.195028,7224.74957,119.673006,224.50764,44.784759,22244.774953,5126.11332,5033.298239,11055.831723,6744.28741
238.272161,4877.943406,6117.993679,4385.210294,262.819672,6117.993679,8351.236354,21500.976566,4606.804543,82.835062,6836.581196,6117.993679,137.163097,1780.459084,53.430952,4859.942546,5036.237311,190.460218,6905.757478,8291.991673,4617.345596,6884.969907,82.977453,233.725657,40.071877,12779.158159,5295.661985,4542.33408,156.746584,6436.404285
231.798381,6307.730499,9213.423885,6205.631765,388.856992,9213.423885,10007.723134,15904.38526,6103.747971,109.521344,9855.172563,9213.423885,302.136991,2078.835328,118.21203,7229.162909,5958.984164,347.394542,9362.529928,9116.466256,6135.817826,10243.054469,132.216739,1385.113985,43.768911,15824.12418,7121.07722,2939.732549,557.007667,5847.739061
380.269033,4666.829061,5509.830805,3849.108079,294.3486,5509.830805,8025.327728,23572.144433,3529.023868,95.777135,5453.566348,5509.830805,154.937049,1309.154343,180.172149,4404.720971,4674.600257,258.60985,7919.158801,7318.207582,3981.922683,7022.215312,79.378665,134.931853,32.349189,24179.982077,3590.113153,1777.94759,1723.949536,3871.922753
283.424339,7579.337826,9281.697865,7461.143448,1483.216775,9281.697865,11431.025577,23478.938688,7690.963317,265.090245,9918.910832,9281.697865,2225.734072,1918.281573,491.142425,8966.37922,8072.726509,297.531934,11120.14465,10877.508143,7353.681554,10537.806682,615.762878,2704.6924,45.781919,19233.41807,8423.344877,5500.664133,10375.487492,8012.556424
217.788013,5724.006287,6049.068509,5338.445051,394.920855,6049.068509,7253.305684,9525.377664,5087.233041,106.514209,6515.681349,6049.068509,112.414232,222.652573,92.614162,4443.764285,4200.871611,247.915034,8038.545956,7044.202039,4905.080694,6797.482557,108.355274,371.616837,34.413935,8436.613363,4706.920911,2459.60875,1707.726648,4149.195008
583.955441,8754.441861,9920.989215,8811.463975,2376.424078,9920.989215,12240.478287,24405.137782,9330.788934,797.125855,12639.422947,9920.989215,5970.249267,2860.767405,3835.286442,9549.377664,9368.044413,860.798641,12881.249178,11208.293959,8720.313016,10317.805906,943.422292,2487.977955,186.092695,23450.578805,8211.129493,6051.522402,9437.599513,8834.230136
3039.567972,17942.16569,18596.962211,16730.709345,9378.511292,18596.962211,24137.946577,45474.320576,17103.260193,4668.35028,21169.365953,18596.962211,8388.030817,8338.598341,13984.789602,18760.123635,17683.030579,4240.830927,22919.96012,22940.067931,17701.700003,22024.376672,4758.117209,13754.156074,2184.332923,43510.816018,19320.917605,15014.443725,26993.18418,18495.005363
279.012456,3420.29628,4047.772548,2537.793734,224.931949,4047.772548,7017.218733,18885.69031,2596.624078,98.844968,4805.016173,4047.772548,259.703667,177.040798,67.568437,2574.366231,2363.663973,216.663387,5468.364792,6278.084515,2544.545424,5708.602622,151.042755,76.717975,52.596787,10359.638589,2711.343157,2395.074385,300.392421,2611.924584
