LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
3148.424678,877.860691,111.047674,685.981439,1157.722787,874.907918,3148.424678,4522.127852,601.914329,8442.637888,15214.051379,686.96745,686.96745,756.190941,686.96745,21038.420792,686.96745,686.96745,686.96745,5183.894076,621.208815,76278.941937,79565.152446,5011.236342,621.208815,3680.465576,877.860691,686.96745,77289.774983,4522.127852,4527.314867,874.907918,681.934026,1951.262088,8935.35743,5183.894076,73642.754274,4522.127852
964.986536,10801.138265,130.954945,329.491325,2553.341583,1336.359582,919.836914,6939.326302,344.406677,3137.99876,4782.48954,353.636956,353.636956,958.205805,353.636956,16482.480417,353.636956,353.636956,353.636956,2249.591782,158.855168,12705.769154,432.411755,2385.38413,158.855168,8162.92625,10801.138265,353.636956,12705.769154,6939.326302,356.367235,1336.359582,87.064793,944.576313,19190.639527,2249.591782,11733.842796,6939.326302
3960.088616,305.449802,52.527424,43.293924,1781.967359,305.449802,7235.683671,15789.951039,131.528656,6007.980631,34740.538115,305.449802,305.449802,305.449802,305.449802,16356.981448,305.449802,305.449802,305.449802,7000.595382,106.550281,16868.146597,104.641482,7407.939174,106.550281,16849.877027,7987.960778,305.449802,5112.72068,15789.951039,136.27222,90.218711,334.285105,1036.670424,4853.759281,7247.546222,13144.300842,15789.951039
28982.881479,2036.421085,120.300906,399.453962,1384.037184,748.502737,61421.932265,7626.270293,237.100361,1672.282209,33450.009705,741.704683,741.704683,741.791584,741.704683,27689.341419,741.704683,741.704683,741.704683,8152.131914,214.707327,24642.000759,17176.870246,10920.731845,214.707327,24647.636304,72607.849105,741.704683,7626.270293,7626.270293,72607.847452,72607.847452,360.706542,3884.8937,11780.526315,8152.131914,7132.047079,7626.270293
1460.180558,177.501001,150.210692,127.815286,310.800434,115.603042,1114.452975,188.643498,259.059841,310.230677,581.503211,118.237459,118.237459,118.237459,118.237459,52332.016804,118.237459,118.237459,118.237459,733.822099,258.830054,3936.154547,158.642499,662.937688,258.830054,3948.098208,177.501001,118.237459,239.445189,188.643498,237.675605,115.603042,307.235681,120.363324,8134.261431,733.822099,118.4153,188.643498
2822.711153,279.767213,430.569109,776.777598,459.066882,299.286685,2753.530782,705.019122,243.978865,1253.823105,3393.383916,293.596367,293.596367,293.596367,293.596367,35810.044839,293.596367,293.596367,293.596367,2376.285522,211.023636,37952.476776,177023.126259,2343.994226,211.023636,25682.869816,722.087028,293.596367,1390.320945,705.019122,3662.265686,395.204466,729.920936,880.023111,11184.952473,2376.008274,705.019122,705.019122
23938.148031,12523.073995,119.426161,773.640997,1103.5877,942.159227,39092.705593,3657.712848,106.241409,1101.583975,7588.676366,773.640997,773.640997,1600.285036,773.640997,23197.328967,773.640997,773.640997,773.640997,5428.211689,106.241409,3151.605942,11400.827766,4846.216945,106.241409,3151.605942,12523.073995,773.640997,896.54771,3657.712848,951.197168,942.159227,722.620851,3872.246831,9922.450464,5428.211689,754.805006,3657.712848
24154.160219,596.215217,120.464058,285.421225,74535.780969,596.215217,60779.281126,3050.733175,235.545187,74535.780969,23656.212075,596.215217,596.215217,596.215217,596.215217,66823.475784,596.215217,596.215217,596.215217,14054.429214,216.666636,8965.950542,20365.423707,13633.27146,216.666636,8965.950542,596.215217,596.215217,9593.720236,3050.733175,3050.626781,596.215217,301.546848,5074.618463,16877.50798,14054.429214,596.215217,3050.733175
4445.989037,93.8776,37555.013949,384.697778,380.276182,93.8776,639.890485,382.176157,33515.529009,224.620421,5361.575334,93.8776,93.8776,93.8776,93.8776,68020.228509,93.8776,93.8776,93.8776,1836.504546,33202.619424,5564.911902,9647.159305,1802.01609,33202.619424,2089.891482,93.483155,93.8776,3763.256497,382.176157,2516.394932,93.849471,98.265895,775.087858,10870.104155,1926.029921,382.176157,382.176157
1622.224678,683.773805,12712.143673,683.773805,814.298209,683.773805,2073.299763,1028.76785,140.53436,918.185295,5749.343849,683.773805,683.773805,1376.778571,683.773805,19861.985472,683.773805,683.773805,683.773805,6750.117584,146.168168,6559.596354,29061.312179,7147.321668,146.168168,6459.973641,683.773805,683.773805,918.185295,1028.76785,924.969007,683.773805,683.773805,1502.879318,11001.756191,6750.117584,787.768792,1028.76785
