SER_9_1,SER_6_3,F2,MEM2
98.107776,114.467669,46.249304,60.887563
98.526138,79.474541,47.38256,43.030876
53.974108,74.758494,30.597253,75.69539
55.872572,110.113657,112.616274,105.788215
23.15833,38.787742,19.477928,28.176255
113.153511,147.094209,875.346071,304.634118
66.961303,103.271617,141.641915,142.413965
42.221044,63.601101,32.168518,47.80513
47.674727,76.803239,35.825107,46.080769
61.930629,97.223019,61.397427,306.325632
52.731105,93.082841,26.546683,47.082453
62.400168,128.550591,534.182884,780.682506
43.884916,119.831324,198.914028,33.250813
365.732015,485.182076,1963.23544,1172.926584
2453.778132,3129.646425,3919.747962,3643.584418
120.817043,114.71964,61.340219,54.979388
42.289621,120.965679,153.227591,104.829721
285.57494,248.490082,452.406093,897.19155
43.986363,83.821398,41.455484,30.9703
123.985794,89.802226,26.05839,45.065085
65.144138,75.004635,47.981328,47.813798
40.432705,43.969555,18.691904,23.171496
1763.628997,2305.645525,5143.117306,4341.047404
69.948409,116.841456,428.350587,62.059719
142.515561,190.775266,620.903186,348.914982
105.638601,262.480571,1784.06831,1537.30209
52.952208,96.366177,34.684663,29.999303
42.736065,77.32955,23.81907,31.688209
90.490323,99.234285,20.682527,23.583909
85.955472,95.574412,30.468633,72.02928
34.02145,143.622959,17.814145,30.102744
56.478555,91.182331,60.189634,63.763159
996.815046,1144.312724,2070.412037,2229.33549
121.089159,164.347775,1307.077283,1195.879214
73.15971,90.365242,27.271047,52.431442
690.907112,756.013666,1251.514677,1657.037987
65.371623,74.579494,36.418411,43.746129
82.805718,196.525311,36.720216,49.375119
72.102815,65.386862,56.872511,64.359913
37.011258,73.040959,271.841065,48.364103
78.11166,142.022442,84.489494,59.914127
42.875213,47.887247,27.813794,37.138884
121.046906,226.201244,1385.097445,1694.631956
57.625805,110.343313,210.719716,64.037215
60.316529,121.964208,28.969033,50.331566
325.225698,1016.625113,1364.702588,1414.9718
58.54321,73.463795,38.777657,38.574767
131.588583,145.772761,716.945604,727.418904
65.268711,95.434414,280.761667,327.490778
70.257025,67.075434,40.727117,32.759991
