LIN,S3_V2_D1,S3_V10_D4,S4_V7_D1,S4_V9_D2,S4_V9_D4,SAF,F2
2346.653617,38.69809,1542.580014,91.984247,3320.469677,279.025345,83.563051,46.249304
4217.627026,28.797821,2347.357331,206.005493,6441.932081,473.8126,155.727669,47.38256
2021.802433,28.697417,1020.366275,42.067422,1942.592583,49.348155,71.995752,30.597253
1491.552888,43.859063,1857.999997,107.842504,3027.105583,56.796818,403.732347,112.616274
816.542365,22.18434,881.177451,32.534475,1755.335254,26.259866,58.139313,19.477928
4963.730731,328.735494,2218.211226,10112.356687,5867.405859,504.843086,1664.387015,875.346071
6039.39695,147.552811,2488.772915,239.298528,5549.970172,1325.165222,370.244968,141.641915
4163.657421,25.835465,1027.650194,63.434131,3786.025779,47.863911,80.035326,32.168518
3912.446413,27.976255,1069.894903,80.026269,2574.395577,43.084393,473.284357,35.825107
2553.498863,197.663208,1926.095233,49.408296,4776.433504,1187.872216,1028.253736,61.397427
1973.359447,24.11317,2454.379151,95.514298,2814.105177,33.618758,78.65073,26.546683
5524.086851,461.334841,3509.283212,161.00727,6669.544404,952.227936,1466.259249,534.182884
2181.865758,45.241984,1078.404658,81.647856,2186.983198,74.185968,60.367992,198.914028
7375.26684,1505.557994,2727.6249,4351.191663,5170.500032,2756.052674,3203.847877,1963.23544
15183.096475,4812.139605,11740.390133,8198.974083,11814.469315,8451.849495,5964.461151,3919.747962
1556.237731,69.144381,1119.014358,139.651109,1214.638349,81.874258,77.598821,61.340219
3578.964723,713.858406,944.821874,86.864892,5288.212455,1277.076665,477.326218,153.227591
7949.433312,557.021714,3668.571869,1773.789034,9020.039106,2397.461038,1451.950135,452.406093
2082.748019,29.643221,1651.939938,84.3517,1809.24852,59.377622,332.712551,41.455484
3044.78157,39.977029,733.430804,141.975078,2668.142545,72.04349,33.833977,26.05839
1535.21876,83.67975,738.502453,74.0877,1582.609587,62.728272,78.91761,47.981328
596.792351,21.473629,1038.069871,76.738995,1498.720479,35.821422,80.858923,18.691904
14277.389536,4396.429849,7390.186528,7686.249478,12854.834158,5463.312182,6427.073794,5143.117306
4711.63579,89.387518,1296.927694,81.254964,6443.897773,749.730821,1536.060718,428.350587
5820.010343,152.157345,3008.868683,990.163358,3657.363639,1089.869653,1196.465848,620.903186
8117.01235,2744.89695,5098.9207,1011.214303,9314.453189,3747.044315,2088.492994,1784.06831
4158.806008,38.0934,1207.609395,100.666832,4125.649853,64.08459,189.745753,34.684663
239.704733,31.047457,371.303816,66.130397,354.214496,30.208005,29.087302,23.81907
1326.205057,21.287672,1504.240715,36.414941,1583.119217,57.628219,29.336905,20.682527
3402.194023,56.746686,2044.913049,239.957326,3627.947842,637.416219,197.644954,30.468633
799.220413,27.916341,839.931564,34.504979,1162.627902,54.629992,34.801879,17.814145
2813.05943,257.022223,328.934666,398.04687,2376.548025,527.714002,256.629238,60.189634
9070.408876,984.173653,6130.192777,3605.998692,8390.400113,1736.763113,2361.768468,2070.412037
6093.926357,1357.321513,3786.851595,4160.134112,6574.38703,1294.425426,2284.947032,1307.077283
2203.826931,27.591725,1124.904987,243.799566,1365.989646,49.339351,102.865744,27.271047
4813.15721,1329.372141,4014.171966,1577.672714,5259.894421,601.908757,1718.976292,1251.514677
3340.830283,43.77975,2046.800084,47.896519,4104.566399,59.031295,653.010859,36.418411
2602.625559,37.971293,3689.917262,1045.969638,6037.516011,56.619171,242.66741,36.720216
1308.123119,56.825613,968.084633,183.090897,1428.159831,61.862891,69.589236,56.872511
4272.939164,498.530513,2493.513543,31.857798,5087.34111,1941.168614,485.16219,271.841065
4928.155902,58.463117,1841.931252,364.96365,4958.178152,100.502317,119.636234,84.489494
717.954599,21.994548,1517.440575,43.915286,1603.111593,38.836532,52.556487,27.813794
9995.07011,1075.300311,6351.406895,457.734799,10844.380427,1748.75899,2327.85044,1385.097445
2177.937685,23.684509,1259.712139,61.216802,2194.277814,41.96774,323.576389,210.719716
1258.327667,40.242077,1305.405066,24.511478,916.448338,307.530429,170.834571,28.969033
8703.590404,2044.446964,6266.137319,2978.529577,8622.842653,3134.070438,2634.509874,1364.702588
165.675062,37.476059,366.167807,142.081407,255.348587,39.629404,69.752526,38.777657
3433.674914,632.792663,1969.709408,151.818642,3887.493385,994.157869,1377.52986,716.945604
7285.146993,26.664627,4744.541727,88.829704,10424.898288,113.633695,1134.860968,280.761667
887.32214,46.178423,1942.027371,77.05905,2490.4545,22.372304,123.791296,40.727117
