LIN,S3_V1_D3,S3_V2_D1,S3_V10_D1,S3_V10_D4,S4_V7_D1,S4_V4_D3,S4_V9_D2,S4_V3_D1,S4_V9_D4
9.081874,88.908868,12.246956,394.550585,14.124639,13.509338,295.590364,15.864598,347.42227,15.643329
11.733049,65.467329,19.97878,776.476977,20.364328,26.817451,263.852556,18.5529,494.000051,30.777909
5.785176,125.751778,8.122848,773.680998,9.575515,21.747035,208.357638,26.861003,534.329055,11.369278
11.2092,21.35521,16.081516,353.549767,14.905519,16.99972,112.062341,14.972868,263.394742,28.454654
6.482509,132.872844,7.217895,534.148411,7.930834,7.106023,226.238258,16.640265,471.512443,9.175018
14.829274,31.015913,80.341548,981.300768,18.866602,22.307661,191.645107,34.505858,325.950515,20.961266
7.480948,56.585297,7.971448,561.676273,8.595443,15.838195,126.210844,12.435113,380.964253,13.960653
3.35471,10.071324,6.793679,375.737783,7.205002,8.633259,91.535616,13.603206,210.608697,9.384892
3.447072,19.029062,4.610235,253.529295,5.13675,7.144682,111.92185,84.534944,118.534913,6.885326
23.659847,59.380753,24.007121,324.941787,25.100886,25.930246,135.311504,49.055099,180.698553,35.430101
2.388842,12.17702,5.676334,115.678475,6.159857,8.736032,12.686695,6.438904,75.220694,6.504446
8.454813,121.743264,9.082756,1136.778125,7.685024,9.84058,406.376429,30.990386,875.046757,10.491149
2.959767,12.732834,3.211824,483.790521,3.096149,4.40583,177.346601,10.012171,333.348147,3.257702
9.709416,8.463702,8.41455,170.656557,12.739054,13.241527,25.333976,14.199556,55.213153,16.393925
6.260251,8.912835,3.626601,289.508974,5.95414,4.836887,89.058316,31.343771,206.558475,7.493418
11.310277,9.046312,13.025275,602.350948,16.368525,16.124352,102.925249,24.053516,171.315056,11.74333
3.406289,15.340047,3.655793,60.158648,3.784435,3.701354,38.911957,5.554763,54.436558,3.579101
24.807159,38.456656,29.805247,1206.189407,17.163668,13.506536,480.151483,28.981839,762.84731,30.188823
15.64892,67.630039,16.784817,472.159645,17.620052,21.051431,96.078873,60.797082,339.100844,17.035013
11.685649,7.719812,61.259788,365.04669,15.514377,16.971243,30.130212,18.465621,52.713758,55.388854
5.011533,7.231564,8.75045,180.224865,5.008459,5.872648,55.679615,6.326938,77.175464,9.136968
6.490392,9.97869,6.639734,208.627283,7.185212,8.730239,70.559849,13.51453,88.065931,9.215896
217.224014,134.143539,145.56784,816.207729,85.185241,14.778753,460.723663,141.457615,231.052289,81.244514
11.635956,41.75994,24.50567,458.729269,11.278803,21.014161,112.886564,10.405808,223.894243,20.210884
6.932885,28.770551,14.951485,1163.213941,12.582223,35.880566,840.921641,113.248208,814.400905,22.690239
38.133182,34.009493,9.705679,1040.893816,11.29344,24.247676,266.234464,17.533396,150.016517,19.522304
2.303582,3.819618,2.614519,132.389156,2.781018,3.680592,23.435991,6.659582,110.673651,3.177831
3.730643,6.622409,3.430119,308.868722,4.494191,5.80988,78.730877,16.739297,123.490003,4.778579
8.121147,17.00554,11.240952,496.618476,13.159368,29.737178,67.380069,26.275423,138.714804,13.640132
4.589602,32.067762,8.969075,474.943095,9.843414,14.410773,259.242082,72.742212,312.868163,10.957687
5.029612,58.018015,10.685068,507.744608,27.885748,12.197947,297.17599,29.207497,195.825184,13.99957
10.189854,31.69822,38.788404,788.413769,63.826304,120.824931,170.96172,122.689903,565.928792,75.34924
4.126042,140.240665,18.250548,694.029681,7.418238,11.486162,130.227852,10.501875,183.724896,19.642893
24.880857,39.996916,21.190413,1273.761531,21.23484,32.751738,522.54554,61.821788,465.981147,85.822613
6.639211,26.140974,8.026151,425.647426,8.189836,9.063087,141.811251,29.763653,160.538736,8.245064
4.366373,12.786989,4.2312,402.855945,4.825866,10.951175,121.522978,23.852653,201.882421,7.414401
13.552332,61.573183,22.891129,1022.446546,22.352541,18.223096,519.428292,31.963338,909.93401,30.877136
6.634977,70.048778,8.435538,378.290843,7.157731,11.375355,61.280974,10.085228,217.016443,13.275286
6.967678,36.716748,13.16121,677.42833,14.861927,17.776353,328.546734,220.999024,621.290402,21.823236
6.802,40.397149,6.307664,1845.096563,8.365625,14.05141,1214.682295,431.922555,794.650334,11.051646
12.451962,29.246481,9.118792,1544.186489,15.182621,44.24489,445.560402,179.274544,670.937294,51.884823
6.073226,12.568261,6.422111,331.299033,4.249497,6.101121,196.782339,23.703943,131.691248,5.378848
36.31263,71.870488,91.311405,1950.105398,65.982322,187.595129,835.352636,583.555126,589.324346,123.779268
2.059453,2.823987,2.023542,102.64892,2.061552,2.289756,75.429691,13.570513,10.369631,2.063255
31.672711,128.083408,47.001516,1999.962185,33.300153,37.73582,1477.914789,910.223607,673.766474,222.328047
7.586939,59.207453,14.454154,515.848036,15.764144,21.723045,270.270022,107.531431,240.890024,23.94259
9.357153,23.565356,14.584473,1445.477131,21.064573,14.657521,835.688017,324.967248,218.062278,165.311418
20.512542,27.869785,59.16811,875.344224,86.139264,151.72644,246.749542,311.967606,369.537138,88.063456
6.30233,8.675279,8.323912,312.627563,8.862915,20.069672,112.734496,33.044672,204.782195,20.273622
5.099916,85.931555,5.645347,329.552747,5.46373,6.23036,187.944481,16.737385,167.277244,6.544249
21.661549,86.581699,18.091712,242.10423,18.429556,22.289333,201.924116,22.762604,235.74435,21.610318
3.967109,16.848897,6.433663,685.217031,12.397709,14.162432,424.868796,169.405322,582.372644,7.813782
129.166076,168.228051,107.817418,1037.213458,121.24848,122.604926,416.028851,122.845983,572.337194,110.285167
27.305257,125.405519,52.982734,2563.889515,43.973912,103.513684,713.252769,346.723518,991.684426,107.100407
29.955741,56.426189,33.170769,1790.065329,61.58837,88.529452,956.728602,307.603995,701.261769,57.606992
88.020997,184.759178,57.265597,2428.442984,93.178225,156.550345,2671.563656,401.555893,1375.487122,93.137723
19.189729,30.771013,200.483179,650.082241,26.488628,21.599418,183.160791,42.893227,278.383056,236.955493
6.375385,21.485981,27.94274,477.205446,27.73785,35.513203,160.291944,29.834346,320.965037,75.28828
139.426374,243.282444,673.555352,4815.342523,138.571817,103.376011,2778.661769,1486.650149,948.503515,695.56761
19.707101,113.113956,35.467848,869.341357,35.185852,40.127515,222.799376,61.100613,678.534819,50.416692
19.979227,128.833257,129.123763,2694.341724,83.521318,40.201476,1342.491733,415.609479,1522.406596,402.581734
16.767747,102.246018,38.781794,2203.466607,16.643947,11.426407,763.791367,47.041768,736.022976,90.314988
19.870342,267.486137,46.975038,2279.741255,42.049,97.312013,578.458073,44.146118,748.859,106.642274
11.910117,111.579735,27.897391,2917.299968,44.42746,53.897934,1090.04681,252.542768,1364.369246,268.066209
