FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,QDR,CUB,QUA,QUI,SEX
262.228685,34.466431,19.968868,24.376704,9.734293,6.163188,10.165172,150.507251,30.699128,295.687464,193.77366,266.500194
433.922758,63.162936,29.635054,31.525684,8.638492,5.440295,25.669124,456.514641,58.07277,470.596052,338.400865,526.96155
552.824251,147.235593,53.746361,24.926583,2.769105,4.747836,5.608849,553.958098,31.173903,524.985368,378.775663,890.601312
209.692599,39.59982,8.884858,5.478712,3.51703,3.87428,12.761726,135.242577,63.02003,199.158448,86.847514,152.945194
337.436145,25.291751,37.946335,19.158576,7.986915,3.317062,5.683041,243.785101,32.006882,212.452944,167.248877,374.55094
475.795093,56.172381,20.778578,15.051442,9.398724,14.356248,34.425395,610.603115,18.272321,203.297079,495.135537,528.889392
361.503392,49.205797,10.405398,25.509293,13.393834,2.433486,7.872777,262.680688,61.829813,364.866352,113.161194,351.404798
165.587703,12.571318,6.101331,3.913443,2.198292,2.305392,3.358288,134.064647,10.25701,141.266366,41.035345,164.972015
159.609523,15.480892,7.653384,6.988747,2.53343,2.609409,3.578068,83.441617,8.816643,100.593647,64.860165,151.121102
193.597951,68.599173,42.716107,61.525851,21.214165,20.016037,23.06572,111.757551,41.752098,116.108763,75.235512,180.717828
60.925361,5.374357,2.684195,1.793384,2.156821,2.641015,2.799871,54.251931,4.938034,59.662932,5.253299,63.110154
772.362405,71.793101,35.549051,23.381344,4.508623,5.322753,10.861863,469.085395,21.942904,191.157903,324.02319,645.872218
273.099203,14.379655,5.143779,7.882563,2.505553,3.13833,2.804344,257.524041,8.267852,253.524044,22.367242,274.613434
96.863896,10.066271,6.299334,5.047933,4.402133,4.223671,11.165362,40.191039,15.699074,70.358956,10.891583,55.739184
144.047107,22.516818,8.61757,7.860141,2.056795,3.006516,7.648488,70.757924,7.337623,93.984321,48.628198,152.144139
216.69077,49.531761,13.208368,4.89905,4.377521,7.640848,10.968757,92.828207,14.215995,111.961749,120.063647,208.789396
43.644041,19.490885,8.57347,6.478648,3.063778,2.858227,3.467156,22.430265,6.252475,25.533239,57.180467,45.434648
814.79413,87.202404,28.008382,51.613104,5.403726,3.144724,18.620079,741.80404,43.045416,846.658591,711.832229,1033.688078
275.484231,34.068233,10.52714,34.490003,2.554918,3.596395,21.959646,200.370955,24.43043,155.33687,94.790982,256.218545
106.248173,12.469662,4.377391,8.074171,3.088163,3.229932,10.972924,104.363396,23.971245,49.049873,75.065515,76.152059
77.984503,5.527635,8.569588,6.262436,2.484395,3.181378,4.84398,56.979383,6.371316,26.468449,16.038471,91.074547
99.508343,10.276793,5.397297,6.684105,3.09273,2.859616,5.915304,153.435098,11.645253,79.826657,70.377411,135.10654
607.379366,517.414959,123.846076,143.122204,20.632628,15.567533,9.339806,450.721245,65.753995,263.583306,563.21159,1163.010398
316.806956,83.567241,32.095165,48.12543,5.393363,5.200739,8.734871,147.238315,14.801857,209.74434,222.924391,329.846331
871.535169,138.086934,39.097447,40.198762,11.383584,6.996593,16.790664,1123.493027,192.111136,813.24137,761.757579,856.928173
820.482548,97.064871,49.393387,62.917288,5.027776,3.32654,5.921259,560.06829,71.334899,500.85075,113.139819,373.13803
90.452454,9.255939,3.481415,3.772509,2.008894,1.968676,2.282449,47.680397,4.722108,69.928809,28.297692,73.421735
156.938693,45.250175,6.7867,9.21647,2.289654,1.996099,4.846895,114.618455,48.565539,61.424352,129.663822,215.579387
291.09111,46.982852,21.711068,10.937918,5.658928,3.289838,21.461153,160.19982,28.095532,142.627642,252.596249,254.746121
329.806376,39.343384,17.811231,4.555015,3.07555,3.365832,4.589552,150.467537,178.621449,164.0501,260.916445,351.453474
345.131881,130.482654,44.772502,50.379595,15.385828,7.049397,9.525019,192.477678,37.596348,150.371356,274.879018,396.698474
580.636096,57.723741,26.894267,13.789224,2.988909,5.641953,7.831225,467.18517,126.281589,495.86831,321.000175,423.389634
619.90322,99.008403,46.13405,31.792187,24.166169,3.253685,4.403149,627.613656,12.713552,288.540213,481.287033,528.642354
1004.80809,392.313255,219.187038,90.490291,12.762154,118.791417,24.386963,408.563821,155.376162,397.79867,769.026123,773.078773
214.680986,83.269791,24.641816,22.809109,5.294628,4.600067,7.217419,84.956191,11.194516,82.218803,155.60703,206.424529
222.650084,21.757634,5.510864,13.045193,4.580195,3.190502,8.362943,527.115659,16.680875,128.878979,58.241213,214.237427
771.332648,110.692913,44.029928,27.917986,16.520215,3.060517,10.716365,461.987868,543.822097,381.990988,652.474798,829.269104
210.797412,20.025514,14.368185,21.639513,8.643553,2.848166,7.083208,193.911044,56.631829,238.087367,70.884175,219.449668
546.771293,101.339742,29.430469,17.762797,4.403146,3.727172,7.572314,850.304371,20.041619,576.374641,386.528832,496.061065
1455.13146,785.200309,250.637714,160.903924,5.333787,2.234949,6.999078,898.399749,509.664935,888.100588,1155.296898,1723.213367
1051.102387,33.857211,36.392957,18.696897,8.24323,2.928216,9.870896,794.930288,34.721333,418.917338,557.29372,441.713425
247.405451,53.516951,19.696185,18.156461,4.514372,2.909832,5.090401,107.302998,7.20096,32.091262,228.821187,273.48859
1473.55961,101.517239,55.613042,53.691654,34.587378,43.085462,167.891005,1259.013297,135.326391,1003.253478,725.977294,1183.045444
76.414151,53.393243,12.274344,17.983619,1.556241,1.509006,2.113732,5.210772,2.045016,5.786258,78.361189,79.998419
1765.820175,365.737496,135.599299,77.843341,20.686207,22.010487,14.402453,1343.348692,89.906171,997.328352,1437.097995,1711.97907
378.930211,59.99992,33.029282,10.071251,9.39148,7.2211,5.180374,259.286464,39.483569,205.860326,213.448125,280.002319
1173.636099,99.184204,26.813808,13.481368,7.325819,7.421737,5.647996,581.186984,63.189484,392.568922,1152.174218,1342.524801
612.952411,63.943786,46.473169,39.372427,2.153738,1.874083,34.117561,386.545066,214.435317,299.802776,633.700843,662.419986
201.037017,25.31292,11.42187,20.320281,3.484601,2.562005,11.92334,203.155466,64.383799,143.979388,119.483615,200.219901
209.267967,141.185703,107.013094,103.511776,56.255179,23.238241,5.280753,139.78583,9.478098,132.837779,147.097114,220.415251
254.906971,144.258801,123.459722,169.935338,15.773757,15.409079,24.799893,150.094328,22.39233,137.681204,73.904123,277.416475
572.635625,75.110846,27.22571,43.782781,3.806273,2.51458,3.455304,634.85806,210.710286,643.928888,462.517172,583.890665
728.047267,171.585666,156.059938,181.026269,67.923546,29.753225,108.287241,531.635264,140.080936,337.153017,448.027632,759.799629
1262.609126,206.392718,93.633487,64.754958,31.797435,6.608466,59.154524,1424.117349,609.407905,1307.409737,569.871668,1116.358492
1347.420353,271.519809,79.083401,108.474596,20.609317,13.345582,49.01054,1000.642615,193.200409,752.180446,809.337053,1040.389189
1971.354955,1185.407698,338.635498,203.595784,43.431318,15.98927,1007.032819,2601.954904,1202.810029,3366.727933,1472.04116,2218.758813
472.033429,67.06429,17.523433,21.917214,5.147106,9.021791,29.302579,400.278538,15.269983,676.95798,36.796733,359.23642
338.253094,131.941369,44.554007,38.10683,3.864912,6.537763,8.713513,348.102161,46.782915,349.185658,105.944842,345.013397
4333.423887,2210.583296,572.481437,808.927259,39.802319,11.623535,18.614662,3333.908806,583.212246,2891.300008,2280.339062,3908.950843
594.996863,89.188887,39.500072,48.395437,23.805305,15.077619,11.963557,333.149713,76.943519,309.081675,375.242253,407.623749
2029.643622,599.78992,174.067075,237.943964,3.784127,7.570744,36.481346,1695.002824,953.617555,1659.325241,1146.994648,2151.46099
1846.65775,296.781211,48.25467,91.209392,14.941204,7.739229,8.746174,1141.89748,37.066318,541.479157,1523.792337,851.742862
1676.550709,290.221501,72.722603,94.713296,31.189417,16.909469,417.728914,1361.500612,375.473963,1386.578293,1827.104908,1702.694442
2507.379773,351.166615,137.936017,82.099367,13.41783,22.175799,36.213973,2136.111707,510.882475,1923.594573,1651.927519,1700.198413
