FCFS,WFP3,UNICEF,SPT,SAF,F2,LIN,NEW_3_1,NEW_3_2,NEW_3_3,NEW_3_4,NEW_3_5,MEM1,MEM2,SER_1
262.228685,34.466431,19.968868,24.376704,9.734293,6.163188,9.081874,129.621138,125.228829,142.482166,31.994753,14.900484,11.879693,7.574363,8.015298
433.922758,63.162936,29.635054,31.525684,8.638492,5.440295,11.733049,134.4979,234.030414,196.466291,62.87556,17.958809,28.53462,8.365705,13.775344
552.824251,147.235593,53.746361,24.926583,2.769105,4.747836,5.785176,65.221194,94.364113,51.515845,41.484112,6.260768,92.740124,4.558387,8.261034
209.692599,39.59982,8.884858,5.478712,3.51703,3.87428,11.2092,535.709337,407.145869,537.060464,40.04927,11.241608,6.566264,8.935784,21.285002
337.436145,25.291751,37.946335,19.158576,7.986915,3.317062,6.482509,85.646649,136.420191,95.192354,67.629078,11.116582,11.031317,6.080617,5.892965
475.795093,56.172381,20.778578,15.051442,9.398724,14.356248,14.829274,29.052513,27.357597,32.512086,30.438938,10.565479,19.842347,13.528684,19.874252
361.503392,49.205797,10.405398,25.509293,13.393834,2.433486,7.480948,125.115781,149.587769,120.56945,56.776271,30.861717,39.121298,10.418842,8.698901
165.587703,12.571318,6.101331,3.913443,2.198292,2.305392,3.35471,15.156113,17.175173,19.453968,34.072998,2.456281,3.968576,4.071849,4.120867
159.609523,15.480892,7.653384,6.988747,2.53343,2.609409,3.447072,20.659718,19.65663,20.798461,23.477713,2.948146,3.314047,3.789189,4.892893
193.597951,68.599173,42.716107,61.525851,21.214165,20.016037,23.659847,61.959889,77.74243,65.514124,55.475139,25.72373,26.939994,21.761937,24.558371
60.925361,5.374357,2.684195,1.793384,2.156821,2.641015,2.388842,44.854264,41.242059,42.81843,34.106402,1.646318,2.094488,2.821476,2.436126
772.362405,71.793101,35.549051,23.381344,4.508623,5.322753,8.454813,210.280063,271.398911,209.27767,42.58313,18.702231,20.991292,5.384198,11.037368
273.099203,14.379655,5.143779,7.882563,2.505553,3.13833,2.959767,29.503068,28.842362,31.038248,43.525449,7.162454,4.319495,4.108722,3.33862
96.863896,10.066271,6.299334,5.047933,4.402133,4.223671,9.709416,15.305214,11.515201,15.078363,18.720245,5.595029,4.049756,5.015081,13.568867
144.047107,22.516818,8.61757,7.860141,2.056795,3.006516,6.260251,30.472012,8.281896,53.463382,5.055363,2.887161,2.630893,6.373451,5.833101
