MEM2,MEM4
7.574363,9.734293
8.365705,8.638492
4.558387,2.769105
8.935784,3.51703
6.080617,7.986915
13.528684,9.398724
10.418842,13.393834
4.071849,2.198292
3.789189,2.53343
21.761937,21.214165
2.821476,2.156821
5.384198,4.508623
4.108722,2.505553
5.015081,4.402133
6.373451,2.056795
5.589062,4.377521
2.915323,3.063778
14.725126,5.403726
6.663273,2.554918
5.229608,3.088163
4.472092,2.484395
3.825724,3.09273
5.190049,20.632628
5.661004,5.393363
10.370721,11.383584
4.334178,5.027776
2.100334,2.008894
2.956031,2.289654
7.001167,5.658928
4.836739,3.07555
4.767709,15.385828
5.645876,2.988909
4.049827,24.166169
14.556116,12.762154
5.003914,5.294628
3.061492,4.580195
6.577319,16.520215
4.953599,8.643553
7.459584,4.403146
2.954564,5.333787
8.174655,8.24323
4.601609,4.514372
44.823688,34.587378
1.569699,1.556241
16.666278,20.686207
12.954256,9.39148
5.05431,7.325819
7.82957,2.153738
8.084894,3.484601
5.00729,56.255179
19.777245,15.773757
4.546642,3.806273
31.329924,67.923546
15.376037,31.797435
20.54197,20.609317
29.457151,43.431318
7.6622,5.147106
5.842601,3.864912
19.879231,39.802319
22.888375,23.805305
6.250664,3.784127
3.910868,14.941204
8.792454,31.189417
11.908121,13.41783
