SAF,F2,FCFS
9.734293,6.163188,262.228685
8.638492,5.440295,433.922758
2.769105,4.747836,552.824251
3.51703,3.87428,209.692599
7.986915,3.317062,337.436145
9.398724,14.356248,475.795093
13.393834,2.433486,361.503392
2.198292,2.305392,165.587703
2.53343,2.609409,159.609523
21.214165,20.016037,193.597951
2.156821,2.641015,60.925361
4.508623,5.322753,772.362405
2.505553,3.13833,273.099203
4.402133,4.223671,96.863896
2.056795,3.006516,144.047107
4.377521,7.640848,216.69077
3.063778,2.858227,43.644041
5.403726,3.144724,814.79413
2.554918,3.596395,275.484231
3.088163,3.229932,106.248173
2.484395,3.181378,77.984503
3.09273,2.859616,99.508343
20.632628,15.567533,607.379366
5.393363,5.200739,316.806956
11.383584,6.996593,871.535169
5.027776,3.32654,820.482548
2.008894,1.968676,90.452454
2.289654,1.996099,156.938693
5.658928,3.289838,291.09111
3.07555,3.365832,329.806376
15.385828,7.049397,345.131881
2.988909,5.641953,580.636096
24.166169,3.253685,619.90322
12.762154,118.791417,1004.80809
5.294628,4.600067,214.680986
4.580195,3.190502,222.650084
16.520215,3.060517,771.332648
8.643553,2.848166,210.797412
4.403146,3.727172,546.771293
5.333787,2.234949,1455.13146
8.24323,2.928216,1051.102387
4.514372,2.909832,247.405451
34.587378,43.085462,1473.55961
1.556241,1.509006,76.414151
20.686207,22.010487,1765.820175
9.39148,7.2211,378.930211
7.325819,7.421737,1173.636099
2.153738,1.874083,612.952411
3.484601,2.562005,201.037017
56.255179,23.238241,209.267967
15.773757,15.409079,254.906971
3.806273,2.51458,572.635625
67.923546,29.753225,728.047267
31.797435,6.608466,1262.609126
20.609317,13.345582,1347.420353
43.431318,15.98927,1971.354955
5.147106,9.021791,472.033429
3.864912,6.537763,338.253094
39.802319,11.623535,4333.423887
23.805305,15.077619,594.996863
3.784127,7.570744,2029.643622
14.941204,7.739229,1846.65775
31.189417,16.909469,1676.550709
13.41783,22.175799,2507.379773
