SER_1_1,SER_1_2,SER_1_3,SER_2_1,SER_2_2,SER_2_3,SER_3_1,SER_3_2,SER_3_3,SER_4_1,SER_4_2,SER_4_3,SER_5_1,SER_5_2,SER_5_3,SER_6_1,SER_6_2,SER_6_3,SER_7_1,SER_7_2,SER_7_3,SER_8_1,SER_8_2,SER_8_3,SER_9_1,SER_9_2,SER_9_3,SER_10_1,SER_10_2,SER_10_3
39.471767,41.114669,16.010403,10.747751,231.369347,16.010403,154.079885,318.782426,18.018327,9.316268,9.932796,16.010403,19.268049,14.281973,33.505817,12.27129,12.438202,12.253044,18.007852,84.591058,13.053533,234.291854,17.486988,12.377371,14.670481,57.046835,45.882239,166.112925,13.776848,19.81093
86.284146,80.169698,33.131529,22.934357,387.674736,33.131529,129.735,571.504246,10.392915,7.352074,14.493555,33.131529,34.004444,18.459065,51.218122,9.167422,24.735212,25.277229,36.123647,123.647664,15.266308,422.543733,34.45738,23.404421,31.198555,122.249168,82.499606,234.021893,27.550643,16.25537
81.800295,29.469607,12.358883,36.029299,542.560293,12.358883,239.632347,530.458427,25.853977,5.276478,61.558878,12.358883,22.855291,19.752181,65.724287,44.058403,26.565919,15.674796,19.747541,289.418854,22.510984,688.09365,31.229854,20.603617,15.546689,181.474714,51.982147,346.80239,30.161531,57.787102
97.167319,34.594286,15.960606,4.589734,219.998717,15.960606,86.591902,660.086701,6.165993,4.008504,4.733827,15.960606,15.483014,19.297023,57.942754,7.510836,8.250518,11.252373,17.140094,58.355353,13.958611,268.309766,24.598425,13.642463,15.380022,92.550795,44.914305,140.998972,36.26303,3.791045
47.369478,53.393064,10.983473,5.707895,242.986109,10.983473,191.721707,426.926914,16.511084,12.183753,6.724335,10.983473,8.410099,10.777005,16.421644,58.123362,14.688399,7.60437,12.996382,75.900868,6.381304,237.424905,10.836635,6.96152,8.596129,96.755747,62.86065,115.010686,8.55169,55.719055
58.704093,41.352537,23.027373,16.096607,346.359721,23.027373,112.44853,1113.17164,16.536481,8.62994,11.041324,23.027373,27.95825,39.156885,89.109917,12.085431,6.075592,16.831069,28.98884,102.771397,17.216513,548.998535,25.02297,15.768583,22.375679,142.470317,66.543926,562.95386,37.747023,9.376076
49.279916,32.676661,14.626982,15.102423,233.097141,14.626982,224.720415,381.749638,15.103246,14.349344,33.605449,14.626982,31.688571,14.252939,30.851477,19.556162,13.698642,10.882276,24.078432,57.377312,7.845089,269.385619,19.136265,8.348781,11.711285,84.256468,40.689143,176.467222,14.319126,15.707804
35.994383,23.633652,9.588161,3.543188,92.062785,9.588161,64.398041,219.624408,11.404712,2.40772,3.285924,9.588161,7.748279,6.72027,27.54661,4.394247,4.456864,6.70216,11.712443,76.882258,6.609934,138.673183,11.474391,7.256465,11.275304,40.405642,51.669467,64.688021,14.208559,4.039426
24.856415,23.983287,8.756359,2.932673,75.232003,8.756359,60.659873,190.696937,6.320197,3.259146,2.936953,8.756359,6.917953,8.227802,22.725322,3.188759,5.884049,4.708258,10.946717,46.890094,5.168348,137.996438,8.915453,4.595925,9.322218,32.422208,41.590177,43.140961,9.800859,3.350402
73.243297,30.697213,35.348521,48.410594,85.042797,35.348521,102.589765,141.746047,35.049165,25.373966,24.800083,35.348521,28.639349,37.631066,35.250441,28.069451,26.346934,30.13265,38.576955,105.95637,22.420513,148.745908,34.029241,25.137268,26.088612,46.928207,99.987037,63.469906,32.245677,32.674938
