LIN,S3_V1_D3,S3_V1_D4,S3_V2_D1,S3_V2_D2,S3_V2_D3,S3_V2_D4,S3_V3_D1,S3_V3_D2,S3_V3_D3,S3_V3_D4,S3_V4_D1,S3_V4_D2,S3_V4_D3,S3_V4_D4,S3_V5_D1,S3_V5_D2,S3_V5_D3,S3_V5_D4,S3_V6_D1,S3_V6_D2,S3_V6_D3,S3_V7_D1,S3_V7_D2,S3_V7_D3,S3_V7_D4,S3_V8_D1,S3_V8_D2,S3_V8_D3,S3_V8_D4,S3_V9_D1,S3_V9_D2,S3_V9_D3,S3_V9_D4,S3_V10_D1,S3_V10_D2,S3_V10_D3,S3_V10_D4
61.711442,419.332046,10.689573,492.653849,496.368168,421.968917,441.520378,441.862012,10.869361,510.652196,1864.768563,427.670861,427.670861,427.670861,427.670861,37261.355349,427.670861,427.670861,427.670861,716.117803,10.863615,1905.206303,13028.65663,713.100733,10.863615,1891.115121,419.332046,427.670861,510.681419,441.862012,427.535759,421.968917,344.13454,507.115601,399.035463,716.117803,441.997025,441.862012
83.740055,661.241134,23.514826,685.380394,687.058383,665.780487,685.572918,686.576286,18.264176,687.694245,709.425488,685.380394,685.380394,685.955657,685.380394,4356.529683,685.380394,685.380394,685.380394,695.487304,18.166915,709.382808,3318.867249,693.151657,18.166915,708.932101,661.241134,685.380394,688.516159,686.576286,685.935514,665.780487,240.319282,686.40572,782.231755,695.487304,686.024917,686.576286
349.920985,168.710423,11.635442,259.350185,992.809824,168.710417,438.253034,389.803873,7.479692,1071.048827,5337.508291,168.730695,168.730695,168.730695,168.730695,1874.13421,168.730695,168.730695,168.730695,1273.330519,7.721721,5830.285031,6231.513893,1309.799786,7.721721,5754.723171,168.710423,168.730695,4980.718317,389.803873,257.730479,168.710417,71.698254,457.007967,774.451522,1273.330519,247.011566,389.803873
39.71745,433.041501,4.363419,432.695573,1971.674893,430.967266,539.856063,1105.208272,6.000264,4987.670739,8473.454897,433.119818,433.119818,441.715269,433.119818,56027.107148,433.119818,433.119818,433.119818,4767.844997,6.00909,20665.270787,4952.273782,4765.46369,6.00909,17510.91499,432.971396,433.119818,20539.317065,1105.208272,770.195356,430.967266,59.30099,1247.370499,354.53983,4767.844997,768.220989,1105.208272
43.154329,615.524502,161.729948,1097.247338,1547.325666,628.258311,1843.114951,1096.985262,192.400868,2015.095619,33607.790118,628.852899,628.852899,1078.19794,628.852899,42220.2411,628.852899,628.852899,628.852899,6121.825677,192.316273,16094.896011,9315.630509,7092.113262,192.316273,35841.021101,615.524502,628.852899,2780.005762,1096.985262,628.684631,628.258311,223.338865,1563.090189,534.564449,6121.758159,1097.153432,1096.985262
43.374535,271.2058,21.505854,96.071024,889.05738,271.298903,2668.75203,367.622396,20.447295,983.893154,13347.124552,271.951192,271.951192,338.492659,271.951192,2816.412219,271.951192,271.951192,271.951192,2496.354606,23.390219,5154.583376,7423.309518,2476.560025,23.390219,5060.532238,271.2058,271.951192,983.893154,367.622396,272.64489,271.298903,42.074157,597.371333,982.593992,2496.358916,366.928833,367.622396
90.585337,309.636064,3.946114,309.429113,1073.8268,309.636189,316.209178,336.889915,5.03942,465.51373,7783.752986,309.726707,309.726707,309.726707,309.726707,64385.67582,309.726707,309.726707,309.726707,1581.061772,4.805356,6465.144973,16574.146117,1522.902507,4.805356,3133.33515,309.636064,309.726707,922.392657,336.889915,333.22453,309.636189,273.311276,346.539887,561.676273,1581.061772,313.392314,336.889915
9.530991,106.612997,3.479377,73.554572,279.798161,107.712796,117.621698,344.896444,3.618459,333.570899,333.736935,111.963905,111.963905,111.963905,111.963905,26929.267798,111.963905,111.963905,111.963905,146.684586,3.626087,348.723798,6014.700718,146.47855,3.626087,346.203996,106.612997,111.963905,345.126202,344.896444,145.724095,107.712796,10.439476,128.061617,377.42649,146.684586,335.76502,344.896444
22.909047,71.683269,3.813853,199.217906,312.075457,69.974986,247.558401,179.613798,14.543133,152.145061,719.758448,71.821841,71.821841,71.821841,71.821841,21311.184565,71.821841,71.821841,71.821841,212.104249,12.235481,668.806882,9072.961567,210.445432,12.235481,668.806882,71.683269,71.821841,477.962158,179.613798,113.871792,69.974986,276.567428,124.319829,253.588294,212.104249,191.014061,179.613798
81.820613,209.213847,85.509485,212.150706,568.17066,211.281307,1621.324666,1125.280637,84.714933,576.473458,3686.692422,212.154426,212.154426,320.419106,212.154426,2397.386389,212.154426,212.154426,212.154426,1563.188479,84.685263,3709.650391,11015.767905,1547.872072,84.685263,3729.365921,209.213847,212.154426,2977.282682,1125.280637,320.543568,211.281307,305.758552,405.652927,324.947799,1563.188479,377.045217,1125.280637
6.485688,82.456413,5.510221,82.499258,154.638441,82.415617,107.349033,109.601822,4.764201,196.573014,1775.575723,82.504145,82.504145,83.164046,82.504145,4184.596689,82.504145,82.504145,82.504145,769.317191,4.953154,1806.964176,88.550912,767.005763,4.953154,1798.686941,82.456413,82.504145,1522.931106,109.601822,100.954403,82.415617,103.604314,235.941456,115.681976,769.317191,91.165574,109.601822
146.456672,117.795385,32.519769,58.788202,267.984245,117.537445,132.597982,214.930302,32.592839,335.928496,350.911893,121.263569,121.263569,121.263569,121.263569,706.428236,121.263569,121.263569,121.263569,180.249565,32.285795,365.578518,209.390877,179.084387,32.285795,365.578518,117.795385,121.263569,263.431245,214.930302,121.263569,117.537445,260.43489,141.454868,1136.781188,180.249565,214.930302,214.930302
12.807047,450.782289,4.485214,484.328276,591.608762,435.535189,479.413165,483.89069,2.543377,622.981268,2234.806197,452.828074,452.828074,466.023633,452.828074,1298.814745,452.828074,452.828074,452.828074,774.495314,2.46768,2409.841656,2663.17271,794.876867,2.46768,1478.971646,450.782289,452.828074,622.981268,483.89069,452.403507,435.535189,148.237725,540.497185,484.012598,774.495314,484.315125,483.89069
8.565411,200.655946,10.123243,203.703824,1143.731752,200.848489,201.432864,844.928029,11.363338,1346.69862,12798.348884,201.507575,201.507575,201.507575,201.507575,6550.96192,201.507575,201.507575,201.507575,4250.104154,12.47066,13000.081308,5231.215948,4173.966458,12.47066,12798.348884,200.481826,201.507575,13863.018076,844.928029,640.880701,200.674234,104.824855,1098.497025,170.734479,4250.341099,404.935975,844.928029
24.827438,294.48933,4.42931,528.313002,463.111859,292.828427,303.130517,323.331679,4.87253,463.111859,2253.286871,301.062303,301.062303,300.846847,301.062303,534.190866,301.062303,301.062303,301.062303,986.835507,4.872442,2255.114796,2850.692939,985.724185,4.872442,2255.114796,290.538294,301.062303,658.665044,323.331679,292.077406,292.077406,113.300313,412.639517,291.578928,986.876211,301.062303,323.331679
38.342856,253.946196,13.228402,112.424347,323.490151,262.574402,255.043993,278.184107,14.616173,323.490151,337.932247,278.615713,278.615713,278.263936,278.615713,5064.953059,278.615713,278.615713,278.615713,331.862749,12.883625,337.932247,1440.133137,331.828928,12.883625,337.932247,252.512645,278.615713,310.191176,278.184107,254.368051,254.368051,82.774308,278.680573,602.350948,333.011531,278.615713,278.184107
