SER_9_1,SER_6_3,F2,MEM2
14.625202,15.755413,6.163188,7.574363
31.247728,31.669521,5.440295,8.365705
13.60693,12.183011,4.747836,4.558387
14.720344,14.423857,3.87428,8.935784
9.936684,6.982487,3.317062,6.080617
18.715698,20.701536,14.356248,13.528684
11.945653,14.795816,2.433486,10.418842
10.140298,8.239047,2.305392,4.071849
6.59531,7.090475,2.609409,3.789189
29.453718,31.611464,20.016037,21.761937
7.873217,6.43094,2.641015,2.821476
9.5569,9.714733,5.322753,5.384198
4.671516,3.148011,3.13833,4.108722
14.05587,14.161557,4.223671,5.015081
6.616449,6.566964,3.006516,6.373451
16.455161,18.636967,7.640848,5.589062
3.726793,3.202929,2.858227,2.915323
16.054807,18.157218,3.144724,14.725126
18.163224,16.656706,3.596395,6.663273
15.323214,15.067378,3.229932,5.229608
5.442728,5.910323,3.181378,4.472092
9.421982,8.589845,2.859616,3.825724
13.794611,30.771637,15.567533,5.190049
16.45973,13.618227,5.200739,5.661004
23.039938,21.989919,6.996593,10.370721
20.168564,19.699391,3.32654,4.334178
3.96697,3.297584,1.968676,2.100334
5.333811,5.441865,1.996099,2.956031
16.54128,15.924652,3.289838,7.001167
11.981247,12.011084,3.365832,4.836739
14.375727,10.850247,7.049397,4.767709
117.527266,113.329649,5.641953,5.645876
8.577045,8.06196,3.253685,4.049827
26.661829,27.556443,118.791417,14.556116
8.412753,12.49414,4.600067,5.003914
8.680712,6.401636,3.190502,3.061492
18.842788,19.233734,3.060517,6.577319
10.963887,9.33169,2.848166,4.953599
15.763951,23.098928,3.727172,7.459584
11.614852,12.306616,2.234949,2.954564
14.265018,16.888013,2.928216,8.174655
6.232147,6.133155,2.909832,4.601609
161.44377,119.220255,43.085462,44.823688
2.197416,1.80771,1.509006,1.569699
30.816912,44.819248,22.010487,16.666278
21.078177,22.274368,7.2211,12.954256
20.10015,23.705706,7.421737,5.05431
94.212923,80.134184,1.874083,7.82957
13.00242,12.268531,2.562005,8.084894
6.927466,9.005998,23.238241,5.00729
20.707565,18.760395,15.409079,19.777245
12.788485,7.659918,2.51458,4.546642
117.767973,131.549117,29.753225,31.329924
105.753237,141.777324,6.608466,15.376037
74.118587,84.531597,13.345582,20.54197
142.51789,111.225654,15.98927,29.457151
21.307876,33.828992,9.021791,7.6622
55.454537,75.766231,6.537763,5.842601
202.370587,124.364208,11.623535,19.879231
37.586797,47.371396,15.077619,22.888375
50.196725,56.409904,7.570744,6.250664
11.719288,25.094563,7.739229,3.910868
69.286553,79.996659,16.909469,8.792454
100.577227,87.15066,22.175799,11.908121
