MEM2,MEM4,SAF,F2,LIN
7.574363,9.734293,9.734293,6.163188,9.081874
8.365705,8.638492,8.638492,5.440295,11.733049
4.558387,2.769105,2.769105,4.747836,5.785176
8.935784,3.51703,3.51703,3.87428,11.2092
6.080617,7.986915,7.986915,3.317062,6.482509
13.528684,9.398724,9.398724,14.356248,14.829274
10.418842,13.393834,13.393834,2.433486,7.480948
4.071849,2.198292,2.198292,2.305392,3.35471
3.789189,2.53343,2.53343,2.609409,3.447072
21.761937,21.214165,21.214165,20.016037,23.659847
2.821476,2.156821,2.156821,2.641015,2.388842
5.384198,4.508623,4.508623,5.322753,8.454813
4.108722,2.505553,2.505553,3.13833,2.959767
5.015081,4.402133,4.402133,4.223671,9.709416
6.373451,2.056795,2.056795,3.006516,6.260251
5.589062,4.377521,4.377521,7.640848,11.310277
2.915323,3.063778,3.063778,2.858227,3.406289
14.725126,5.403726,5.403726,3.144724,24.807159
6.663273,2.554918,2.554918,3.596395,15.64892
5.229608,3.088163,3.088163,3.229932,11.685649
4.472092,2.484395,2.484395,3.181378,5.011533
3.825724,3.09273,3.09273,2.859616,6.490392
5.190049,20.632628,20.632628,15.567533,217.224014
5.661004,5.393363,5.393363,5.200739,11.635956
10.370721,11.383584,11.383584,6.996593,6.932885
4.334178,5.027776,5.027776,3.32654,38.133182
2.100334,2.008894,2.008894,1.968676,2.303582
2.956031,2.289654,2.289654,1.996099,3.730643
7.001167,5.658928,5.658928,3.289838,8.121147
4.836739,3.07555,3.07555,3.365832,4.589602
4.767709,15.385828,15.385828,7.049397,5.029612
5.645876,2.988909,2.988909,5.641953,10.189854
4.049827,24.166169,24.166169,3.253685,4.126042
14.556116,12.762154,12.762154,118.791417,24.880857
5.003914,5.294628,5.294628,4.600067,6.639211
3.061492,4.580195,4.580195,3.190502,4.366373
6.577319,16.520215,16.520215,3.060517,13.552332
4.953599,8.643553,8.643553,2.848166,6.634977
7.459584,4.403146,4.403146,3.727172,6.967678
2.954564,5.333787,5.333787,2.234949,6.802
8.174655,8.24323,8.24323,2.928216,12.451962
4.601609,4.514372,4.514372,2.909832,6.073226
44.823688,34.587378,34.587378,43.085462,36.31263
1.569699,1.556241,1.556241,1.509006,2.059453
16.666278,20.686207,20.686207,22.010487,31.672711
12.954256,9.39148,9.39148,7.2211,7.586939
5.05431,7.325819,7.325819,7.421737,9.357153
7.82957,2.153738,2.153738,1.874083,20.512542
8.084894,3.484601,3.484601,2.562005,6.30233
5.00729,56.255179,56.255179,23.238241,5.099916
19.777245,15.773757,15.773757,15.409079,21.661549
4.546642,3.806273,3.806273,2.51458,3.967109
31.329924,67.923546,67.923546,29.753225,129.166076
15.376037,31.797435,31.797435,6.608466,27.305257
20.54197,20.609317,20.609317,13.345582,29.955741
29.457151,43.431318,43.431318,15.98927,88.020997
7.6622,5.147106,5.147106,9.021791,19.189729
5.842601,3.864912,3.864912,6.537763,6.375385
19.879231,39.802319,39.802319,11.623535,139.426374
22.888375,23.805305,23.805305,15.077619,19.707101
6.250664,3.784127,3.784127,7.570744,19.979227
3.910868,14.941204,14.941204,7.739229,16.767747
8.792454,31.189417,31.189417,16.909469,19.870342
11.908121,13.41783,13.41783,22.175799,11.910117
