MEM1,MEM2,MEM3,MEM4,SAF,F2,FCFS
11.879693,7.574363,8.399187,9.734293,9.734293,6.163188,262.228685
28.53462,8.365705,9.996643,8.638492,8.638492,5.440295,433.922758
92.740124,4.558387,10.038901,2.769105,2.769105,4.747836,552.824251
6.566264,8.935784,27.600321,3.51703,3.51703,3.87428,209.692599
11.031317,6.080617,3.969319,7.986915,7.986915,3.317062,337.436145
19.842347,13.528684,12.447005,9.398724,9.398724,14.356248,475.795093
39.121298,10.418842,6.770483,13.393834,13.393834,2.433486,361.503392
3.968576,4.071849,3.346437,2.198292,2.198292,2.305392,165.587703
3.314047,3.789189,3.030391,2.53343,2.53343,2.609409,159.609523
26.939994,21.761937,24.390464,21.214165,21.214165,20.016037,193.597951
2.094488,2.821476,2.725336,2.156821,2.156821,2.641015,60.925361
20.991292,5.384198,5.360112,4.508623,4.508623,5.322753,772.362405
4.319495,4.108722,4.109003,2.505553,2.505553,3.13833,273.099203
4.049756,5.015081,4.87942,4.402133,4.402133,4.223671,96.863896
2.630893,6.373451,5.082413,2.056795,2.056795,3.006516,144.047107
5.296537,5.589062,5.844359,4.377521,4.377521,7.640848,216.69077
2.887658,2.915323,2.90766,3.063778,3.063778,2.858227,43.644041
13.727771,14.725126,26.092832,5.403726,5.403726,3.144724,814.79413
9.150876,6.663273,7.841465,2.554918,2.554918,3.596395,275.484231
3.865734,5.229608,5.702367,3.088163,3.088163,3.229932,106.248173
15.538364,4.472092,3.912769,2.484395,2.484395,3.181378,77.984503
9.990088,3.825724,3.890484,3.09273,3.09273,2.859616,99.508343
289.87517,5.190049,10.023459,20.632628,20.632628,15.567533,607.379366
6.284362,5.661004,23.981689,5.393363,5.393363,5.200739,316.806956
12.164914,10.370721,6.913863,11.383584,11.383584,6.996593,871.535169
13.550639,4.334178,4.765081,5.027776,5.027776,3.32654,820.482548
2.284251,2.100334,2.146098,2.008894,2.008894,1.968676,90.452454
3.139838,2.956031,3.099514,2.289654,2.289654,1.996099,156.938693
6.184201,7.001167,9.021286,5.658928,5.658928,3.289838,291.09111
6.840477,4.836739,5.505711,3.07555,3.07555,3.365832,329.806376
13.857167,4.767709,5.805717,15.385828,15.385828,7.049397,345.131881
12.928611,5.645876,5.053968,2.988909,2.988909,5.641953,580.636096
15.202749,4.049827,4.716397,24.166169,24.166169,3.253685,619.90322
81.414684,14.556116,59.827829,12.762154,12.762154,118.791417,1004.80809
19.674816,5.003914,4.917455,5.294628,5.294628,4.600067,214.680986
2.732645,3.061492,4.580271,4.580195,4.580195,3.190502,222.650084
17.604713,6.577319,33.981103,16.520215,16.520215,3.060517,771.332648
9.957991,4.953599,6.724626,8.643553,8.643553,2.848166,210.797412
5.640511,7.459584,12.347174,4.403146,4.403146,3.727172,546.771293
106.835567,2.954564,2.956106,5.333787,5.333787,2.234949,1455.13146
22.593482,8.174655,6.964367,8.24323,8.24323,2.928216,1051.102387
31.368749,4.601609,3.022344,4.514372,4.514372,2.909832,247.405451
107.754972,44.823688,37.956779,34.587378,34.587378,43.085462,1473.55961
9.93131,1.569699,1.559902,1.556241,1.556241,1.509006,76.414151
205.003408,16.666278,23.25265,20.686207,20.686207,22.010487,1765.820175
13.965082,12.954256,4.408457,9.39148,9.39148,7.2211,378.930211
62.160792,5.05431,24.659427,7.325819,7.325819,7.421737,1173.636099
68.415721,7.82957,6.004416,2.153738,2.153738,1.874083,612.952411
21.66404,8.084894,27.62638,3.484601,3.484601,2.562005,201.037017
64.003208,5.00729,13.393194,56.255179,56.255179,23.238241,209.267967
113.01455,19.777245,20.625199,15.773757,15.773757,15.409079,254.906971
19.106333,4.546642,4.698413,3.806273,3.806273,2.51458,572.635625
105.060103,31.329924,44.653958,67.923546,67.923546,29.753225,728.047267
49.790868,15.376037,60.014365,31.797435,31.797435,6.608466,1262.609126
17.987222,20.54197,20.482752,20.609317,20.609317,13.345582,1347.420353
202.489591,29.457151,56.248827,43.431318,43.431318,15.98927,1971.354955
20.992192,7.6622,30.380051,5.147106,5.147106,9.021791,472.033429
23.075811,5.842601,5.288139,3.864912,3.864912,6.537763,338.253094
517.270624,19.879231,10.909574,39.802319,39.802319,11.623535,4333.423887
32.791225,22.888375,10.771023,23.805305,23.805305,15.077619,594.996863
449.964148,6.250664,19.503889,3.784127,3.784127,7.570744,2029.643622
26.659952,3.910868,18.390948,14.941204,14.941204,7.739229,1846.65775
228.550156,8.792454,4.822602,31.189417,31.189417,16.909469,1676.550709
170.709897,11.908121,64.778247,13.41783,13.41783,22.175799,2507.379773
